B27K1/00	7	Damping wood	B27K1/00	B27K1/00		463
B27K1/02	8	Apparatus	B27K1/02	B27K1/02		137
B27K3/00	7	Impregnating wood, {e.g. impregnation pretreatment, for example puncturing; Wood impregnation aids not directly involved in the impregnation process}(dyeing, staining B27K5/00)<br><br><u>NOTE</u><br><br>In groups B27K3/16 - B27K3/50, the last place priority rule is applied, i.e. at each hierarchical level, in the absence of an indication to the contrary, impregnating agents are classified in the last appropriate place.This Note corresponds to IPC Note (1) relating to B27K3/16 - B27K3/34.	B27K3/00	B27K3/00		120
B27K3/002	8	{employing compositions comprising microorganisms}	B27K3/00	B27K3/00		148
B27K3/005	8	{employing compositions comprising microparticles}	B27K3/00	B27K3/00		253
B27K3/007	8	{employing compositions comprising nanoparticles}	B27K3/00	B27K3/00		398
B27K3/02	8	Processes; Apparatus	B27K3/02	B27K3/02		1323
B27K3/0207	9	{Pretreatment of wood before impregnation}	B27K3/02	B27K3/02		710
B27K3/0214	10	{Drying (drying in general F26B)}	B27K3/02	B27K3/02		688
B27K3/0221	10	{Pore opening (B27K3/0214 takes precedence)}	B27K3/02	B27K3/02		170
B27K3/0228	9	{Spraying apparatus, e.g. tunnels}	B27K3/02	B27K3/02		363
B27K3/0235	9	{Stationary devices on or in legs or poles}	B27K3/02	B27K3/02		91
B27K3/0242	9	{using melt impregnation}	B27K3/02	B27K3/02		66
B27K3/025	9	{Controlling the process}	B27K3/02	B27K3/02		424
B27K3/0257	9	{using rods or tablets, or ampoules, e.g. inserted in pre-drilled cavities}	B27K3/02	B27K3/02		44
B27K3/0264	9	{using staples or nails}	B27K3/02	B27K3/02		7
B27K3/0271	9	{Vapour phase impregnation}	B27K3/02	B27K3/02		261
B27K3/0278	9	{involving an additional treatment during or after impregnation}	B27K3/02	B27K3/02		597
B27K3/0285	10	{for improving the penetration of the impregnating fluid}	B27K3/02	B27K3/02		138
B27K3/0292	10	{for improving fixation (B27K3/0285 takes precedence)}	B27K3/02	B27K3/02		264
B27K3/04	9	Impregnating in open tanks	B27K3/04	B27K3/04		511
B27K3/06	9	Sap stream methods	B27K3/06	B27K3/06		127
B27K3/08	9	Impregnating by pressure {, e.g. vacuum impregnation}	B27K3/08	B27K3/08		2168
B27K3/083	10	{along the fibers, i.e. longitudinal impregnation}	B27K3/08	B27K3/08		61
B27K3/086	10	{using supercritical or high pressure fluids}	B27K3/08	B27K3/08		54
B27K3/10	10	Apparatus	B27K3/10	B27K3/10		623
B27K3/105	11	{Injection apparatus}	B27K3/10	B27K3/10		266
