B43M1/00	7	Fixing seals on documents (embossing dies B44B; seals per seG09F3/00)	B43M1/00	B43M1/00		224
B43M1/02	8	Sealing-wax holders	B43M1/02	B43M1/02		23
B43M3/00	7	Devices for inserting documents into envelopes (combined devices for inserting documents into and closing envelopes B43M5/00)	B43M3/00	B43M3/00		60
B43M3/02	8	equipped with documents-folding means (B43M3/04 takes precedence)	B43M3/02	B43M3/02		133
B43M3/04	8	automatic	B43M3/04	B43M3/04		345
B43M3/045	9	{for envelopes with only one flap}	B43M3/04	B43M3/04		446
B43M5/00	7	Devices for closing envelopes	B43M5/00	B43M5/00		67
B43M5/02	8	Hand devices for both moistening gummed flaps of envelopes and for closing the envelopes	B43M5/02	B43M5/02		196
B43M5/025	9	{portable hand tools}	B43M5/02	B43M5/02		76
B43M5/04	8	automatic	B43M5/04	B43M5/04		242
B43M5/042	9	{for envelopes with only one flap}	B43M5/04	B43M5/04		489
B43M5/045	9	{using heat-sensitive adhesive}	B43M5/04	B43M5/04		45
B43M5/047	9	{using pressure-sensitive adhesive}	B43M5/04	B43M5/04		101
B43M7/00	7	Devices for opening envelopes (cutting tools in general B26)	B43M7/00	B43M7/00		131
B43M7/001	8	{with abrading or sawing wheels}	B43M7/00	B43M7/00		22
B43M7/002	8	{Hand tools}	B43M7/00	B43M7/00		273
B43M7/004	8	{including non-mechanical means}	B43M7/00	B43M7/00		25
B43M7/005	8	{with at least two cutting discs}	B43M7/00	B43M7/00		63
B43M7/007	8	{with cutting blades}	B43M7/00	B43M7/00		104
B43M7/008	8	{with a cylindrical cutter}	B43M7/00	B43M7/00		31
B43M7/02	8	Devices for both opening envelopes and removing contents	B43M7/02	B43M7/02		127
B43M9/00	7	Paper-weights	B43M9/00	B43M9/00		180
B43M11/00	7	Hand or desk devices of the office or personal type for applying liquid, other than ink, by contact to surfaces, e.g. for applying adhesive (combined with envelope-closing devices B43M5/02; reservoir brushes A46B11/00; devices for applying liquids or other fluent materials to surfaces in general B05C; liquid receptacles B65D)	B43M11/00	B43M11/00		529
B43M11/02	8	with rollers	B43M11/02	B43M11/02		144
B43M11/04	8	with pads (B43M11/06 takes precedence)	B43M11/04	B43M11/04		332
B43M11/06	8	Hand-held devices	B43M11/06	B43M11/06		691
B43M11/08	9	of the fountain-pen type	B43M11/08	B43M11/08		165
B43M11/085	10	{with ball points}	B43M11/08	B43M11/08		54
B43M13/00	7	Dispensers without mechanisms for single stamps modified for the application of stamps to articles (manually-controlled or manually-operable label or stamp dispensers B65C11/00)	B43M13/00	B43M13/00		183
B43M15/00	7	Drawing-pins, Thumb-tacks (extractors B25C11/00)	B43M15/00	B43M15/00		391
B43M2017/00	7	Other bureau accessories	CPCONLY	B43M2017/00		13
B43M99/00	7	Subject matter not provided for in other groups of this subclass	B43M99/00	B43M99/00		577
B43M99/001	8	{Desk sets (with ink stand B43L27/02)}	B43M99/00	B43M99/00		372
B43M99/002	9	{Tubular fountain pen holders (holders for writing implements B43K23/00)}	B43M99/00	B43M99/00		50
B43M99/003	10	{with only one penholder}	B43M99/00	B43M99/00		222
B43M99/004	11	{with magnetic holding means}	B43M99/00	B43M99/00		38
B43M99/005	11	{with suction holding means}	B43M99/00	B43M99/00		9
B43M99/006	10	{with more than one penholder}	B43M99/00	B43M99/00		135
B43M99/007	9	{Stands for pens with tubular or porous writing-points}	B43M99/00	B43M99/00		91
B43M99/008	8	{Desk-receptacles for holding writing appliances}	B43M99/00	B43M99/00		1226
B43M99/009	8	{Paperclip dispensers or holders}	B43M99/00	B43M99/00		280
