B63J1/00	7	Arrangements of installations for producing fresh water, e.g. by evaporation and condensation of sea water {(treatment of water in general C02F)}	B63J1/00	B63J1/00		464
B63J2/00	7	Arrangements of ventilation, heating, cooling, or air-conditioning (for submarines B63G8/00; ventilating for cleaning tanks B63B57/04; for vehicles in general B60H)	B63J2/00	B63J2/00		121
B63J2002/005	8	{Intakes for coolant medium other than sea chests, e.g. for ambient water}	B63J2/00	B63J2/00		52
B63J2/02	8	Ventilation; Air-conditioning	B63J2/02	B63J2/02		1096
B63J2/04	9	of living spaces	B63J2/04	B63J2/04		524
B63J2/06	9	of engine rooms	B63J2/06	B63J2/06		442
B63J2/08	9	of holds (heating or cooling of liquid-freight-carrying tanks B63J2/14; arrangements for stowing frozen goods in vessels B63B25/26)	B63J2/08	B63J2/08		461
B63J2/10	9	Ventilating-shafts; Air-scoops (for port-holes B63B19/04)	B63J2/10	B63J2/10		1102
B63J2/12	8	Heating; Cooling	B63J2/12	B63J2/12		2212
B63J2002/125	9	{making use of waste energy}	B63J2/12	B63J2/12		269
B63J2/14	9	of liquid-freight-carrying tanks	B63J2/14	B63J2/14		572
B63J3/00	7	Driving of auxiliaries (transmission elements per seF16)	B63J3/00	B63J3/00		381
B63J2003/001	8	{characterised by type of power supply, or power transmission, e.g. by using electric power or steam}	B63J3/00	B63J3/00		39
B63J2003/002	9	{by using electric power}	B63J3/00	B63J3/00		793
B63J2003/003	10	{using photovoltaic power generation, e.g. using solar panels}	B63J3/00	B63J3/00		179
B63J2003/005	9	{by using mechanical power transmission, e.g. gearings}	B63J3/00	B63J3/00		35
B63J2003/006	9	{by using hydraulic power transmission}	B63J3/00	B63J3/00		29
B63J2003/007	9	{by using a gas, other than steam, as power transmission medium, e.g. for pneumatic power transmission}	B63J3/00	B63J3/00		9
B63J2003/008	9	{by using steam}	B63J3/00	B63J3/00		19
B63J3/02	8	from propulsion power plant	B63J3/02	B63J3/02		887
B63J3/04	8	from power plant other than propulsion power plant	B63J3/04	B63J3/04		1341
B63J2003/043	9	{using shore connectors for electric power supply from shore-borne mains, or other electric energy sources external to the vessel, e.g. for docked, or moored vessels}	B63J3/04	B63J3/04		272
B63J2003/046	9	{using wind or water driven turbines or impellers for power generation}	B63J3/04	B63J3/04		374
B63J4/00	7	Arrangements of installations for treating {ballast water,} waste water, sewage, {sludge, or refuse}, or for preventing environmental pollution not otherwise provided for; ({centrifugal bilge-water separators B04; discharge of refuse, e.g. for ash B63B17/06; arrangements on tanks for fuel or the like for minimizing pollution by accidents B63B17/0036, associated with cargo tanks B63B25/082; vessels for collecting pollution from open water B63B35/30;} soil-water discharges B63B29/16; {treating waste water, sewage, or sludge, in general, C02F; cleaning or keeping clear the surface of open water, in general E02B15/00})	B63J4/00	B63J4/00		419
B63J4/002	8	{for treating ballast water}	B63J4/00	B63J4/00		1024
B63J4/004	8	{for treating sludge, e.g. tank washing sludge}	B63J4/00	B63J4/00		169
B63J4/006	8	{for treating waste water or sewage}	B63J4/00	B63J4/00		618
B63J2004/008	8	{by using dust separation, e.g. during loading}	B63J4/00	B63J4/00		5
B63J99/00	7	Subject matter not provided for in other groups of this subclass	B63J99/00	B63J99/00		897
B63J2099/001	8	{Burning of transported goods, e.g. fuel, boil-off or refuse}	B63J99/00	B63J99/00		26
B63J2099/003	9	{of cargo oil or fuel, or of boil-off gases, e.g. for propulsive purposes}	B63J99/00	B63J99/00		205
B63J2099/005	9	{of refuse}	B63J99/00	B63J99/00		43
