B65C1/00	7	Labelling flat essentially-rigid surfaces (labelling of fabrics B65C5/00)	B65C1/00	B65C1/00		82
B65C1/02	8	Affixing labels to one flat surface of articles, e.g. of packages, of flat bands	B65C1/02	B65C1/02		605
B65C1/021	9	{the label being applied by movement of the labelling head towards the article (B65C1/028 takes precedence)}	B65C1/02	B65C1/02		526
B65C1/023	10	{and being supplied from a stack (removing labels from stacks B65C9/12)}	B65C1/02	B65C1/02		269
B65C1/025	9	{the label being picked up by the article to be labelled, i.e. the labelling head remaining stationary}	B65C1/02	B65C1/02		217
B65C1/026	10	{and the article being moved out of its normal conveyance path towards the labelling head (B65C1/028 takes precedence)}	B65C1/02	B65C1/02		22
B65C1/028	9	{the labelling head and the article both being moved towards each other}	B65C1/02	B65C1/02		19
B65C1/04	8	Affixing labels, e.g. wrap-around labels, to two or more flat surfaces of a polyhedral article	B65C1/04	B65C1/04		230
B65C1/042	9	{using two or more applicators, e.g. cooperating rollers or brushes}	B65C1/04	B65C1/04		160
B65C1/045	10	{acting one after the other}	B65C1/04	B65C1/04		142
B65C1/047	9	{by rotating the article about one of its axes}	B65C1/04	B65C1/04		44
B65C3/00	7	Labelling other than flat surfaces (of fabrics B65C5/00)	B65C3/00	B65C3/00		251
B65C3/02	8	Affixing labels to elongated objects, e.g. wires, cables, bars, tubes	B65C3/02	B65C3/02		409
B65C3/04	9	Applying bands or labels to cigars or cigarettes {(bands for cigars or cigarettes A24D1/16)}	B65C3/04	B65C3/04		11
B65C3/06	8	Affixing labels to short rigid containers	B65C3/06	B65C3/06		175
B65C3/065	9	{by placing tubular labels around the container (applying preformed tubular sheathings of plastics in general B29C63/18; applying protective covers to closures B67B5/03)}	B65C3/06	B65C3/06		445
B65C3/08	9	to container bodies {(B65C3/065 takes precedence)}	B65C3/08	B65C3/08		615
B65C3/10	10	the container being positioned for labelling with its centre-line horizontal	B65C3/10	B65C3/10		273
B65C3/105	11	{the machine being hand- or foot driven}	B65C3/10	B65C3/10		50
B65C3/12	11	by rolling the labels onto cylindrical containers, e.g. bottles	B65C3/12	B65C3/12		445
B65C3/14	10	the container being positioned for labelling with its centre-line vertical	B65C3/14	B65C3/14		418
B65C3/145	11	{the machine being hand- or foot driven}	B65C3/14	B65C3/14		6
B65C3/16	11	by rolling the labels onto cylindrical containers, e.g. bottles	B65C3/16	B65C3/16		514
B65C3/163	12	{where the label is of the wrap-around type}	B65C3/16	B65C3/16		69
B65C3/166	13	{the label being shrunken after application}	B65C3/16	B65C3/16		45
B65C3/18	9	to container necks {(B65C3/065 takes precedence)}	B65C3/18	B65C3/18		121
B65C3/20	9	to bottle closures (applying closures or capsules to bottles B67B)	B65C3/20	B65C3/20		161
B65C3/22	10	Affixing metal foil coverings	B65C3/22	B65C3/22		81
B65C3/24	10	Affixing labels indicating original state of bottle snap or screw closure	B65C3/24	B65C3/24		85
B65C3/26	8	Affixing labels to non-rigid containers, e.g. bottles made of polyethylene, boxes to be inflated by internal air pressure prior to labelling	B65C3/26	B65C3/26		186
B65C5/00	7	Labelling fabrics or comparable materials or articles with deformable surface, e.g. paper, fabric rolls, stockings, shoes (affixing labels to non-rigid containers B65C3/26; by sewing D05B{; applying marks during shoe manufacture A43D95/14; marking textile materials by attaching tags D06H1/04})	B65C5/00	B65C5/00		284
B65C5/02	8	using adhesives	B65C5/02	B65C5/02		111
B65C5/04	9	Thermo-activatable adhesives	B65C5/04	B65C5/04		129
B65C5/06	8	using staples {(man-operated portable stapling tools B25C5/00; permanently attaching together sheets B42B4/00)}	B65C5/06	B65C5/06		151
B65C7/00	7	Affixing tags (in combination with filling of tea bags B65B29/04{; multi-step processes for making labels or tags B31D1/02})	B65C7/00	B65C7/00		461
B65C7/001	8	{using pins having at least one sharp pointed end}	B65C7/00	B65C7/00		91
B65C7/003	8	{using paddle-shaped plastic pins (using plastic pins for affixing buttons to garments A41H37/008)}	B65C7/00	B65C7/00		80
B65C7/005	9	{Portable tools}	B65C7/00	B65C7/00		308
B65C7/006	10	{electrically actuated}	B65C7/00	B65C7/00		23
B65C7/008	10	{fluid-actuated}	B65C7/00	B65C7/00		23
B65C9/00	7	Details of labelling machines or apparatus {(attaching articles to carriers B65B15/00; cards of samples G09F5/04)}	B65C9/00	B65C9/00		999
B65C2009/0003	8	{Use of RFID labels}	B65C9/00	B65C9/00		212
B65C9/0006	8	{Removing backing sheets}	B65C9/00	B65C9/00		494
B65C2009/0009	9	{by means of a peeling tip}	B65C9/00	B65C9/00		197
B65C2009/0012	10	{the peeling tip having a variable radius}	B65C9/00	B65C9/00		16
B65C9/0015	8	{Preparing the labels or articles, e.g. smoothing, removing air bubbles}	B65C9/00	B65C9/00		285
B65C2009/0018	9	{Preparing the labels}	B65C9/00	B65C9/00		190
B65C2009/0021	10	{for temporary attachment to transfer means or to the article}	B65C9/00	B65C9/00		46
B65C2009/0025	11	{by electrostatical charge}	B65C9/00	B65C9/00		21
B65C2009/0028	10	{for activating the glue}	B65C9/00	B65C9/00		14
B65C2009/0031	11	{by radiation}	B65C9/00	B65C9/00		13
B65C2009/0034	12	{IR}	B65C9/00	B65C9/00		4
B65C2009/0037	12	{UV}	B65C9/00	B65C9/00		27
B65C2009/004	12	{electron beam}	B65C9/00	B65C9/00		12
B65C2009/0043	12	{laser}	B65C9/00	B65C9/00		7
B65C2009/0046	11	{by hot air}	B65C9/00	B65C9/00		7
B65C2009/005	10	{for reorienting the labels}	B65C9/00	B65C9/00		30
B65C2009/0053	11	{by rotation}	B65C9/00	B65C9/00		40
B65C2009/0056	10	{removing overlapping labels from backing webs}	B65C9/00	B65C9/00		
B65C2009/0059	9	{Preparing the articles}	B65C9/00	B65C9/00		213
B65C9/0062	8	{Interchangeable modules, e.g. applicator heads with label magazines and glue rollers}	B65C9/00	B65C9/00		146
B65C9/0065	8	{Cutting tubular labels from a web}	B65C9/00	B65C9/00		59
B65C2009/0068	8	{Machines or apparatus used with gas bottles}	B65C9/00	B65C9/00		8
B65C2009/0071	8	{Details of glueing devices}	B65C9/00	B65C9/00		77
B65C2009/0075	9	{Constructional details of glueing rollers}	B65C9/00	B65C9/00		47
