B65D1/00	7	Rigid or semi-rigid containers having bodies formed in one piece, e.g. by casting metallic material, by moulding plastics, by blowing vitreous material, by throwing ceramic material, by moulding pulped fibrous material or by deep-drawing operations performed on sheet material (with curved or partially-curved cross-section made by winding or bending paper B65D3/00; with polygonal cross-section formed by folding B65D5/00; specially constructed to be opened by cutting, piercing or tearing of wall portions B65D17/00; rigid pallets with side walls B65D19/02)	B65D1/00	B65D1/00		705
B65D1/02	8	Bottles or similar containers with necks or like restricted apertures, designed for pouring contents (thermally-insulated containers B65D81/38, A47J41/00; {feeding-bottles A61J9/00})	B65D1/02	B65D1/02		1208
B65D1/0207	9	{characterised by material, e.g. composition, physical features}	B65D1/02	B65D1/02		1385
B65D1/0215	10	{multilayered (B65D81/3837 takes precedence)}	B65D1/02	B65D1/02		1074
B65D1/0223	9	{characterised by shape}	B65D1/02	B65D1/02		2416
B65D1/023	10	{Neck construction}	B65D1/02	B65D1/02		1167
B65D1/0238	11	{Integral frangible closures}	B65D1/02	B65D1/02		504
B65D1/0246	11	{Closure retaining means, e.g. beads, screw-threads}	B65D1/02	B65D1/02		1309
B65D1/0253	11	{Means facilitating removal of the closure, e.g. cams, levers}	B65D1/02	B65D1/02		130
B65D1/0261	10	{Bottom construction (B65D1/06 takes precedence)}	B65D1/02	B65D1/02		518
B65D1/0269	11	{Openers}	B65D1/02	B65D1/02		44
B65D1/0276	11	{having a continuous contact surface, e.g. Champagne-type bottom}	B65D1/02	B65D1/02		683
B65D1/0284	11	{having a discontinuous contact surface, e.g. discrete feet}	B65D1/02	B65D1/02		483
B65D1/0292	10	{Foldable bottles}	B65D1/02	B65D1/02		953
B65D1/04	9	Multi-cavity bottles	B65D1/04	B65D1/04		971
B65D1/06	9	with closable apertures at bottom	B65D1/06	B65D1/06		668
B65D1/08	9	adapted to discharge drops	B65D1/08	B65D1/08		265
B65D1/09	8	Ampoules	B65D1/09	B65D1/09		196
B65D1/095	9	{made of flexible material}	B65D1/09	B65D1/09		263
B65D1/10	8	Jars, e.g. for preserving foodstuffs {(B65D81/3837 takes precedence)}	B65D1/10	B65D1/10		586
B65D1/12	8	Cans, casks, barrels, or drums	B65D1/12	B65D1/12		535
B65D1/14	9	characterised by shape	B65D1/14	B65D1/14		257
B65D1/16	10	of curved cross-section, e.g. cylindrical	B65D1/16	B65D1/16		576
B65D1/165	11	{Cylindrical cans}	B65D1/16	B65D1/16		946
B65D1/18	10	of polygonal cross-section	B65D1/18	B65D1/18		247
B65D1/20	9	characterised by location or arrangement of filling or discharge apertures	B65D1/20	B65D1/20		767
B65D1/22	8	Boxes or like containers with side walls of substantial depth for enclosing contents {(B65D43/162, B65D81/02, B65D81/3813 take precedence)}	B65D1/22	B65D1/22		1662
B65D1/225	9	{Collapsible boxes}	B65D1/22	B65D1/22		635
B65D1/24	9	with moulded compartments or partitions	B65D1/24	B65D1/24		836
B65D1/243	10	{Crates for bottles or like containers}	B65D1/24	B65D1/24		1377
B65D1/246	11	{Cover elements inserted in crates}	B65D1/24	B65D1/24		113
B65D1/26	9	Thin-walled containers, e.g. formed by deep-drawing operations {(B65D1/165 takes precedence)}	B65D1/26	B65D1/26		900
