C08G2/00	7	Addition polymers of aldehydes or cyclic oligomers thereof or of ketones; Addition copolymers thereof with less than 50 molar percent of other substances	C08G2/00	C08G2/00		339
C08G2/02	8	Polymerisation initiated by wave energy or by particle radiation	C08G2/02	C08G2/02		85
C08G2/04	8	Polymerisation by using compounds which act upon the molecular weight, e.g. chain-transferring agents	C08G2/04	C08G2/04		53
C08G2/06	8	Catalysts (Catalysts in general B01J)	C08G2/06	C08G2/06		998
C08G2/08	8	Polymerisation of formaldehyde	C08G2/08	C08G2/08		602
C08G2/10	8	Polymerisation of cyclic oligomers of formaldehyde	C08G2/10	C08G2/10		490
C08G2/12	8	Polymerisation of acetaldehyde or cyclic oligomers thereof	C08G2/12	C08G2/12		260
C08G2/14	8	Polymerisation of single aldehydes not provided for in groups C08G2/08&#160;-&#160;C08G2/12	C08G2/14	C08G2/14		381
C08G2/16	8	Polymerisation of single ketones	C08G2/16	C08G2/16		160
C08G2/18	8	Copolymerisation of aldehydes or ketones	C08G2/18	C08G2/18		732
C08G2/20	9	with other aldehydes or ketones	C08G2/20	C08G2/20		159
C08G2/22	9	with epoxy compounds	C08G2/22	C08G2/22		221
C08G2/24	9	with acetals	C08G2/24	C08G2/24		246
C08G2/26	9	with compounds containing carbon-to-carbon unsaturation	C08G2/26	C08G2/26		259
C08G2/28	8	Post-polymerisation treatments	C08G2/28	C08G2/28		208
C08G2/30	8	Chemical modification by after-treatment	C08G2/30	C08G2/30		368
C08G2/32	9	by esterification	C08G2/32	C08G2/32		93
C08G2/34	9	by etherification	C08G2/34	C08G2/34		69
C08G2/36	9	by depolymerisation	C08G2/36	C08G2/36		76
C08G2/38	8	Block or graft polymers prepared by polymerisation of aldehydes or ketones on to macromolecular compounds	C08G2/38	C08G2/38		186
C08G4/00	7	Condensation polymers of aldehydes or ketones with polyalcohols; Addition polymers of heterocyclic oxygen compounds containing in the ring at least once the grouping &#8212;O&#8212;C&#8212;O&#8212; (of cyclic oligomers of aldehydes C08G2/00)	C08G4/00	C08G4/00		557
C08G6/00	7	Condensation polymers of aldehydes or ketones only	C08G6/00	C08G6/00		184
C08G6/02	8	of aldehydes with ketones	C08G6/02	C08G6/02		314
C08G8/00	7	Condensation polymers of aldehydes or ketones with phenols only	C08G8/00	C08G8/00		323
C08G8/02	8	of ketones	C08G8/02	C08G8/02		229
C08G8/04	8	of aldehydes	C08G8/04	C08G8/04		876
C08G8/06	9	of furfural	C08G8/06	C08G8/06		177
C08G8/08	9	of formaldehyde, e.g. of formaldehyde formed in situ	C08G8/08	C08G8/08		763
C08G8/10	10	with phenol	C08G8/10	C08G8/10		1551
C08G8/12	10	with monohydric phenols having only one hydrocarbon substituent ortho on para to the OH group, e.g. p-tert.-butyl phenol	C08G8/12	C08G8/12		412
C08G8/14	10	with halogenated phenols	C08G8/14	C08G8/14		53
C08G8/16	10	with amino- or nitrophenols	C08G8/16	C08G8/16		61
