C21C1/00	7	Refining of pig-iron; Cast iron	C21C1/00	C21C1/00		1125
C21C1/02	8	Dephosphorising or desulfurising	C21C1/02	C21C1/02		2127
C21C1/025	9	{Agents used for dephosphorising or desulfurising}	C21C1/02	C21C1/02		759
C21C1/04	8	Removing impurities other than carbon, phosphorus or sulfur	C21C1/04	C21C1/04		450
C21C1/06	8	Constructional features of mixers for pig-iron	C21C1/06	C21C1/06		461
C21C1/08	8	Manufacture of cast-iron	C21C1/08	C21C1/08		1087
C21C1/10	8	Making spheroidal graphite cast-iron	C21C1/10	C21C1/10		1360
C21C1/105	9	{Nodularising additive agents}	C21C1/10	C21C1/10		755
C21C3/00	7	Manufacture of wrought-iron or wrought-steel	C21C3/00	C21C3/00		362
C21C5/00	7	Manufacture of carbon-steel, e.g. plain mild steel, medium carbon steel or cast steel {or stainless steel}	C21C5/00	C21C5/00		220
C21C5/005	8	{Manufacture of stainless steel}	C21C5/00	C21C5/00		935
C21C5/02	8	Crucible furnace process {(C21C5/005 takes precedence)}	C21C5/02	C21C5/02		23
C21C5/04	8	Manufacture of hearth-furnace steel, e.g. Siemens-Martin steel {(C21C5/005 takes precedence)}	C21C5/04	C21C5/04		634
C21C5/06	9	Processes yielding slags of special composition	C21C5/06	C21C5/06		45
C21C5/28	8	Manufacture of steel in the converter {(C21C5/005 takes precedence)}	C21C5/28	C21C5/28		3067
C21C5/285	9	{Plants therefor}	C21C5/28	C21C5/28		153
C21C5/30	9	Regulating or controlling the blowing	C21C5/30	C21C5/30		1173
C21C5/305	10	{Afterburning}	C21C5/30	C21C5/30		70
C21C5/32	10	Blowing from above (C21C5/35 takes precedence)	C21C5/32	C21C5/32		1318
C21C5/34	10	Blowing through the bath (C21C5/35 takes precedence)	C21C5/34	C21C5/34		905
C21C5/35	10	Blowing from above and through the bath	C21C5/35	C21C5/35		1194
C21C5/36	9	Processes yielding slags of special composition	C21C5/36	C21C5/36		1344
C21C2005/363	10	{Slag cements}	C21C5/36	C21C5/36		27
C21C2005/366	10	{Foam slags}	C21C5/36	C21C5/36		115
