E02F1/00	7	General working methods with dredgers or soil-shifting machines (methods for making embankments E02D17/18; methods for mining E21C)	E02F1/00	E02F1/00		327
E02F3/00	7	Dredgers; Soil-shifting machines (for special purposes E02F5/00; other machines or apparatus for mining E21C; tunnelling E21D)	E02F3/00	E02F3/00		96
E02F3/02	8	hand-operated {; handheld soil shifting equipment acting by sucking E02F3/8891(spades or rakes for agriculture or gardening purposes A01B)}	E02F3/02	E02F3/02		349
E02F3/04	8	mechanically-driven	E02F3/04	E02F3/04		287
E02F3/045	9	{with oscillating digging tools, e.g. oscillating spades}	E02F3/04	E02F3/04		47
E02F3/06	9	with digging screws {(earth drilling E21; for digging trenches or ditches E02F5/04)}	E02F3/06	E02F3/06		482
E02F3/08	9	with digging elements on an endless chain (conveyors B65G)	E02F3/08	E02F3/08		718
E02F3/081	10	{mounted on floating substructures (floating substructures per seE02F9/06)}	E02F3/08	E02F3/08		249
E02F3/082	10	{including a belt-type conveyor for transporting the excavated material}	E02F3/08	E02F3/08		84
E02F3/083	10	{including a screw-type conveyor for transporting the excavated material}	E02F3/08	E02F3/08		79
E02F3/085	10	{with auxiliary or additional digging elements other than digging elements on an endless chain}	E02F3/08	E02F3/08		139
E02F3/086	10	{vertically shiftable relative to the frame}	E02F3/08	E02F3/08		195
E02F3/087	10	{with digging unit working in a plane inclined to the direction of travel}	E02F3/08	E02F3/08		128
E02F3/088	10	{pivotable relative to the frame}	E02F3/08	E02F3/08		60
E02F3/10	10	with tools that only loosen the material {, i.e. with cutter-type chains}	E02F3/10	E02F3/10		494
E02F3/12	10	Component parts {, e.g. bucket troughs}	E02F3/12	E02F3/12		164
E02F3/14	11	Buckets; Chains; Guides for buckets or chains; Drives for chains	E02F3/14	E02F3/14		74
E02F3/141	12	{buckets}	E02F3/14	E02F3/14		207
E02F3/142	12	{tools mounted on buckets or chains which loosen the soil, e.g. cutting wheels, or the like (teeth per seE02F9/28)}	E02F3/14	E02F3/14		173
E02F3/143	12	{chains; chain links; scraper chains (chains or chain guides E21C25/28)}	E02F3/14	E02F3/14		178
E02F3/144	12	{emptying or cleaning the buckets, e.g. in combination with spoil removing equipment}	E02F3/14	E02F3/14		131
E02F3/145	12	{drives}	E02F3/14	E02F3/14		176
E02F3/146	12	{guides for chains or buckets, e.g. for buckets movable relative to chains (chains or chain guides E21C25/28)}	E02F3/14	E02F3/14		177
E02F3/147	12	{arrangements for the co-operation between buckets or buckets and wheels}	E02F3/14	E02F3/14		33
E02F3/148	12	{wheels, sprokets}	E02F3/14	E02F3/14		34
E02F3/16	11	Safety or control devices (safety devices in general F16P; controlling in general G05)	E02F3/16	E02F3/16		64
