F01M1/00	7	Pressure lubrication	F01M1/00	F01M1/00		154
F01M1/02	8	using lubricating pumps (pumps in general F04; lubricating pumps per seF16N)	F01M1/02	F01M1/02		3176
F01M2001/0207	9	{characterised by the type of pump}	F01M1/02	F01M1/02		51
F01M2001/0215	10	{Electrical pumps}	F01M1/02	F01M1/02		290
F01M2001/0223	10	{Electromagnetic pumps}	F01M1/02	F01M1/02		59
F01M2001/023	10	{Piston pumps}	F01M1/02	F01M1/02		79
F01M2001/0238	10	{Rotary pumps}	F01M1/02	F01M1/02		575
F01M2001/0246	10	{Adjustable pumps}	F01M1/02	F01M1/02		146
F01M2001/0253	9	{characterised by the pump driving means}	F01M1/02	F01M1/02		177
F01M2001/0261	10	{driven by the camshaft}	F01M1/02	F01M1/02		58
F01M2001/0269	10	{driven by the crankshaft}	F01M1/02	F01M1/02		174
F01M2001/0276	10	{driven by a balancer shaft}	F01M1/02	F01M1/02		95
F01M2001/0284	9	{mounting of the pump}	F01M1/02	F01M1/02		152
F01M2001/0292	9	{Sealings}	F01M1/02	F01M1/02		54
F01M1/04	8	using pressure in working cylinder or crankcase to operate lubricant feeding devices	F01M1/04	F01M1/04		384
F01M1/06	8	Lubricating systems characterised by the provision therein of crankshafts or connecting rods with lubricant passageways, e.g. bores (crankshafts, connecting-rods, per seF16C)	F01M1/06	F01M1/06		1439
F01M2001/062	9	{Crankshaft with passageways}	F01M1/06	F01M1/06		218
F01M2001/064	9	{Camshaft with passageways}	F01M1/06	F01M1/06		162
F01M2001/066	9	{Connecting rod with passageways}	F01M1/06	F01M1/06		183
F01M2001/068	9	{Bakance shaft with passageways}	F01M1/06	F01M1/06		9
F01M1/08	8	Lubricating systems characterised by the provision therein of lubricant jetting means	F01M1/08	F01M1/08		1102
F01M2001/083	9	{for lubricating cylinders}	F01M1/08	F01M1/08		335
F01M2001/086	9	{for lubricating gudgeon pins}	F01M1/08	F01M1/08		276
F01M1/10	8	Lubricating systems characterised by the provision therein of lubricant venting or purifying means, e.g. of filters	F01M1/10	F01M1/10		1323
F01M2001/1007	9	{characterised by the purification means combined with other functions}	F01M1/10	F01M1/10		97
F01M2001/1014	10	{comprising supply of additives}	F01M1/10	F01M1/10		169
F01M2001/1021	10	{comprising self cleaning systems}	F01M1/10	F01M1/10		48
F01M2001/1028	9	{characterised by the type of purification}	F01M1/10	F01M1/10		72
F01M2001/1035	10	{comprising centrifugal filters}	F01M1/10	F01M1/10		166
F01M2001/1042	10	{comprising magnetic parts}	F01M1/10	F01M1/10		203
F01M2001/105	9	{characterised by the layout of the purification arrangements}	F01M1/10	F01M1/10		146
F01M2001/1057	10	{comprising a plurality of filters, parallel or serial}	F01M1/10	F01M1/10		137
F01M2001/1064	10	{comprising drains for oil to the carter, e.g. to recover spilled oil during change of filters}	F01M1/10	F01M1/10		121
F01M2001/1071	10	{comprising oil tanks}	F01M1/10	F01M1/10		55
F01M2001/1078	10	{comprising an oil pick-up tube to oil pump, e.g. strainer}	F01M1/10	F01M1/10		42
F01M2001/1085	10	{comprising non-return valves}	F01M1/10	F01M1/10		43
F01M2001/1092	10	{comprising valves bypassing the filter}	F01M1/10	F01M1/10		212
