F16F1/00	7	Springs (working with fluid F16F5/00, F16F9/00)	F16F1/00	F16F1/00		427
F16F1/02	8	made of steel or other material having low internal friction {(characterised by their special construction from fibre-reinforced plastics F16F1/366; spring units consisting of several springs F16F3/02; making springs from wire B21F35/00)}; Wound, torsion, leaf, cup, ring or the like springs, the material of the spring not being relevant	F16F1/02	F16F1/02		505
F16F1/021	9	{characterised by their composition, e.g. comprising materials providing for particular spring properties (composition and manufacture of clock or watch springs G04B1/145)}	F16F1/02	F16F1/02		438
F16F1/022	10	{made of ceramic materials}	F16F1/02	F16F1/02		28
F16F1/024	9	{Covers or coatings therefor (F16F1/24 takes precedence)}	F16F1/02	F16F1/02		306
F16F1/025	9	{characterised by having a particular shape (F16F1/04, F16F1/14, F16F1/18, F16F1/32, F16F1/34 take precedence)}	F16F1/02	F16F1/02		589
F16F1/027	10	{Planar, e.g. in sheet form; leaf springs}	F16F1/02	F16F1/02		404
F16F1/028	10	{cylindrical, with radial openings}	F16F1/02	F16F1/02		138
F16F1/04	9	Wound springs {(making springs by coiling wire B21F3/00)}	F16F1/04	F16F1/04		1108
F16F1/041	10	{with means for modifying the spring characteristics (F16F1/12, F16F3/06 take precedence; fluid regulation of coil spring characteristics in vehicle suspensions B60G17/0272)}	F16F1/04	F16F1/04		286
F16F1/042	10	{characterised by the cross-section of the wire}	F16F1/04	F16F1/04		224
F16F1/043	11	{the cross-section varying with the wire length}	F16F1/04	F16F1/04		93
F16F1/045	10	{Canted-coil springs}	F16F1/04	F16F1/04		125
F16F1/046	10	{with partial nesting of inner and outer coils (F16F3/04 takes precedence)}	F16F1/04	F16F1/04		38
F16F1/047	10	{characterised by varying pitch}	F16F1/04	F16F1/04		142
F16F1/048	10	{with undulations, e.g. wavy springs}	F16F1/04	F16F1/04		33
F16F1/06	10	with turns lying in cylindrical surfaces	F16F1/06	F16F1/06		761
F16F1/065	11	{characterised by loading of the coils in a radial direction (canted-coil springs F16F1/045)}	F16F1/06	F16F1/06		27
F16F1/08	10	with turns lying in mainly conical surfaces {, i.e. characterised by varying diameter (F16F1/10 takes precedence)}	F16F1/08	F16F1/08		218
F16F1/10	10	Spiral springs with turns lying substantially in plane surfaces {(F16F1/326 takes precedence)}	F16F1/10	F16F1/10		465
F16F1/12	10	Attachments or mountings {(F16F1/041, F16F13/02 take precedence; of combinations of vibration damper and mechanical spring for vehicle suspension units B60G15/02)}	F16F1/12	F16F1/12		988
F16F1/121	11	{adjustable, e.g. to modify spring characteristics}	F16F1/12	F16F1/12		350
F16F1/122	11	{where coils, e.g. end coils, of the spring are rigidly clamped or similarly fixed}	F16F1/12	F16F1/12		244
F16F1/123	11	{characterised by the ends of the spring being specially adapted, e.g. to form an eye for engagement with a radial insert (F16F1/122, F16F1/125 take precedence)}	F16F1/12	F16F1/12		306
