F41B1/00	7	Blow guns, i.e. tubes for impelling projectiles, e.g. peas or darts, by the force of the breath (pop guns A63H)	F41B1/00	F41B1/00		167
F41B3/00	7	Sling weapons (throwing-apparatus for clay-pigeon or clay-disc targets F41J9/18)	F41B3/00	F41B3/00		137
F41B3/005	8	{Catapults in pistol or rifle form having a cocking device, i.e. a mechanical device for holding the elastic band}	F41B3/00	F41B3/00		269
F41B3/02	8	Catapults, e.g. slingshots	F41B3/02	F41B3/02		626
F41B3/03	9	Catapults having a pivotable launcher arm	F41B3/03	F41B3/03		108
F41B3/04	8	Centrifugal sling apparatus	F41B3/04	F41B3/04		225
F41B4/00	7	Friction-wheel operated launchers	F41B4/00	F41B4/00		139
F41B5/00	7	Bows; Crossbows	F41B5/00	F41B5/00		130
F41B5/0005	8	{Single stave recurve bows}	F41B5/00	F41B5/00		124
F41B5/001	9	{characterised by the material}	F41B5/00	F41B5/00		15
F41B5/0015	10	{fibre reinforced}	F41B5/00	F41B5/00		30
F41B5/0021	10	{laminated}	F41B5/00	F41B5/00		20
F41B5/0026	9	{Take-down or foldable bows}	F41B5/00	F41B5/00		167
F41B5/0031	10	{Handle or riser units}	F41B5/00	F41B5/00		139
F41B5/0036	11	{characterised by the material}	F41B5/00	F41B5/00		9
F41B5/0042	12	{fibre reinforced}	F41B5/00	F41B5/00		15
F41B5/0047	12	{laminated}	F41B5/00	F41B5/00		4
F41B5/0052	10	{Limbs}	F41B5/00	F41B5/00		68
F41B5/0057	11	{characterised by the material}	F41B5/00	F41B5/00		10
F41B5/0063	12	{fibre reinforced}	F41B5/00	F41B5/00		35
F41B5/0068	12	{laminated}	F41B5/00	F41B5/00		31
F41B5/0073	8	{Single stave non-recurve bows}	F41B5/00	F41B5/00		70
F41B5/0078	9	{characterised by the material}	F41B5/00	F41B5/00		4
F41B5/0084	10	{fibre reinforced}	F41B5/00	F41B5/00		13
F41B5/0089	10	{laminated}	F41B5/00	F41B5/00		7
F41B5/0094	8	{Non-traditional bows, e.g. having hinged limbs or non-stave geometry}	F41B5/00	F41B5/00		216
F41B5/06	8	Quivers	F41B5/06	F41B5/06		97
F41B5/063	9	{worn on the body of the archer}	F41B5/06	F41B5/06		59
F41B5/066	9	{mounted on the bow or crossbow}	F41B5/06	F41B5/06		156
F41B5/10	8	Compound bows {(compound crossbows F41B5/123)}	F41B5/10	F41B5/10		752
F41B5/105	9	{Cams or pulleys for compound bows}	F41B5/10	F41B5/10		445
F41B5/12	8	Crossbows	F41B5/12	F41B5/12		646
F41B5/123	9	{Compound crossbows}	F41B5/12	F41B5/12		321
F41B5/126	9	{Repeating crossbows; crossbows with magazines}	F41B5/12	F41B5/12		135
F41B5/14	8	Details of bows; Accessories for arc shooting (sighting devices for bows F41G1/467)	F41B5/14	F41B5/14		812
F41B5/1403	9	{Details of bows; (camera&apos;s on bows F41B5/1492)}	F41B5/14	F41B5/14		332
F41B5/1407	10	{Bow-string silencing devices}	F41B5/14	F41B5/14		43
F41B5/1411	10	{Bow-strings}	F41B5/14	F41B5/14		132
F41B5/1415	11	{Nocking points}	F41B5/14	F41B5/14		45
F41B5/1419	11	{String mounted peep sights (sights mounted on the bow itself F41G1/467)}	F41B5/14	F41B5/14		60
F41B5/1423	11	{Kissers}	F41B5/14	F41B5/14		6
F41B5/1426	10	{Bow stabilisers or vibration dampers}	F41B5/14	F41B5/14		539
F41B5/143	10	{Arrow rests or guides}	F41B5/14	F41B5/14		601
F41B5/1434	10	{Clickers or draw indicators}	F41B5/14	F41B5/14		39
F41B5/1438	10	{Buttons}	F41B5/14	F41B5/14		83
F41B5/1442	9	{Accessories for arc or bow shooting}	F41B5/14	F41B5/14		51
F41B5/1446	10	{Arrow fletching jigs}	F41B5/14	F41B5/14		92
F41B5/1449	10	{Bow tensioning devices; Bow presses; Rigs for bow assembly or maintenance}	F41B5/14	F41B5/14		137
F41B5/1453	10	{Stands, rests or racks for bows}	F41B5/14	F41B5/14		130
F41B5/1457	10	{Cases, bags or covers for bows}	F41B5/14	F41B5/14		45
F41B5/1461	10	{Devices for hands-free carrying of strung bows}	F41B5/14	F41B5/14		59
F41B5/1465	10	{Arrow pullers}	F41B5/14	F41B5/14		60
F41B5/1469	10	{Bow-string drawing or releasing devices (F41B5/1473 takes precedence)}	F41B5/14	F41B5/14		724
F41B5/1473	10	{Archer&apos;s finger tabs}	F41B5/14	F41B5/14		98
F41B5/1476	10	{Devices for archery training}	F41B5/14	F41B5/14		84
F41B5/148	10	{Accessories and tools for bow shooting not otherwise provided for}	F41B5/14	F41B5/14		205
F41B5/1484	9	{Bows with special adaptations or devices for special purposes}	F41B5/14	F41B5/14		97
F41B5/1488	10	{with reels for fishing or arrow retrieval}	F41B5/14	F41B5/14		61
F41B5/1492	10	{with cameras; mounting of cameras on bows}	F41B5/14	F41B5/14		42
F41B5/1496	10	{with camouflage; Mounting of camouflage on bows}	F41B5/14	F41B5/14		21
F41B6/00	7	Electromagnetic launchers {; Plasma-actuated launchers (projectiles for electromagnetic or plasma guns F42B6/006)}	F41B6/00	F41B6/00		450
F41B6/003	8	{using at least one driving coil for accelerating the projectile, e.g. an annular coil}	F41B6/00	F41B6/00		205
F41B6/006	8	{Rail launchers}	F41B6/00	F41B6/00		355
F41B7/00	7	Spring guns ({F41J9/18 takes precedence; catapults having a cocking device F41B3/005}; catapults F41B3/02; {throwing apparatus for boomerangs A63B65/08; spring-loaded devices for projecting sporting balls A63B69/407})	F41B7/00	F41B7/00		364
F41B7/003	8	{Spring guns in pistol or rifle form}	F41B7/00	F41B7/00		385
F41B7/006	8	{Adaptations for feeding or loading missiles from magazines}	F41B7/00	F41B7/00		441
F41B7/02	8	the spring forming part of the missile or projectile	F41B7/02	F41B7/02		45
F41B7/025	9	{Rubber-band projecting guns}	F41B7/02	F41B7/02		201
F41B7/04	8	adapted to discharge harpoons	F41B7/04	F41B7/04		311
F41B7/043	9	{Accessories therefor}	F41B7/04	F41B7/04		72
F41B7/046	10	{Trigger mechanisms therefor}	F41B7/04	F41B7/04		73
