G01B1/00	7	Measuring instruments characterised by the selection of material therefor	G01B1/00	G01B1/00		520
G01B3/00	7	Measuring instruments characterised by the use of mechanical techniques<br><br><u>NOTE</u><br><br>When classifying in this group, mechanical arrangements for measuring specific parameters can be further classified in group G01B5/00.	G01B3/00	G01B3/00		495
G01B3/002	8	{Details}	G01B3/00	G01B3/00		467
G01B3/004	9	{Scales; Graduations}	G01B3/00	G01B3/00		1005
G01B3/006	10	{having both coarse and fine graduation}	G01B3/00	G01B3/00		164
G01B3/008	9	{Arrangements for controlling the measuring force}	G01B3/00	G01B3/00		461
G01B3/02	8	Rulers with scales or marks for direct reading (measuring tapes G01B3/10)	G01B3/02	G01B3/02		1317
G01B3/04	9	rigid	G01B3/04	G01B3/04		1528
G01B3/06	10	folding	G01B3/06	G01B3/06		828
G01B3/08	10	extensible	G01B3/08	G01B3/08		640
G01B3/10	8	Measuring tapes	G01B3/10	G01B3/10		560
G01B3/1003	9	characterised by structure or material; characterised by layout or indicia	G01B3/1003	G01B3/1003		836
G01B3/1004	10	{Measuring tapes without casings}	G01B3/1003	G01B3/10		133
G01B3/1005	9	Means for controlling winding or unwinding of tapes	G01B3/1005	G01B3/1005		836
G01B3/1007	10	Means for locking	G01B3/1007	G01B3/1007		101
G01B2003/101	11	{acting on the drum}	G01B3/1007	G01B3/10		98
G01B2003/1012	11	{engaging the tape in a direction parallel to the tape itself}	G01B3/1007	G01B3/10		60
G01B2003/1015	11	{engaging the tape in a direction transversal to the tape itself}	G01B3/1007	G01B3/10		201
G01B2003/1017	11	{acting on the whole coil}	G01B3/1007	G01B3/10		54
G01B3/102	10	Means for damping	G01B3/102	G01B3/102		91
G01B2003/1023	10	{Winding mechanisms}	G01B3/1005	G01B3/102		87
G01B2003/1025	11	{operated manually, e.g. crank-handles}	G01B3/1005	G01B3/102		260
G01B2003/1028	11	{operated by electric motors}	G01B3/1005	G01B3/102		71
G01B2003/103	11	{operated by springs}	G01B3/1005	G01B3/10		172
G01B2003/1033	10	{Means for activating the locking, braking or releasing of the tape, e.g. buttons}	G01B3/1005	G01B3/10		54
G01B2003/1035	11	{by pivotal operation}	G01B3/1005	G01B3/10		108
G01B2003/1038	11	{by translatory motion operation}	G01B3/1005	G01B3/10		141
G01B3/1041	9	characterised by casings	G01B3/1041	G01B3/1041		813
G01B3/1043	10	Details of internal structure thereof, e.g. means for coupling separately moulded casing halves	G01B3/1043	G01B3/1043		423
G01B3/1046	10	Details of external structure thereof, e.g. shapes for ensuring firmer hold	G01B3/1046	G01B3/1046		500
G01B3/1048	11	Integrated means for affixing or holding	G01B3/1048	G01B3/1048		280
G01B2003/1051	10	{specially adapted for two or more tapes within the same casing}	G01B3/1041	G01B3/10		80
G01B2003/1053	10	{Tape exit slots, e.g. shape or exit direction}	G01B3/1041	G01B3/10		212
G01B3/1056	9	Tape end arrangements, e.g. end-hooks	G01B3/1056	G01B3/1056		666
G01B2003/1058	9	{Manufacturing or assembling methods}	G01B3/10	G01B3/10		188
G01B3/1061	9	Means for displaying or assisting reading of length measurement	G01B3/1061	G01B3/1061		341
G01B2003/1064	10	{Windows, e.g. lenses, glasses or cross-hairs}	G01B3/1061	G01B3/10		161
G01B2003/1066	10	{Index sliding on tape}	G01B3/1061	G01B3/10		65
G01B3/1069	10	Electronic or mechanical display arrangements	G01B3/1069	G01B3/1069		294
G01B3/1071	9	Separate means for supporting or affixing measuring tapes	G01B3/1071	G01B3/1071		436
G01B2003/1074	10	{associated with the casings}	G01B3/1071	G01B3/10		228
G01B2003/1076	10	{associated with the end-hooks}	G01B3/1071	G01B3/10		228
G01B2003/1079	10	{associated with the tapes}	G01B3/1071	G01B3/10		137
G01B3/1084	9	Tapes combined with arrangements for functions other than measuring lengths	G01B3/1084	G01B3/1084		989
G01B2003/1087	10	{for illuminating}	G01B3/1084	G01B3/10		102
G01B3/1089	10	for marking, drawing or cutting	G01B3/1089	G01B3/1089		449
G01B3/1092	10	for performing length measurements and at least one other measurement of a different nature, e.g. bubble-type level	G01B3/1092	G01B3/1092		388
G01B3/1094	10	for recording information or for performing calculations	G01B3/1094	G01B3/1094		266
G01B2003/1097	10	{Tape measures with an adhesive surface}	G01B3/1084	G01B3/10		73
G01B3/11	8	Chains for measuring length	G01B3/11	G01B3/11		241
G01B3/12	8	Measuring wheels	G01B3/12	G01B3/12		755
G01B3/14	8	Templates for checking contours {(templates for mounting doors or windows E04F21/0007)}	G01B3/14	G01B3/14		423
G01B3/16	8	Compasses, i.e. with a pair of pivoted arms	G01B3/16	G01B3/16		277
G01B3/163	9	{without measuring scale}	G01B3/16	G01B3/16		16
G01B3/166	9	{provided with a measuring scale}	G01B3/16	G01B3/16		396
G01B3/18	8	Micrometers	G01B3/18	G01B3/18		1654
G01B3/20	8	Slide gauges	G01B3/20	G01B3/20		1722
G01B3/205	9	{provided with a counter for digital indication of the measured dimension}	G01B3/20	G01B3/20		451
G01B3/22	8	Feeler-pin gauges, e.g. dial gauges (for measuring contours or curvatures G01B5/20)	G01B3/22	G01B3/22		1508
G01B3/24	9	with open yoke, i.e. calipers	G01B3/24	G01B3/24		402
G01B3/26	9	Plug gauges	G01B3/26	G01B3/26		231
G01B3/28	9	Depth gauges	G01B3/28	G01B3/28		446
G01B3/30	8	Bars, blocks, or strips in which the distance between a pair of faces is fixed, although it may be preadjustable, e.g. end measure, feeler strip	G01B3/30	G01B3/30		714
G01B3/303	9	{pre-adjustable, e.g. by means of micrometerscrew}	G01B3/30	G01B3/30		110
G01B3/306	10	{with inclined slide plane}	G01B3/30	G01B3/30		85
G01B3/32	9	Holders therefor	G01B3/32	G01B3/32		98
G01B3/34	8	Ring or other apertured gauges, e.g. "go/no-go" gauge	G01B3/34	G01B3/34		444
G01B3/36	9	for external screw-threads	G01B3/36	G01B3/36		100
G01B3/38	8	Gauges with an open yoke and opposed faces, i.e. calipers, in which the internal distance between the faces is fixed, although it may be preadjustable	G01B3/38	G01B3/38		438
G01B3/40	9	for external screw-threads	G01B3/40	G01B3/40		446
G01B3/42	9	of limit-gauge type, i.e. "go/no-go" (G01B3/40 takes precedence)	G01B3/42	G01B3/42		80
G01B3/44	10	preadjustable for wear or tolerance	G01B3/44	G01B3/44		199
G01B3/46	8	Plug gauges for internal dimensions with engaging surfaces which are at a fixed distance, although they may be preadjustable	G01B3/46	G01B3/46		392
G01B3/48	9	for internal screw-threads	G01B3/48	G01B3/48		400
G01B3/50	9	of limit-gauge type, i.e. "go/no-go" (G01B3/48 takes precedence)	G01B3/50	G01B3/50		144
G01B3/52	10	preadjustable for wear or tolerance	G01B3/52	G01B3/52		21
G01B3/56	8	Gauges for measuring angles or tapers, e.g. conical calipers	G01B3/56	G01B3/56		1830
G01B3/563	9	{Protractors (for use in geodesy G01C1/00; protractor heads for drawing machines B43L13/08)}	G01B3/56	G01B3/56		746
G01B3/566	9	{Squares}	G01B3/56	G01B3/56		641
G01B5/00	7	Measuring arrangements characterised by the use of mechanical techniques<br><br><u>NOTE</u><br><br>When classifying in this group, specific mechanical measuring instruments can be further classified in group G01B3/00.	G01B5/00	G01B5/00		4067
G01B5/0002	8	{Arrangements for supporting, fixing or guiding the measuring instrument or the object to be measured}	G01B5/00	G01B5/00		4639
G01B5/0004	9	{Supports (G01B5/025 takes precedence)}	G01B5/00	G01B5/00		3731
G01B5/0007	9	{Surface plates}	G01B5/00	G01B5/00		137
G01B5/0009	9	{Guiding surfaces; Arrangements compensating for non-linearity there-of}	G01B5/00	G01B5/00		287
G01B5/0011	8	{Arrangements for eliminating or compensation of measuring errors due to temperature or weight}	G01B5/00	G01B5/00		117
G01B5/0014	9	{due to temperature (on machine tools B23Q11/0003)}	G01B5/00	G01B5/00		516
G01B5/0016	9	{due to weight (on machine tools B23Q11/001)}	G01B5/00	G01B5/00		187
G01B5/0018	8	{for measuring key-ways}	G01B5/00	G01B5/00		102
G01B5/0021	8	{for measuring the volumetric dimension of an object}	G01B5/00	G01B5/00		165
G01B5/0023	8	{Measuring of sport goods, e.g. bowling accessories, golfclubs, game balls}	G01B5/00	G01B5/00		295
G01B5/0025	8	{Measuring of vehicle parts (G01B5/003 takes precedence)}	G01B5/00	G01B5/00		3013
G01B5/0028	9	{Brakes, brakeshoes, clutches}	G01B5/00	G01B5/00		223
G01B5/003	8	{Measuring of motor parts}	G01B5/00	G01B5/00		927
G01B5/0032	9	{Valves, actuating devices for valves}	G01B5/00	G01B5/00		108
G01B5/0035	8	{Measuring of dimensions of trees}	G01B5/00	G01B5/00		433
G01B5/0037	8	{Measuring of dimensions of welds}	G01B5/00	G01B5/00		181
G01B5/004	8	for measuring coordinates of points	G01B5/004	G01B5/004		609
G01B5/008	9	using coordinate measuring machines	G01B5/008	G01B5/008		1468
G01B5/012	10	Contact-making feeler heads therefor	G01B5/012	G01B5/012		952
G01B5/016	11	Constructional details of contacts	G01B5/016	G01B5/016		127
G01B5/02	8	for measuring length, width or thickness (G01B5/004, G01B5/08 take precedence)	G01B5/02	G01B5/02		4970
G01B5/025	9	{Measuring of circumference; Measuring length of ring-shaped articles (G01B5/0035 takes precedence)}	G01B5/02	G01B5/02		351
G01B5/04	9	specially adapted for measuring length or width of objects while moving	G01B5/04	G01B5/04		106
G01B5/043	10	{for measuring length}	G01B5/04	G01B5/04		1261
G01B5/046	10	{for measuring width}	G01B5/04	G01B5/04		117
G01B5/06	9	for measuring thickness	G01B5/06	G01B5/06		1930
G01B5/061	10	{height gauges}	G01B5/06	G01B5/06		1671
G01B5/063	11	{provided with a slide which may be moved along a vertical support by means of a micrometer screw}	G01B5/06	G01B5/06		109
G01B5/065	11	{provided with a slide which may be fixed along its vertical support in discrete calibrated position}	G01B5/06	G01B5/06		50
G01B5/066	10	{of coating}	G01B5/06	G01B5/06		304
G01B5/068	10	{of objects while moving (G01B5/066 takes precedence)}	G01B5/06	G01B5/06		430
G01B5/08	8	for measuring diameters {(G01B5/0035 takes precedence; measuring radius of curvature G01B5/213)}	G01B5/08	G01B5/08		3022
G01B5/10	9	of objects while moving	G01B5/10	G01B5/10		226
G01B5/12	9	internal diameters	G01B5/12	G01B5/12		2148
G01B5/14	8	for measuring distance or clearance between spaced objects or spaced apertures (G01B5/24 takes precedence)	G01B5/14	G01B5/14		2927
G01B5/143	9	{between holes on a workpiece}	G01B5/14	G01B5/14		322
G01B5/146	9	{measuring play on bearings}	G01B5/14	G01B5/14		286
G01B5/16	9	between a succession of regularly spaced objects or regularly spaced apertures	G01B5/16	G01B5/16		248
G01B5/163	10	{of screw-threads}	G01B5/16	G01B5/16		200
G01B5/166	10	{of gear teeth}	G01B5/16	G01B5/16		127
G01B5/18	8	for measuring depth	G01B5/18	G01B5/18		1519
G01B5/20	8	for measuring contours or curvatures	G01B5/20	G01B5/20		2924
G01B5/201	9	{for measuring roundness}	G01B5/20	G01B5/20		758
G01B5/202	9	{of gears}	G01B5/20	G01B5/20		253
