G01J1/00	7	Photometry, e.g. photographic exposure meter (spectrophotometry G01J3/00; specially adapted for radiation pyrometry G01J5/00{; exposure meters built in cameras G03B17/06})	G01J1/00	G01J1/00		1488
G01J1/02	8	Details	G01J1/02	G01J1/02		1982
G01J1/0204	9	{Compact construction}	G01J1/02	G01J1/02		344
G01J1/0209	10	{Monolithic}	G01J1/02	G01J1/02		262
G01J1/0214	9	{Constructional arrangements for removing stray light}	G01J1/02	G01J1/02		305
G01J1/0219	9	{Electrical interface; User interface}	G01J1/02	G01J1/02		524
G01J1/0223	9	{Sample holders for photometry}	G01J1/02	G01J1/02		71
G01J1/0228	9	{Control of working procedures; Failure detection; Spectral bandwidth calculation}	G01J1/02	G01J1/02		540
G01J1/0233	9	{Handheld}	G01J1/02	G01J1/02		261
G01J1/0238	9	{making use of sensor-related data, e.g. for identification of sensor or optical parts}	G01J1/02	G01J1/02		272
G01J1/0242	9	{Control or determination of height or angle information of sensors or receivers; Goniophotometry}	G01J1/02	G01J1/02		331
G01J1/0247	9	{using a charging unit}	G01J1/02	G01J1/02		77
G01J1/0252	9	{Constructional arrangements for compensating for fluctuations caused by, e.g. temperature, or using cooling or temperature stabilization of parts of the device; Controlling the atmosphere inside a photometer; Purge systems, cleaning devices (protection against electromagnetic interferences G01J2001/0276)}	G01J1/02	G01J1/02		404
G01J2001/0257	9	{portable}	G01J1/02	G01J1/02		99
G01J2001/0261	10	{Pocket size;  Card size}	G01J1/02	G01J1/02		15
G01J1/0266	9	{Field-of-view determination; Aiming or pointing of a photometer; Adjusting alignment; Encoding angular position; Size of the measurement area; Position tracking; Photodetection involving different fields of view for a single detector}	G01J1/02	G01J1/02		518
G01J1/0271	9	{Housings; Attachments or accessories for photometers}	G01J1/02	G01J1/02		1158
G01J2001/0276	9	{Protection}	G01J1/02	G01J1/02		235
G01J2001/028	10	{against liquid}	G01J1/02	G01J1/02		20
G01J2001/0285	10	{against laser damage}	G01J1/02	G01J1/02		64
G01J1/029	9	{Multi-channel photometry}	G01J1/02	G01J1/02		80
G01J1/0295	9	{Constructional arrangements for removing other types of optical noise or for performing calibration}	G01J1/02	G01J1/02		371
G01J1/04	9	Optical or mechanical part {supplementary adjustable parts}	G01J1/04	G01J1/04		1904
G01J1/0403	10	{Mechanical elements; Supports for optical elements; Scanning arrangements}	G01J1/04	G01J1/04		856
G01J1/0407	10	{Optical elements not provided otherwise, e.g. manifolds, windows, holograms, gratings}	G01J1/04	G01J1/04		967
G01J1/0411	11	{using focussing or collimating elements, i.e. lenses or mirrors; Aberration correction}	G01J1/04	G01J1/04		1172
G01J1/0414	11	{using plane or convex mirrors, parallel phase plates, or plane beam-splitters}	G01J1/04	G01J1/04		495
G01J1/0418	11	{using attenuators}	G01J1/04	G01J1/04		262
G01J1/0422	11	{using light concentrators, collectors or condensers}	G01J1/04	G01J1/04		376
G01J1/0425	11	{using optical fibers}	G01J1/04	G01J1/04		638
G01J1/0429	11	{using polarisation elements}	G01J1/04	G01J1/04		241
G01J1/0433	11	{using notch filters}	G01J1/04	G01J1/04		78
G01J1/0437	11	{using masks, aperture plates, spatial light modulators, spatial filters, e.g. reflective filters}	G01J1/04	G01J1/04		602
G01J1/044	11	{using shutters}	G01J1/04	G01J1/04		115
G01J1/0444	11	{using means for replacing an element by another, e.g. for replacing a filter or grating}	G01J1/04	G01J1/04		41
G01J1/0448	11	{Adjustable, e.g. focussing}	G01J1/04	G01J1/04		223
G01J1/0451	11	{using means for illuminating a slit efficiently, e.g. entrance slit of a photometer or entrance face of fiber}	G01J1/04	G01J1/04		50
G01J1/0455	11	{having a throughhole enabling the optical element to fulfil an additional optical function, e.g. a mirror or grating having a through-hole for a light collecting or light injecting optical fibre}	G01J1/04	G01J1/04		69
G01J1/0459	11	{using an optical amplifier of light or coatings to improve optical coupling}	G01J1/04	G01J1/04		41
G01J1/0462	11	{Slit arrangements}	G01J1/04	G01J1/04		68
G01J1/0466	11	{with a sighting port}	G01J1/04	G01J1/04		45
G01J1/047	11	{using extension/expansion of solids or fluids, change of resonant frequency or extinction effect}	G01J1/04	G01J1/04		10
G01J1/0474	11	{Diffusers (cavities G01J2001/0481)}	G01J1/04	G01J1/04		308
G01J1/0477	11	{Prisms, wedges}	G01J1/04	G01J1/04		128
G01J2001/0481	10	{Preset integrating sphere or cavity}	G01J1/04	G01J1/04		233
G01J2001/0485	10	{Cosinus correcting or purposely modifying the angular response of a light sensor}	G01J1/04	G01J1/04		55
G01J1/0488	10	{with spectral filtering}	G01J1/04	G01J1/04		736
G01J1/0492	11	{using at least two different filters}	G01J1/04	G01J1/04		170
G01J2001/0496	11	{using fiber Bragg gratings}	G01J1/04	G01J1/04		26
G01J1/06	10	Restricting the angle of incident light	G01J1/06	G01J1/06		401
G01J2001/061	11	{Baffles}	G01J1/06	G01J1/06		47
G01J2001/062	11	{by fibre-optic packed bundle}	G01J1/06	G01J1/06		7
G01J2001/063	11	{with selectable field of view}	G01J1/06	G01J1/06		9
G01J2001/065	12	{by changing elements}	G01J1/06	G01J1/06		3
G01J2001/066	12	{with an aiming optical device}	G01J1/06	G01J1/06		4
G01J2001/067	11	{for angle scan}	G01J1/06	G01J1/06		9
G01J2001/068	12	{by diaphragm or the like}	G01J1/06	G01J1/06		7
G01J1/08	9	Arrangements of light sources specially adapted for photometry {standard sources, also using luminescent or radioactive material}	G01J1/08	G01J1/08		921
G01J2001/083	10	{Testing response of detector}	G01J1/08	G01J1/08		125
G01J2001/086	10	{Calibrating drift correction}	G01J1/08	G01J1/08		64
G01J1/10	8	by comparison with reference light or electric value {provisionally void}	G01J1/10	G01J1/10		212
