G09F1/00	7	Cardboard or like show-cards of foldable or flexible material	G09F1/00	G09F1/00		442
G09F1/02	8	Single substantially flat cards	G09F1/02	G09F1/02		256
G09F1/04	8	Folded cards	G09F1/04	G09F1/04		761
G09F1/06	9	to be erected in three dimensions (G09F1/08 takes precedence)	G09F1/06	G09F1/06		1469
G09F1/065	10	{Totem-like displays; Portable collapsible columnar displays}	G09F1/06	G09F1/06		337
G09F1/08	8	wholly or partly imitating the form of an object, e.g. of the article to be advertised	G09F1/08	G09F1/08		419
G09F2001/085	9	{actuated by a sliding tongue}	G09F1/08	G09F1/08		33
G09F1/10	8	Supports or holders for show-cards	G09F1/10	G09F1/10		1802
G09F1/103	9	{using suspension clamps}	G09F1/10	G09F1/10		207
G09F2001/106	9	{made of metal}	G09F1/10	G09F1/10		22
G09F1/12	9	Frames therefor	G09F1/12	G09F1/12		1270
G09F1/14	9	in the form of legs	G09F1/14	G09F1/14		729
G09F3/00	7	Labels, tag tickets, or similar identification or indication means (medals or badges A44C3/00; making labels B31D1/02; sheets temporarily attached together B42F; labelling B65C; labels on record carriers G11B23/38, G11B23/40); Seals; Postage or like stamps	G09F3/00	G09F3/00		3012
G09F3/005	8	{Identification bracelets, e.g. secured to the arm of a person}	G09F3/00	G09F3/00		781
G09F3/02	8	Forms or constructions (layered products B32B)	G09F3/02	G09F3/02		5914
G09F2003/0201	9	{Label sheets intended to be introduced in a printer, e.g. laser printer}	G09F3/02	G09F3/02		284
G09F2003/0202	9	{printed before use}	G09F3/02	G09F3/02		320
G09F2003/0204	10	{Tax-disc}	G09F3/02	G09F3/02		5
G09F2003/0205	10	{Coupon}	G09F3/02	G09F3/02		92
G09F2003/0207	10	{Ticket}	G09F3/02	G09F3/02		38
G09F2003/0208	9	{Indicia}	G09F3/02	G09F3/02		417
G09F2003/021	10	{Indicia behind the front foil}	G09F3/02	G09F3/02		163
G09F2003/0211	10	{Transfer or thermo-sensitive}	G09F3/02	G09F3/02		170
G09F2003/0213	10	{Concealed data}	G09F3/02	G09F3/02		281
G09F2003/0214	9	{Stock management}	G09F3/02	G09F3/02		174
G09F2003/0216	10	{for containers}	G09F3/02	G09F3/02		190
G09F2003/0217	10	{for envelopes}	G09F3/02	G09F3/02		28
G09F2003/0219	10	{to keep record of the use of a product}	G09F3/02	G09F3/02		93
G09F2003/022	10	{Shipment}	G09F3/02	G09F3/02		79
G09F2003/0222	9	{Features for removal or adhesion, e.g. tabs}	G09F3/02	G09F3/02		579
G09F2003/0223	9	{recyclable}	G09F3/02	G09F3/02		101
G09F2003/0225	9	{Carrier web}	G09F3/02	G09F3/02		157
