A01H1/00	遺伝子形を改変するための処理（Ａ０１Ｈ４／００が優先）
A01H1/02	交配の方法または装置；人工授粉
A01H1/021	
A01H1/022	
A01H1/023	
A01H1/024	
A01H1/026	
A01H1/027	
A01H1/04	淘汰の処理方法
A01H1/045	
A01H1/06	突然変異を起こさしめるための処理，例．化学物質または放射線による処理（突然変異または遺伝学工学Ｃ１２Ｎ１５／００）
A01H1/08	染色体数の変化を起こさせる方法または装置
A01H1/09	
A01H1/10	
A01H1/101	
A01H1/102	
A01H1/103	
A01H1/104	
A01H1/105	
A01H1/106	
A01H1/107	
A01H1/108	
A01H1/109	
A01H1/12	
A01H1/1205	
A01H1/121	
A01H1/1215	
A01H1/122	
A01H1/1225	
A01H1/123	
A01H1/1235	
A01H1/124	
A01H1/1245	
A01H1/125	
A01H1/1255	
A01H1/126	
A01H1/1265	
A01H1/127	
A01H1/129	
A01H3/00	表現形を改変するための処理　｛例．細菌との共生｝（Ａ０１Ｈ４／００が優先；新規植物を創製することなく植物の育成に影響するもので，化学的でないものＡ０１Ｇ７／００，化学的なものＡ０１Ｎ２５／００〜Ａ０１Ｎ６５／００）
A01H3/02	照明時間の長さ，光の波長，光度または周期を制御することによるもの
A01H3/04	化学物質による処理
A01H4/00	組織培養技術による植物の増殖　｛そのための組織培養技術｝
A01H4/001	組織培養の培養装置；そのための培地
A01H4/002	
A01H4/003	組織培養に特に適した切断装置
A01H4/005	微細繁殖の方法；細胞の培養技術または組織培養技術を用いた植物の栄養繁殖
A01H4/006	植物増殖のためのカプセル化胚種，例．人工種子
A01H4/008	植物体を完成するための再生方法
A01H5/00	開花植物，すなわち，被子植物
A01H5/02	花
A01H5/04	茎
A01H5/06	根
A01H5/08	果実
A01H5/10	種子　｛例．イネ科マメ科，アブラナ科｝
A01H5/12	葉　｛例．ライグラス，ブルーグラス，レタス，タバコまたはそれらの葉の工業的処理または商業化のために生産される作物｝
A01H6/00	
A01H6/02	
A01H6/024	
A01H6/028	
A01H6/04	
A01H6/045	
A01H6/06	
A01H6/064	
A01H6/068	
A01H6/08	
A01H6/084	
A01H6/088	
A01H6/10	
A01H6/12	
A01H6/14	
A01H6/1408	
A01H6/1416	
A01H6/1424	
A01H6/1432	
A01H6/144	
A01H6/1448	
A01H6/1456	
A01H6/1464	
A01H6/1472	
A01H6/148	
A01H6/1488	
A01H6/1496	
A01H6/16	
A01H6/165	
A01H6/18	
A01H6/185	
A01H6/20	
A01H6/201	
A01H6/202	
A01H6/203	
A01H6/204	
A01H6/205	
A01H6/206	
A01H6/207	
A01H6/22	
A01H6/223	
A01H6/225	
A01H6/228	
A01H6/24	
A01H6/26	
A01H6/264	
A01H6/268	
A01H6/28	
A01H6/30	
A01H6/305	
A01H6/32	
A01H6/324	
A01H6/328	
A01H6/34	
A01H6/342	
A01H6/344	
A01H6/346	
A01H6/348	
A01H6/36	
A01H6/364	
A01H6/368	
A01H6/38	
A01H6/385	
A01H6/40	
A01H6/42	
A01H6/425	
A01H6/44	
A01H6/444	
A01H6/448	
A01H6/46	
A01H6/4606	
A01H6/4612	
A01H6/4618	
A01H6/4624	
A01H6/463	
A01H6/4636	
A01H6/4642	
A01H6/4648	
A01H6/4654	
A01H6/466	
A01H6/4666	
A01H6/4672	
A01H6/4678	
A01H6/4684	
A01H6/469	
A01H6/48	
A01H6/50	
A01H6/502	
A01H6/504	
A01H6/506	
A01H6/508	
A01H6/52	
A01H6/525	
A01H6/54	
A01H6/541	
A01H6/542	
A01H6/543	
A01H6/544	
A01H6/545	
A01H6/546	
A01H6/547	
A01H6/56	
A01H6/564	
A01H6/568	
A01H6/58	
A01H6/60	
A01H6/604	
A01H6/608	
A01H6/62	
A01H6/64	
A01H6/66	
A01H6/68	
A01H6/70	
A01H6/72	
A01H6/74	
A01H6/7409	
A01H6/7418	
A01H6/7427	
A01H6/7436	
A01H6/7445	
A01H6/7454	
A01H6/7463	
A01H6/7472	
A01H6/7481	
A01H6/749	
A01H6/7499	
A01H6/76	
A01H6/78	
A01H6/785	
A01H6/80	
A01H6/82	
A01H6/821	
A01H6/822	
A01H6/823	
A01H6/824	
A01H6/825	
A01H6/826	
A01H6/827	
A01H6/84	
A01H6/86	
A01H6/88	
A01H7/00	裸子植物，例．針葉樹
A01H9/00	羊歯類，例．羊歯，ひげのかずら，木賊
A01H11/00	蘚苔類，例．苔，ぜにごけ
A01H13/00	藻類（単細胞藻類Ｃ１２Ｎ１／１２）
A01H15/00	菌類；地衣類（菌類微生物Ｃ１２Ｎ１／１４）
A01H17/00	一種または数種の新しい植物を含む植物との共生または寄生関係，例．菌根（地衣類Ａ０１Ｈ１５／００）
