A21C1/00	生地仕込用の混合または混捏（ねつ）の機械（家庭用の混合または混捏機械Ａ４７Ｊ４３／００，Ａ４７Ｊ４４／００　｛一般的な混合　Ｂ０１Ｆ；　塑性状態材料の混合または混捏一般　Ｂ２９Ｂ７／００｝）
A21C1/003	｛プラント；システム，すなわちフローチャートまたは図表｝
A21C1/006	｛方法｝
A21C1/02	垂直据付具を有するもの；ホイップまたは泡立て用の機械
A21C1/04	傾斜回動式混合腕杵または槓杵を有するもの
A21C1/06	水平据付混合または混捏道具を有するもの；ウオーム混合機　｛またはスクリュー混合機｝
A21C1/065	｛ウオームまたはスクリュー混合機，例．連続する混合容器を有するもの｝
A21C1/08	ローラを有するもの
A21C1/083	｛カレンダ加工によるもの，すなわちローラー間で動作するもの（生地成形用ローラーを使用　Ａ２１Ｃ３／０２）｝
A21C1/086	｛回転ローラーと連携して垂直軸方向に回転する容器を有するもの｝
A21C1/10	空気抱込生地製造の空気抱込添設装置を有するもの
A21C1/105	｛回転ツール軸を通して導入されるガス｝
A21C1/12	穀粒から直接生地に仕込むもの
A21C1/14	混合または混捏機械の構造機素　｛部品；》属品｝
A21C1/1405	｛ツール｝
A21C1/141	｛基本的に縦方向の軸に沿った混合または切断機素子を持つもの｝
A21C1/1415	｛シャフト；そのための頭部｝
A21C1/142	｛送り込み機構，例．スキップ昇降調整機構｝
A21C1/1425	｛測られた適用量を送り込むためのもの｝
A21C1/143	｛圧縮空気の手段を用いるもの｝
A21C1/1435	｛液体用のもの（Ａ２１Ｃ１／１４２５が優先）｝
A21C1/144	｛排出機構｝
A21C1/1445	｛貯納容器を使用するもの；そのための傾け機構｝
A21C1/145	｛制御；テスト；測定（Ａ２１Ｃ１／１４２５が優先）｝
A21C1/1455	｛駆動系の測定データ，例．トルク，速度，動力｝
A21C1/146	｛生地の測定特性，例．湿度，導電性，温度（Ａ２１Ｃ１／１４５５が優先）｝
A21C1/1465	｛運転｝
A21C1/147	｛遊星運動のためのもの｝
A21C1/1475	｛そのためのブレーキ｝
A21C1/148	｛安全装置（Ａ２１Ｃ１／１４８５が優先）｝
A21C1/1485	｛扉；止具；操作，例．安全確保，そのための機構｝
A21C1/149	｛貯納容器，例．液体の運搬または誘導のための諸手段を備えたもの，例．冷媒｝
A21C1/1495	｛冷却または加熱装置（本来が液体であるものを誘導するための諸手段をそなえた容器Ａ２１Ｃ１／１４９；過大または過小の大気圧を適用するための設備）｝
A21C3/00	小分割前のバッチ生地形どりの機械または装置<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−　ここに分類されている文献は，小分割前のバッチ生地形どりの機械または装置に関連するＩＤＴーグループに分類されていた:　−　管理上，これらは該ＩＤＴ−グループからこのグループに再分類された｝
A21C3/02	生地展延機；ローリング機械；ローリングピン　｛（圧延ローラー　Ａ２１Ｃ１／０８による生地の混合または混捏:手動でない個々の生地玉の圧延ロールおよび作成作業　Ａ２１Ｃ７／００）｝
A21C3/021	｛ローリングピン；手動拡張展延または圧延具（Ａ２１Ｃ１１／００４が優先）｝
A21C3/022	｛連続展延生地の積層または波打加工，例．作動表面の横方向または縦方向の畳込みによるもの（充填物との組合せ　Ａ２１Ｃ９／０４５）｝
A21C3/024	｛生地の移動方向に対し実質的に平行または斜めの回転軸を有する複数の圧延ローラーを使用するもの（Ａ２１Ｃ３／０６５が優先）｝
A21C3/025	｛回転軸に対し垂直方向に移動する複数の圧延ローラーを有するもの，例．相互的に使用されるもの（Ａ２１Ｃ３／０２４が優先；手動の圧延ローラー　Ａ２１Ｃ３／０２１）｝
A21C3/027	｛閉鎖ループで作動する複数圧延ローラー，例．軌道経路で作動するもの；遊星システム｝
A21C3/028	｛まっすぐな円形のシリンダーとは異なる形状を有する圧延ローラーを使用するもの（Ａ２１Ｃ３／０４が優先）｝
A21C3/04	生地押出機；　｛作動体を有するホッパー，例．圧延ローラーまたは生地引出しのための壁体としての履帯｝
A21C3/06	展延生地の巻き機械，例．ロール生産用　｛例．クルワッサン（更なる成型または形成Ａ２１Ｃ７／００のための機体の一部としてのもの；詰め物Ａ２１Ｃ９／０６のためのもの）｝
A21C3/065	｛生地の移動方向に対し平行または斜めに位置するよう生産されるロールの巻取り軸；巻取り機素を有するもの，例．生地の移動方向に平行または斜めに位置する圧延ローラー｝
A21C3/08	帯生地のねじり機械，例．プレッツェル製造用
A21C3/10	生地分割装置と組合せたもの
A21C5/00	生地分割機械<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−　ここに分類されている文献は，生地分割機械に関連するＩＤＴーグループにおいて分類されていた。　−　管理上，これらは該ＩＤＴ−グループからこのグループに再分類された．｝
A21C5/003	｛回転機体を有するもの，例．放射状に指向された機素または壁体により空間的に分離された空間を持つ機体を有するもの｝
A21C5/006	｛調合液体または半液体生地のためのもの，例．バッター｝
A21C5/02	分割ボックスおよび押出プランジャを有するもの
A21C5/04	半径方向の駆動ピストンを持つ回転形胴体に分割ボックスを有するもの
A21C5/06	軸方向の駆動ピストンを持つ回転形胴体に分割ボックスを有するもの
A21C5/08	圧縮プランジャーと相対的に溝孔中を摺動する放射状，すなわち星形類，の切截刃をもったもの
A21C7/00	混捏以外の操作による小分割生地を均質化する機械
A21C7/005	｛回転ドラム内の窩部に放射状に配列された生地玉｝
A21C7/01	無端帯を有するもの　｛（Ａ２１Ｃ７／００５が優先）｝
A21C7/02	成形用チャンネルを有するもの（Ａ２１Ｃ７／０１が優先）
A21C7/04	成形用カップを有するもの（Ａ２１Ｃ７／０１が優先）
A21C7/06	圧縮プランジャーと相対的に溝孔中を摺動する放射状，すなわち星形類，の切截刃をもった分割機械との組合せによるもの
A21C9/00	生地または生地玉を取扱うためのその他の装置
