A22C5/00	食肉，ソーセージ肉，または肉製品の混合装置（混合一般Ｂ０１Ｆ）
A22C7/00	食肉，ソーセージ肉，またはその他肉製品のすりつぶし，成形またはプレス用装置　｛（家庭用ミートパティ成形装置Ａ４７Ｊ４３／２０；ハムボイラーＡ４７Ｊ２７／２０）｝
A22C7/0007	｛特に多層性肉製品の製造に適するもの｝
A22C7/0015	｛特にミートボールの製造に適するもの｝
A22C7/0023	｛プレス手段｝
A22C7/003	｛食肉用型｝
A22C7/0038	｛離型手段｝
A22C7/0046	｛肉がプレス成形される容器｝
A22C7/0053	｛積み重ね可能な容器｝
A22C7/0061	｛ハムを成形しプレスするための容器｝
A22C7/0069	｛ドラムによるプレス成形｝
A22C7/0076	｛肉のパテを作るための装置｝
A22C7/0084	｛往復動板を備えるもの｝
A22C7/0092	｛ウォームまたは他の回転成形用部材を有するもの（Ａ２２Ｃ７／０００７が優先）｝
A22C9/00	食肉，例．ハム，をやわらかくする装置　｛（化学的に柔らかくしたものＡ２３Ｌ１／３１，Ａ２３Ｌ１／３１８）｝
A22C9/001	｛注入によるもの｝
A22C9/002	｛電気的処理によるもの｝
A22C9/004	｛マッサージによるもの｝
A22C9/005	｛内部で肉をマッサージするタンブラーまたは回転ドラム｝
A22C9/007	｛打ちたたきによるもの｝
A22C9/008	｛突き刺しによるもの｝
A22C11/00	ソーセージの製造　｛（化学的特徴Ａ２３Ｌ１／３１）；製造中のソーセージ製品の取り扱いまたは輸送用装置｝
A22C11/001	｛皮なしソーセージ，例．フランクフルト，ウインナー，の製造用機械｝
A22C11/003	｛製造中のソーセージからのケーシング除去｝
A22C11/005	｛ソーセージまたは肉，例．サラミ，ローラーデ，の締め付けまたは結束用装置；ソーセージ製品のスリーブネッティングへの充填｝
A22C11/006	｛連結ソーセージの分離｝
A22C11/008	｛水平にソーセージを運搬するもの（ソーセージを吊り下げて運搬するものＡ２２Ｃ１５／００１）｝
A22C11/02	ソーセージ充填機　｛（チューブ状ウエブへの材料封入一般Ｂ６５Ｂ９／００）｝
A22C11/0209	｛詰め物ホーンアセンブリ｝
A22C11/0218	｛複数の交換可能な詰め物ホーンを有するもの，例．マガジンの配置｝
A22C11/0227	｛充填装置へのケーシングの供給｝
A22C11/0236	｛保存装置からのもの｝
A22C11/0245	｛制御装置｝
A22C11/0254	｛サイジング手段｝
A22C11/0263	｛ブレーキ手段｝
A22C11/0272	｛ケーシング消耗に対応するためのもの｝
A22C11/0281	｛平端部を最低一箇所有するソーセージのためのもの｝
A22C11/029	｛被覆または潤滑手段を有するもの｝
A22C11/04	機械的に前後可動するピストンによるもの
A22C11/06	液体または気体を用いてピストン操作をさせるもの
A22C11/08	らせん式プレスまたは他の回転プレス装置を有するもの
A22C11/10	ねじり装置　｛または連結｝ソーセージ　｛（包装体を形成する充填された柔軟性管一般を細分類した。Ｂ６５Ｂ９／００，　Ｂ６５Ｂ９／１２）｝
A22C2011/101	挟むおよびねじるためのもの
A22C2011/102	および反対方向にねじるもの
A22C11/104	｛剪断またはブレード要素によるもの｝
A22C11/105	｛肉のないくびれた部分を作るためにソーセージの紐と平行に置換可能な剪断またはブレード要素｝
A22C11/107	｛協働する分割要素を備えた２つの回転部材間を通る紐｝
A22C11/108	｛単一の回転部材の表面に位置する分割要素を有するもの｝
A22C11/12	ソーセージスキンの結束装置　｛（結束材料，例．ねじれた袋の首部，への適用，　Ｂ６５Ｂ５１／０８）；　クリッピング｝　
A22C11/122	｛結び目の形成によるもの｝
A22C11/125	｛クリッピングによるもの；クリップの除去｝
A22C11/127	｛吊下げループの形成｝
A22C13/00	ソーセージケーシング　｛（動物の腸から製造されたものＡ２２Ｃ１７／１４）｝
A22C13/0003	｛ソーセージ用ケーシング製造用装置，例．人工ケーシングに同時に充填するもの（予め形成されたチューブ状ウェブへの材料の充填一般Ｂ６５Ｂ９／１０）｝
A22C13/0006	｛人工コラーゲンケーシング製造用装置（化学的特徴Ａ２２Ｃ１３／００１６）｝
A22C13/0009	｛そのための端部閉鎖部｝
A22C13/0013	｛合成のソーセージ用ケーシングの化学的組成｝
A22C13/0016	｛たんぱく質によるもの，例．コラーゲン｝
A22C2013/002	押出成形によるもの
A22C2013/0023	食品と一緒に共押出するもの
A22C13/0026	｛ナチュラルガットの化学的処理｝
A22C2013/003	剥離助剤を有するもの，例．ケーシングと製品との密着性を低下させるもの
A22C2013/0033	少なくとも一つの脂肪不透過性材料の層を有するもの
A22C2013/0036	ケーシングを開けやすくまたは除去しやすくする特徴を有するもの
A22C2013/004	少なくとも一つのガス，例．酸素，水蒸気，の不透過性材料の層を有するもの
A22C2013/0043	少なくとも一つの水不透過性材料の層を有するもの
A22C2013/0046	香味物質，例．キャラメル，燻煙液，香辛料，の含浸に適したもの
A22C2013/005	単層ケーシング
A22C2013/0053	多層ケーシング
A22C2013/0056	概してソーセージや肉を保持するネットや同様のオープン構造（ネットの製造Ｄ０４Ｇ；袖状のネットにソーセージ製品を充填するものＡ２２Ｃ１１／００５）
A22C2013/0059	熱可塑性ケーシング，少なくとも一つの熱可塑性材料の層を有するケーシング
A22C2013/0063	ポリアミド，例．ナイロン，アラミド，を含有するもの
A22C2013/0066	継ぎ目の有無に応じたケーシング
A22C2013/0069	継ぎ合わせたケーシング，少なくとも１つの長手方向の継ぎ目を有するケーシング
A22C2013/0073	連続シームレスチューブ状のシートで作られたシームレスケーシング
A22C2013/0076	粗い外観を付与するために処理されたもの
A22C2013/0079	印刷可能なソーセージケーシングまたは何らかの表示をするソーセージケーシング（印刷可能な布地Ｄ０６Ｐ）
A22C2013/0083	二軸延伸されたもの
A22C2013/0086	収縮可能なケーシング
A22C2013/0089	燻製可能なケーシング，例．燻煙液又はフェノールを透過可能なもの
A22C2013/0093	繊維ケーシング，少なくとも１層の繊維材料を備えたケーシング
A22C2013/0096	セルロースの
A22C13/02	ソーセージ用ケーシングのシャーリング　｛（充填ノズル上の貯蔵チューブ一般　Ｂ６５Ｂ９／１８）｝
A22C2013/021	加圧された空気によるもの
A22C13/023	｛シャーリングを付けたケーシングの容器またはパック｝
A22C2013/025	シャーリングを付けた食品のケーシングの切断
A22C2013/026	チューブ上への網のシャーリング
A22C2013/028	ケーシングの供給およびシャーリング
A22C15/00	食肉またはソーセージ用吊下げ装置　｛（製造中のソーセージの充填および運搬Ａ２２Ｃ１１／００；屠殺場経由の輸送Ａ２２Ｂ７／００１；家禽肉用シャックルＡ２２Ｃ２１／０００７；家禽運搬Ａ２２Ｃ２１／００５３）｝
A22C15/001	｛複数のソーセージまたは食肉の細片の吊下げまたは運搬用に特に適するもの｝
A22C15/002	｛単独ソーセージの吊下げ用ループ，フック，紐；ソーセージ用ループの形成または運搬用装置｝
A22C15/003	｛フックまたは類似するもの，特に食肉またはハム，または屠殺体の一部に適するもの（畜牛用のスプレッダーＡ２２Ｂ５／０６）｝
A22C15/005	｛食肉片を貫通する多数のフックを有する吊手｝
A22C15/006	｛食肉片に紐を挿入するための装置｝
A22C15/007	｛吊るした食肉またはソーセージの貯蔵または燻煙用棚（食肉プレス用棚Ａ２２Ｃ７／００２３）｝
A22C15/008	｛ハム，食肉またはソーセージの吊下げに特に適するケージ｝
A22C17/00	食肉または骨の他の加工機具
A22C17/0006	｛食肉の切断又は成形｝
A22C17/0013	｛肉の切断又はチョップのための板体又はブロック体｝
A22C17/002	｛所定の特性，例．重さ又は特定の径，を有する肉塊の生成｝
A22C17/0026	｛ミンチ及び肉挽き（ミンチ機はＢ０２Ｃ１８／３０）｝
A22C17/0033	｛肉片からのスライス（スライス機はＢ２６Ｄ１／１４３）｝
A22C17/004	｛食肉の脱骨のための装置（家禽の脱骨はＡ２２Ｃ２１／００６９；屠殺体の脱骨行程はＡ２２Ｂ５／００３５）｝
A22C17/0046	｛特に肋骨を含む食肉に適するもの｝
A22C17/0053	｛注入によるもの｝
A22C17/006	｛肉の串刺し｝
A22C17/0066	｛ドネルケバブ、シャワルマ、ギロピタ又は類似のもののためのもの｝
A22C17/0073	｛肉塊の質又は大きさを測定するための，視覚認識，X線，超音波又は他の非接触手段｝
A22C17/008	｛質を測定するためのもの，例，追加的な処理を決定するためのもの｝
A22C17/0086	｛視覚認識に基づいて切断パターンを算出するもの｝
A22C17/0093	｛肉片の取り扱い，移送又は包装｝
A22C17/02	食肉，骨切断時の保持装置　｛（魚の保持Ａ２２Ｃ２５／０６；肉の切り分け用食肉の保持Ａ４７Ｊ４３／１８）｝
A22C17/04	骨清浄装置
A22C17/06	骨截断装置；骨粉砕装置
A22C17/08	肉あるいはソーセージの清浄化，例．洗浄　｛（非食肉部分の処理Ｃ１１Ｂ）｝
A22C17/10	食肉またはソーセージのマーキング　｛（動物のマーキングＡ０１Ｋ１１／００；ラベル付けＢ６５Ｃ）｝
A22C17/12	皮の切りとり装置　｛（皮を剥ぐ器具Ａ２２Ｂ５／１６）｝
A22C17/14	動物の腸の加工；　｛ナチュラルソーセージケーシングの製造用の処理そのもの（人工ケーシングの製造Ａ２２Ｃ１３／０００３；ナチュラルケーシングの化学的処理Ａ２２Ｃ１３／００２６｝；腸切断用装置；腸を引きちぎる為の機械
A22C17/16	腸清浄；腸から脂肪あるいは粘液物を除去するための装置　｛（屠殺動物の胃洗浄Ａ２２Ｂ５／１８）｝
A22C18/00	食肉加工用の工場，製造所またはこれらに類するもの（家禽肉加工のみＡ２２Ｃ２１／００；魚加工のみＡ２２Ｃ２５／００）
A22C21/00	家禽肉加工
A22C21/0007	｛家禽の拘束具｝
A22C21/0015	｛加工機に入れた家禽の殺除（屠殺用ペンチ，屠殺用大ばさみＡ２２Ｂ３／０８）｝
A22C21/0023	｛家禽肉の分離｝
A22C21/003	｛家禽を切り身にすること，すわなち，家禽の切り身の摘出、切断又は成形｝
A22C21/0038	｛家禽肉を縛ること｝
A22C21/0046	｛支持装置｝
A22C21/0053	｛家禽の運搬又は移送装置｝
A22C21/0061	｛家禽の洗浄又は殺菌｝
A22C21/0069	｛家禽又家禽の一部の脱骨｝
A22C21/0076	｛家禽の脚及び下脚の脱骨｝
A22C21/0084	｛家禽の羽根の脱骨｝
A22C21/0092	｛家禽又は家禽の一部の皮剥｝
A22C21/02	家禽肉用の羽毛むしり取り機構
A22C21/022	｛指を有するもの｝
A22C21/024	｛家禽の羽毛をむしり取るための手作業具｝
A22C21/026	｛ローラーを有するもの｝
A22C21/028	｛ディスクを有するもの｝
A22C21/04	家禽湯剥，毛焼，ワックシング，ワックス抜き
A22C21/06	家禽用内蔵抜き装置
A22C21/063	｛家禽の内蔵抜きのための手作業具｝
A22C21/066	｛家禽の脚からの腱の抽出または除去｝
A22C25/00	魚の加工　｛魚の保存；電流によって魚を気絶させること；光学的手段による魚の調査（魚の屠殺Ａ２２Ｂ３／０８）｝
A22C25/003	｛頭足類［イカ、タコなど］の加工｝
A22C25/006	｛魚の加工のための手動具｝
A22C25/02	魚洗浄またはうろこ落し
A22C25/025	｛手を使っての魚洗浄またはうろこ落し用の装置｝
A22C25/04	魚のえり分け；氷詰め魚よりの氷の分離　｛（魚の調査Ｇ０１Ｎ３３／１２）｝
A22C25/06	作業台；魚保持または作業台に関連した付属具
