A24B1/00	農場におけるたばこ葉の処理（たばこの収穫機Ａ０１Ｄ４５／１６）
A24B1/02	たばこ葉を処理するための建物に付帯する装置，例．乾燥装置を有するもの
A24B1/04	たばこ葉から不純物をふるい分けること，えり分けること，クリーニングすることまたは除去すること（ふるい分けまたはえり分けによる分離一般Ｂ０７Ｂ）
A24B1/06	たばこ葉をひもでつづること
A24B1/08	たばこ葉の吊下げ装置
A24B1/10	たばこ葉の梱包または圧搾
A24B3/00	工場におけるたばこ葉の処理
A24B3/02	梱包された原料たばこ葉の調湿（湿潤状態において，内容物を包装するための容器Ｂ６５Ｄ８１／２２）
A24B3/04	たばこ葉または刻みたばこの調湿または乾燥（Ａ２４Ｂ３／１２が優先）
A24B3/06	たばこ葉または刻みたばこの解除（Ａ２４Ｂ３／０７が優先）
A24B3/07	結束たばこ葉の切断または除去；葉柄の除去
A24B3/08	たばこ葉の葉組
A24B3/10	たばこ葉のローストまたは冷却
A24B3/12	たばこ葉のスチーミング，熟成または加香
A24B3/14	再生タバコ，例．上巻き材料，シート，模造葉，棒状物，塊状物，の形成；そのような製品の形状（光沢をなくすことＡ２４Ｃ１／４０；たばこまたは紙巻きタバコの巻紙Ｄ２１Ｈ）
A24B3/16	たばこ葉の分級または整理
A24B3/18	たばこ葉の他の処理，例．膨脹，しわ付け，クリーニング
A24B3/182	｛膨張｝
A24B3/185	｛液体を含浸させて，その後でこの液体を凍結または蒸発させることによるもの｝
A24B3/187	｛電気的処理によるもの｝
A24B5/00	たばこ葉の除骨；中骨または支骨の処理
A24B5/02	中骨の抜取によるもの
A24B5/04	中骨の切取によるもの
A24B5/06	中骨から葉片の剥離によるもの
A24B5/08	中骨または支骨の太い部分の切除，削り落しまたは圧展によるもの
A24B5/10	たばこ葉の破砕およびその後の分離によるもの
A24B5/12	除骨の補助装置
A24B5/14	たばこ葉または中骨を圧展する機械
A24B5/16	中骨または支骨の他の処理，例．曲げ，切りきざみ，切り込み（調湿Ａ２４Ｂ３／０４）
A24B7/00	たばこ葉の裁刻（切断手工具Ｂ２６Ｂ；スライス加工一般Ｂ２６Ｄ１／００，Ｂ２６Ｄ３／００）
A24B7/02	往復運動する刃を有する機械によるもの
A24B7/04	回転する刃を有する機械によるもの
A24B7/06	２組の連動する円盤刃を有するもの
A24B7/08	交互に作動する数個の刃を有するもの
A24B7/10	供給方向に平行な軸線の刃を有するもの
A24B7/12	供給方向に垂直な軸線の刃を有するもの
A24B7/14	たばこ葉裁刻装置のための供給または調整装置
A24B9/00	たばこ製品，例．葉巻たばこ，紙巻たばこ，パイプたばこ，の水分量の調整　（｛葉巻たばこの最終乾燥Ａ２４Ｃ１／３８３，紙巻タバコの最終乾燥Ａ２４Ｃ５／６０３｝；たばこ製品の水分量を調整するために喫煙者が使用する装置Ａ２４Ｆ２５／００）
A24B11/00	繩たばこ製造機械
A24B13/00	パイプ用のたばこ，葉巻用のたばこ，例．葉巻用のたばこの充填物，または紙巻たばこ；かみたばこ；かぎたばこ（機械的な処理Ａ２４Ｂ３／００〜Ａ２４Ｂ１１／００；再生たばこＡ２４Ｂ３／１４；たばこの化学的特徴または化学的処理Ａ２４Ｂ１５／００）
A24B13/02	たばこの薄片または細片
A24B15/00	たばこの化学的な特徴または処理；たばこ代替物（Ａ２４Ｂ３／００が優先）
A24B15/10	たばこ製品またはたばこ代替物の化学的な特徴
A24B15/12	再生たばこ製品のもの
A24B15/14	たばことたばこ以外のものから得られた結合剤とから作られたもの
A24B15/16	たばこ代替物のもの
A24B15/165	｛加熱源が炭素燃料あるいは酸化または熱的に分解された炭素質燃料，例．炭水化物，繊維物質からなるもの｝
A24B15/167	
A24B15/18	たばこ製品またはたばこ代替物の処理
A24B15/183	｛殺菌，保存又は生物的除染｝
A24B15/186	｛塗料組成物で覆われるもの，タバコ粒子のカプセル化（タバコ以外の添加物のカプセル化はＡ２４Ｂ１５／２８３）｝
A24B15/20	生化学的処理
A24B15/22	電気エネルギーまたは波動エネルギーまたは粒子放射線の使用によるもの
A24B15/24	抽出によるもの；たばこ抽出物
A24B15/241	｛特定の物質の抽出｝
A24B15/243	｛ニコチン｝
A24B15/245	｛ニトロソアミン｝
A24B15/246	｛多環式芳香族化合物｝
A24B15/248	｛重金属｝
A24B15/26	抽出用有機溶媒の使用
A24B15/28	化学物質によるもの
A24B15/281	｛遅延作用のある化学物質｝
A24B15/282	｛化学物質の間接的添加によるもの，例．上巻葉内，ケース内｝
