A24D1/00	葉巻たばこ；紙巻たばこ
A24D1/002	｛付加剤，例．フレーバー付与のためのもの，を含有するもの（たばこ葉の処理，例．フレーバー付与Ａ２４Ｂ）｝
A24D1/004	｛たばこ棒状体間にフィルタを有するもの｝
A24D1/006	｛強化された末端を有するもの｝
A24D1/008	｛分割可能なもの｝
A24D1/02	特別の被覆を有するもの
A24D1/022	｛自身で巻く紙巻たばこ用の紙（紙一般はＤ２１Ｈ）｝
A24D1/025	｛特定の領域に適用された材料を有するカバー，例．延焼性を減少させるための帯｝
A24D1/027	｛換気手段を有するもの，例．穿孔｝
A24D1/04	マウスピースまたはフィルタチップを有するもの（マウスピース，フィルタチップそれ自体Ａ２４Ｄ３／００）
A24D1/042	｛マウスピースを有するもの（Ａ２４Ｄ１／０４７が優先；マウスピースそれ自体Ａ２４Ｄ３／１８）｝
A24D1/045	｛煙フィルタ手段を有するもの（Ａ２４Ｄ１／０４７が優先）｝
A24D1/047	｛広げることができるもの｝
A24D1/08	火つけ手段を有するもの（自然発火剤Ｃ０６Ｃ１５／００；ライターそれ自体Ｆ２３Ｑ）
A24D1/10	火消し手段を有するもの
A24D1/12	灰留め用付属品，ホルダー，または他の器具を有するもの
A24D1/14	パイプ用たばこカートリッジ
A24D1/16	葉巻たばこまたは紙巻たばこ用バンド（バンドを取付ける機械Ｂ６５Ｃ）
A24D1/18	喫煙に適するたばこ以外の選択された材料
A24D1/20	
A24D1/22	
A24D3/00	たばこ煙フィルタ，例．フィルタチップ，フィルタ作用をする挿入片（フィルタ一般Ｂ０１Ｄ）；葉巻たばこまたは紙巻たばこのマウスピース（パイプ用，たばこホルダー用のものＡ２４Ｆ７／００）
A24D3/02	たばこ煙フィルタの製造（フィルタ用の紙または織維物質の製造Ｄ２１）
A24D3/0204	｛フィルタ棒状体成形工程前の予備作業，例．しわ付け，　プルーミング（Ａ２４Ｄ３／０２７５が優先）｝
A24D3/0208	｛フィルタ材料の切断｝
A24D3/0212	｛フィルタ材料への付加剤の適用｝
A24D3/0216	｛カプセル、ビーズ又は類似の形状の添加物｝
A24D3/022	｛液体付加剤を使用するもの，例．可塑剤の適用｝
A24D3/0225	｛固体付加剤を使用するもの，例．粒状物の適用｝
A24D3/0229	｛フィルタ棒状体成形過程（Ａ２４Ｄ３／０２７５が優先）｝
A24D3/0233	｛飾りによるもの｝
A24D3/0237	｛押し出しによるもの｝
A24D3/0241	｛微粒子状材料の圧縮によるもの｝
A24D3/0245	｛巻き上げ，例．らせん状，によるもの｝
A24D3/025	｛最終作業，すなわちフィルタ棒状体成形過程後の作業（Ａ２４Ｄ３／０２７５が優先）｝
A24D3/0254	｛切断手段｝
A24D3/0258	｛溝を形成する手段｝
A24D3/0262	｛フィルタ末端の形成および圧縮手段｝
A24D3/0266	｛ローラー装置｝
A24D3/027	｛複合ラインの製造装置｝
A24D3/0275	｛特殊なフィルタのためのもの｝
A24D3/0279	｛チューブを有するもの｝
A24D3/0283	｛非軸方向の煙の流れのための手段を有するもの｝
A24D3/0287	｛複合フィルタのためのもの｝
A24D3/0291	｛中空チップのフィルタ，例．凹形フィルタ，のためのもの｝
A24D3/0295	｛処理制御手段｝
A24D3/04	形状または構造によって特徴づけられたたばこ煙フィルタ
A24D3/041	｛フィルタのろ過の程度を変更するための調製可能な手段を有するもの｝
A24D3/043	｛換気手段を有するもの，例．空気希釈（Ａ２４Ｄ３／０４１が優先）｝
A24D3/045	｛煙の加速手段を有するもの，例．衝撃フィルタ｝
A24D3/046	｛電気的または磁気的フィルタ手段を有するもの｝
A24D3/048	｛付加剤を含有するもの（付加剤の組成Ａ２４Ｄ３／０６１）｝
A24D3/06	たばこ煙フィルタのための物質の使用
A24D3/061	｛喫煙の際にさらに放出するために，カプセル，スポンジ状材料または類似のものに包含された付加剤を含有するもの（フィルタの構造的特徴Ａ２４Ｄ３／０４８）｝
A24D3/062	｛構造的特徴に特徴があるもの｝
A24D3/063	｛繊維の｝
A24D3/064	｛非円形断面を有するもの｝
A24D3/065	｛複合型構造の鞘／核を有するもの｝
A24D3/066	｛発泡体又は多孔質構造を有するもの｝
A24D3/067	｛機能的な特性に特徴があるもの｝
A24D3/068	｛生物分解性又は崩壊可能なもの｝
A24D3/08	担体または主要成分としての有機物質の使用（イオン交換物質の使用Ａ２４Ｄ３／１２）
A24D3/10	セルロースまたはセルロース誘導体の使用
A24D3/12	イオン交換物質の使用
A24D3/14	付加剤としての有機物質の使用（イオン交換物質の使用Ａ２４Ｄ３／１２）
A24D3/145	｛微生物代謝産物，例．酵素｝
A24D3/16	無機物質の使用
A24D3/163	｛炭素｝
A24D3/166	｛けい酸またはけい酸塩｝
A24D3/17	
A24D3/18	葉巻たばこまたは紙巻たばこのマウスピース；その製造（Ａ２４Ｄ３／０２が優先；葉巻たばこまたは紙巻たばこ用のチップ材料の製造，葉巻たばこまたは紙巻たばこのマウスピースへのチップ材料の装着Ａ２４Ｃ５／５６；プラスチックまたは可塑状態の物質からの葉巻たばこ用または紙巻たばこ用ホルダーの製造Ｂ２９Ｄ２３／１４，金属からの製造はＢセクションの関連するサブクラス参照）
A24D3/185	｛わら状の充填物を有するもの，例．バージニア葉巻たばこ｝
