A41B1/00	シャツ
A41B1/02	前たてのついたもの
A41B1/04	キャミソールとショーツの一体型女性用肌着に変換できるもの
A41B1/06	胴着下，ズボン下またはその類似物に取り付け可能なもの
A41B1/08	細部
A41B1/10	留め具（ボタンＡ４４Ｂ１／００；カフスボタンＡ４４Ｂ５／００）
A41B1/12	台えり
A41B1/14	台えり芯
A41B1/16	調節できる台えり
A41B1/18	シャツフロント
A41B1/20	シャツフロントの芯
A41B1/22	カラーのあるまたはないみせかけのシャツフロント，例．胸当；取りつけたりあるいは伸ばしたりする手段
A41B3/00	カラー（Ａ４１Ｂ１／００が優先）
A41B3/005	｛それらを製造する方法または装置（カラーまたはカフスの折り目の形成Ａ４１Ｂ５／００；衣服製造中のえりや袖の端の折たたみＡ４１Ｈ３３／００）｝
A41B3/02	留め具，例．タブ
A41B3/04	シャツへの取り付け（カラーボタンＡ４４Ｂ３／００）
A41B3/06	カラーの芯
A41B3/08	芯と取付手段が結合したもの
A41B3/10	化学的に硬化したもの
A41B3/12	ネクタイまたはクラバット（首の飾り布）の保持部を有するもの
A41B3/14	両面使用可能なカラー
A41B3/16	プラスチック製カラー；紙製カラー
A41B3/18	カラーの保護物
A41B5/00	カラーまたはカフスの折り目の形成
A41B7/00	カフス（Ａ４１Ｂ１／００，Ａ４１Ｂ３／００が優先；カフスボタンＡ４４Ｂ５／００）
A41B7/02	カフスの留め具
A41B7/04	シャツに着脱可能なカフス
A41B7/06	上着の袖口に着脱可能なカフス
A41B7/08	カフスの芯
A41B7/10	両面使用可能なカフス
A41B7/12	カフスの保護具
A41B9/00	肌着類（コルセットＡ４１Ｃ１／００，ブラジャーＡ４１Ｃ３／００）
A41B9/001	｛アンダーパンツまたはブリーフ（男性用に特に適合されたものＡ４１Ｂ９／０２；女性用に特に適合されたものＡ４１Ｂ９／０４）｝
A41B9/002	｛ひも型の超ビキニ，タンガバック，またはストリング型のもの｝
A41B9/004	｛股に特徴のあるもの｝
A41B9/005	｛股線の開口部のあるもの｝
A41B9/007	｛股と前部分との間に開放可能な接続部のあるもの｝
A41B9/008	｛開放可能な腰部接続手段のあるもの｝
A41B9/02	股布または布片が取り付けられたまたは取り付けられていない男性用ズボン下またはアンダーパンツ
A41B9/023	｛性器用に別途空間のあるもの｝
A41B9/026	｛開口に特徴のあるもの｝
A41B9/04	股布または布片が取り付けられたまたは取り付けられていない女性用下ばき
A41B9/06	アンダーシャツ；シミーズ
A41B9/08	組み合わされた肌着（パンティストッキング，ボディストッキングＡ４１Ｂ１１／１４）
A41B9/10	ペチコート
A41B9/12	保護的肌着（スワブまたは吸収性パッドと組合わせたものまたはそれらを保持するのに特に適合したものＡ６１Ｆ１３／１５）
A41B9/14	肌着類の腰帯を形成する部分；その部分の留め具
A41B9/16	肌着類の肩ひもを形成する部分
A41B11/00	靴下類；パンティストッキング（医療用の弾性靴下Ａ６１Ｆ１３／０８）
A41B11/001	｛装飾，マーキング｝
A41B11/002	｛ソックスのペアリング（洗たく中，物品を一緒にしておく装置Ｄ０６Ｆ９５／００８）｝
A41B11/003	｛異なる弾性の中間部分を有する靴下類｝
A41B11/004	｛分離したつま先部分を有する靴下類｝
A41B11/005	｛基本的に多層構造に作られた靴下類｝
A41B11/006	｛ポケット付きの靴下類｝
A41B11/007	｛足底，例．ゴムまたは革の底，が付加された靴下類｝
A41B11/008	｛滑り防止塗工付きの靴下類｝
A41B11/01	縫い目
A41B11/02	補強材
A41B11/04	靴下の上部の補強材
A41B11/06	足部が交換できるもの
A41B11/08	足部のない靴下
A41B11/10	靴下の保護物（履物内に設けられるものＡ４３Ｂ２３／２８）
A41B11/12	上端で靴下を保持する手段（Ａ４１Ｂ１１／０４が優先；ストッキングのつり具類Ａ４１Ｆ１１／００）
A41B11/121	｛上端に弾性糸または伸縮糸を編み込んだもの｝
A41B11/123	｛上端に弾性帯または伸縮帯をとりつけたもの｝
A41B11/125	｛調節可能ガータ｝
A41B11/126	｛摩擦増加手段のあるもの｝
A41B11/128	｛非連続的なもの｝
A41B11/14	パンティストッキング；ボディストッキング
A41B11/143	｛２本の分離したストッキングからなるパンティストッキング｝
A41B11/146	｛腰帯で接続されているもの｝
A41B13/00	ベビー用リネン製品（｛特にベビー用に適合された患者用衣服Ａ４１Ｄ１３／１２７２｝；おしめまたはおしめカバーＡ６１Ｆ１３／１５）
A41B13/005	｛ベビー用オーバーオール，例．ボディースーツまたはよだれ掛けオーバーオール｝
A41B13/04	ベビー用パンツ（スワブまたは吸収性パッドと組合わせたもの，またそれらを支持するのに特に適合したものＡ６１Ｆ１３／１５）
A41B13/045	｛それらの製造｝
A41B13/06	おくるみ；産着
A41B13/065	｛眠る位置に関する機能のあるもの｝
A41B13/08	胴着
A41B13/10	よだれ掛け
A41B13/103	｛ポケットのあるもの｝
A41B13/106	｛トレーまたはテーブルに取り付ける係止手段のあるもの｝
A41B15/00	ハンカチ
A41B15/02	胸ポケット用ハンカチの模造品；その取付具
