A41G1/00	人造の花，果実，葉または木（人造のクリスマスツリーＡ４７Ｇ３３／０６）；花輪
A41G1/001	｛それらの特殊な機能に特徴のあるもの｝
A41G1/002	｛生き生きとしたものまたは可動部品が備えられたもの｝
A41G1/003	｛音または音楽を発するもの｝
A41G1/004	｛色が変わるもの｝
A41G1/005	｛光るまたは発光するもの｝
A41G1/006	｛香水または類似のものを拡散するもの｝
A41G1/007	｛人造の木｝
A41G1/008	｛人造の果実または野菜｝
A41G1/009	｛人造の草（芝をまねた表面Ｅ０１Ｃ１３／０８）｝
A41G1/02	人造の花または類似のものを作るための道具，器具または機械
A41G1/04	花輪；花輪の組合せ
A41G3/00	かつら（人形のためだけのものはＡ６３Ｈ３／４４）
A41G3/0008	｛それ用の固定具｝
A41G3/0016	｛調整手段または弾性手段によるもの｝
A41G3/0025	｛接着手段によるもの｝
A41G3/0033	｛機械的な止め具，例．留め金，櫛，によるもの｝
A41G3/0041	｛かつら用の基礎部｝
A41G3/005	｛網状構造体からなるもの｝
A41G3/0058	｛枠組み構造からなるもの｝
A41G3/0066	｛かつら用の基礎部への植毛｝
A41G3/0075	｛かつらを作るための方法または機械｝
A41G3/0083	｛かつらを作るためのフィラメント（人造フィラメントＤ０１Ｆ６／００）｝
A41G3/0091	｛汗の吸収手段または脱臭剤｝
A41G5/00	頭髪片，そう入物，巻く物，パッドまたは類似物；はげかくしの小さいかつら
A41G5/0006	｛頭のむき出しの部分を覆うかつら｝
A41G5/0013	｛それ用の固定具｝
A41G5/002	｛使用者の残っている髪に結びつけることによるもの｝
A41G5/0026	｛機械的な止め具，例．留め金，釦，櫛，によるもの｝
A41G5/0033	｛接着手段によるもの｝
A41G5/004	｛付け髪｝
A41G5/0046	｛髪の束から拡張して髪を形作るももの｝
A41G5/0053	｛それ用の固定具｝
A41G5/006	｛使用者の残っている髪に結びつけることによるもの｝
A41G5/0066	｛変形可能な接続筒を用いるもの｝
A41G5/0073	｛機械的な止め具，例．留め金，釦，櫛，によるもの｝
A41G5/008	｛接着手段によるもの｝
A41G5/0086	｛髪の拡張部に付加するための付加器または道具｝
A41G5/0093	｛頭部の覆いに接続された髪飾り，例．スカーフ｝
A41G5/02	人造まつげ；人造のまゆげ
A41G7/00	正体を隠すためのマスクまたは仮面，例．演劇に用いるもの
A41G7/02	特殊効果を出すための部分を有するもの
A41G9/00	天然の羽毛の飾り；天然の羽毛の細工（ふとん用の羽毛の処理Ｂ６８Ｇ３／００）
A41G11/00	人造の羽毛
A41G11/02	人造の羽毛を作るための道具または機械
