A41H1/00	採寸補助具または採寸方法
A41H1/02	人体を採寸するための装置
A41H1/04	採寸するための人台
A41H1/06	マーク付けと組合されているもの
A41H1/10	型のマーク付けをするための採寸用上着
A41H3/00	裁断用型；型の製図またはマークづけの方法，例．布上に
A41H3/002	｛型の製図用の三角定規または定規（製図用補助具一般Ｂ４３Ｌ）｝
A41H3/005	｛型の製図用のシート材料，例．感光層または転写シートの使用によるもの（紙上につくられた型Ａ４１Ｈ３／０６；複製またはマーキング方法のためのシート材料Ｂ４１Ｍ５／００；感光性組成物またはそれが設けられる基体Ｇ０３Ｃ）｝
A41H3/007	｛コンピュータを使用した型の製図またはマーク付け方法（コンピュータ利用設計Ｇ０６Ｆ３０／００）｝
A41H3/01	くり抜き型を用いるもの
A41H3/015	調節可能なもの
A41H3/02	複写によって型を作るもの
A41H3/04	人体の型をとることによって型を作るもの
A41H3/06	紙上につくられた型
A41H3/065	｛プラスチック材料につくられた型｝
A41H3/08	布上につけられた型，例．印刷されたもの
A41H5/00	衣服人台；上衣人台；人台
A41H5/01	調節手段，例．高さの，を有するもの
A41H5/02	ふくらませる型
A41H9/00	衣服の縁を縁取りしたり，平にしたりまたは伸張するための装置または方法
A41H9/02	衣服の長さを印付けする装置
A41H11/00	ルーレット
A41H15/00	布保持具
A41H17/00	針山（Ａ４１Ｈ１９／００が優先）
A41H19/00	針箱
A41H21/00	試着または仮縫中の人体の支持具
A41H23/00	チョーク使用用具；チョーク削り具または保持具
A41H25/00	マーク付け，ミシン目打ちまたはボタン穴あけのための器具または方法
A41H25/02	ボタン穴あけ用はさみ
A41H27/00	接着剤または接着する布によって衣服を修理すること
A41H31/00	仕立てのためのその他の補助具
A41H31/005	｛糸切器または縫い目解き器｝
A41H33/00	衣服製造中えりや袖の端を折たたむ機械または器具
A41H37/00	衣服に止め具を取付ける機械，器具または方法
A41H37/001	｛方法｝
A41H37/003	｛衣服にスライドファスナーを取付けるためのもの｝
A41H37/005	｛手工具｝
A41H37/006	｛プライヤーの形をしたもの｝
A41H37/008	｛針管を備えたもの（タッグを取付けるものＢ６５Ｃ７／００）｝
A41H37/02	フックまたは輪の取付け｛（Ａ４１Ｈ３７／００１，Ａ４１Ｈ３７／００５が優先）｝
A41H37/04	スナップファスナーの取付け｛（Ａ４１Ｈ３７／００１，Ａ４１Ｈ３７／００５が優先）｝
A41H37/06	スライドファスナーの取付け｛（Ａ４１Ｈ３７／００１，Ａ４１Ｈ３７／００５が優先）｝
A41H37/08	バックルの取付け｛（Ａ４１Ｈ３７／００１，Ａ４１Ｈ３７／００５が優先）｝
A41H37/10	ボタンの取付け｛（Ａ４１Ｈ３７／００１，Ａ４１Ｈ３７／００５が優先；別個に針および糸を使用しないようにするための糸状の迅速な固定手段Ａ４４Ｂ１／１８５）｝
A41H41/00	天然または人造毛皮から衣服を作るための機械または器具
A41H41/005	｛人造毛皮から衣服を作るための機械または器具｝
A41H42/00	衣服製造のための多段階製造ライン
A41H43/00	他の方法，機械または器具
A41H43/005	｛裁断のために布を広げまたは堆積させる器具（ウェブを横方向に折りたたむものＢ６５Ｈ４５／１０）｝
A41H43/02	衣服の構成部片または衣服の半加工品の取り扱い，例．供給，堆積，分離，裏返し
A41H43/0207	｛積み重ね｝
A41H43/0214	｛平らに置くこと｝
A41H43/0221	｛積み重ね棒に折り重ねること｝
A41H43/0228	｛積み重ねからの分離｝
A41H43/0235	｛供給または推進｝
A41H43/0242	｛そのための搬送装置｝
A41H43/025	｛折りたたみ，広げまたは裏返し｝
A41H43/0257	｛折りたたみ｝
A41H43/0264	｛裏返し｝
A41H43/0271	｛重ね合わせ｝
A41H43/0278	｛一枚の｝
A41H43/0285	｛テーブル（布保持具Ａ４１Ｈ１５／００）｝
A41H43/0292	｛空気クッションまたは吸着テーブル｝
A41H43/04	衣服の構成部片または衣服の半加工品の貼着または溶着による接合（接着剤または接着する布による衣服の修理Ａ４１Ｈ２７／００）；｛接着プレス機｝
