B07C1/00	目的地に従った選別前の処理
B07C1/02	物品の流れの状態への形成；流れの中での物品の配列，例．間隔，向き｛（シートの運搬Ｂ６５Ｈ）｝
B07C1/025	｛一時的に対象物を積み重ねておくための，積み重ねおよび積み重ねをばらす装置が備えられている装置（段積み装置）｝
B07C1/04	大量物からの流れの形成；流れの調整，例．物品に間隔を置くもの
B07C1/06	向き；並び｛一端への並び｝
B07C1/10	寸法または柔軟性に従った選別
B07C1/12	包からの手紙の分離
B07C1/14	長さまたは幅に従った選別
B07C1/16	厚さまたは堅さに従った選別
B07C1/18	流れの中以外の物品の向きの決定，｛例．方向の回転，傾斜，または変更｝
B07C1/20	向きに従った選別，例．押印位置に従うもの
B07C3/00	目的地に従った選別｛（本のページの丁調べＢ４２Ｃ１／００）｝
B07C3/001	｛符号化ステーションにおけるキーボード用の符号変換器（読み取り装置における符号変換器Ｂ０７Ｃ３／１０）｝
B07C3/003	｛目的地制御；電気機械または電磁遅延メモリー｝
B07C3/005	｛対象物の輸送ホルダーが目的地信号を格納するための手段を備えたもの（輸送ホルダーのための選別装置Ｂ０７Ｃ３／０８２）｝
B07C3/006	｛電気的または電子的な制御回路，例．遅延線（遅延線それ自体Ｈ０３Ｈ７／３０，Ｈ０３Ｈ１１／２６）｝
B07C3/008	｛対象物を収集するための手段，例．選別された郵便項目のための容器（堆積物収容具一般Ｂ６５Ｈ３１／００）｝
B07C3/02	分配に使用される手段に特徴のある機構
B07C3/04	ドラム形の選別機械｛または円形に設置された選別仕切りを有するもの｝
B07C3/06	物品がより抜き個所で流れから取去られる直線式選別機械
B07C3/065	｛それらのためのスイッチの建造｝
B07C3/08	コンベア装置を使用するもの｛（シートの運搬Ｂ６５Ｈ；運搬一般Ｂ６５Ｇ）｝
B07C3/082	｛対象物が輸送ホルダーにより運ばれ輸送ホルダーがコンベアベルトの一部をなすもの（担体のあるコンベアＢ６５Ｇ４７／００）｝
B07C3/085	｛締付具または握持部の形で輸送ホルダーを利用するもの（ケーブルポストＢ６５Ｇ）｝
B07C3/087	｛対象物がコンベアベルトの一部をなさない輸送ファイルまたはホルダーにおいて取り上げられるもの（ケーブルポストＢ６５Ｇ）｝
B07C3/10	目的地の検知に使用される手段に特徴のある装置（印刷もしくは手書きの文字または幾何学的図形を読取りまたは認識のための方法または装置Ｇ０６Ｋ９／００）
B07C3/12	電気的または電子検知手段を使用するもの（Ｂ０７Ｃ３／１４が優先）
B07C3/14	光感応手段を使用するもの｛（情報担体のためのものＧ０６Ｋ７／１４）｝
B07C3/16	磁気検知手段を使用するもの｛（情報担体のためのものＧ０６Ｋ７／０８）｝
B07C3/18	目的地指示のための方策または装置，例．コードマークによるもの｛（データの情報担体への適用Ｇ０６Ｋ１／１２）｝
B07C3/20	住所の視読を容易にする装置，例．表示装置，｛符号化ステーション｝
B07C5/00	選別される物品または材料の特性または特色に従った選別，例．かかる特性または特色を検知または測定する装置により効果が得られる制御によるもの；手動によって作動される装置，例．切換器，による選別（手だけによる選別Ｂ０７Ｃ７／００；ふるい分け，スクリーン分けまたはシフト分けによる，または気体流の利用による固体相互の分離あるいは粉状物に適応する乾式による分離Ｂ０７Ｂ）
B07C5/02	選別前の処理，例．流れの中で物品を整理させるもの，向きを定めるもの｛（キャップの選別および運搬Ｂ６７Ｂ３／０６）｝
B07C5/04	寸法に従った選別｛（工作物片の自動的な供給または取外しの構成要素としての選別装置Ｂ２３Ｑ７／１２）｝
B07C5/06	機械的に測定されるもの｛（薬包の仕分けＦ４２Ｂ３５／０２）｝
B07C5/065	｛異なる規格，例えば長さと厚さ，について調整される多数の測定器具をもつものであって，もし測定器具により定められた規格に従うならばコンベアから取り除かれるように対象物の形状を検知するもの，例．いくつもの異なって較正された開口の手段によるもの｝
B07C5/07	相対的に動く物品係合手段，例．クランプ，を使用してカリパスで測ることによるもの
B07C5/08	電気的または電子的に測定されるもの（Ｂ０７Ｃ５／１０が優先；｛電気的または電磁的性質に従った選別Ｂ０７Ｃ５／３４４；電気的または磁気的手段を使用する寸法の測定一般Ｇ０１Ｂ７／００；コインの検査Ｇ０７Ｄ５／００）｝
B07C5/083	｛機械的に移動される検知装置であって，その移動が電気的接点部材に影響を及ぼすもの｝
B07C5/086	｛磁気的検知装置｝
B07C5/10	光感応手段により測定されるもの｛（色彩に従った選別Ｂ０７Ｃ５／３４２）｝
B07C5/12	他に分類されない特殊物品に対する適用に特徴のあるもの（｛Ｂ０７Ｃ９／００が優先｝；卵の選別Ａ０１Ｋ４３／００；｛靴の部品のための測定および選別装置Ａ４３Ｄ１１９／００；薬包の仕分けＦ４２Ｂ３５／０２｝）
B07C5/122	｛ボトル，アンプル，広口瓶および他のガラス器具のためのもの（キャップの選別および輸送Ｂ６７Ｂ３／０６）｝
B07C5/124	｛電気的な接点の制御もできる機械的な測定装置によるもの｝
B07C5/126	｛光電子検知器の手段によるもの，例．色彩によるもの（光学特性に従う選別Ｂ０７Ｃ５／３４２；光学的手段の補助をともなう材料の試験Ｇ０１Ｎ２１／００）｝
B07C5/128	｛電気的な，例えば電子的計測の，手段によるもの｝
B07C5/14	製材または丸太の選別，｛例．木の幹，枝，板または類似のもの｝
B07C5/16	重量に従った選別（卵の選別Ａ０１Ｋ４３／００；秤量装置それ自体Ｇ０１Ｇ）
B07C5/165	｛手紙のもの｝
B07C5/18	単一固定式秤量機械を使用するもの
B07C5/20	予め定められた重量以下の物品をその重量以上の物品から分けるためのもの
B07C5/22	複数の固定式秤量機械を使用するもの
B07C5/24	移動式秤量機械を使用するもの，例．円軌道に沿って動くもの
B07C5/26	その中にて秤量機械の平衡効果が上記の様な動きの間に変るもの
B07C5/28	電気的制御手段を使用するもの
B07C5/30	計数手段が組み合わされたもの
B07C5/32	検量手段が組み合わされたもの｛（検量それ自体Ｇ０１Ｇ１５／００）｝
B07C5/34	他の特殊な性質に従った選別｛（材料ぼ試験それ自体Ｇ０１Ｎ；品質管理Ｇ０７Ｃ３／１４）｝
B07C5/3404	｛容器または受け器の特性，例．剛性，漏れ性，充填レベル，に従うもの（紙巻タバコまたは葉巻タバコの包装のための制御装置Ｂ６５Ｂ１９／２８；構造物の気密性の調査Ｇ０１Ｍ３／００）｝
B07C5/3408	｛ボトル，広口瓶または他のガラス器具のためのもの（寸法に従うものＢ０７Ｃ５／１２２）｝
B07C5/3412	｛対象物の特性，例．品質階級，内容物または不正確な指示，を指示する対象物に適用される符号に従うもの（光感応手段により測定される寸法による選別Ｂ０７Ｃ５／１０；光学的性質による選別Ｂ０７Ｃ５／３４２；包装体用Ｂ６５Ｄ７９／０２；情報担体用Ｇ０６Ｋ７／００）｝
B07C5/3416	｛放射熱透過率に従うもの，例．光，Ｘ線，粒子線放射のためのもの（隠された対象物の検出Ｇ０１Ｖ）｝
B07C5/342	光学的性質に従うもの，例．色彩｛（放射熱透過率に従うものＢ０７Ｃ５／３４１６）｝
B07C5/3422	｛ビデオ走査装置，例．ＴＶカメラ，の使用｝
B07C5/3425	｛顆粒状の内料，例．原鉱石粒子，穀物，のもの（光学的な手段を用いる動いている流体または粒状固体の調査Ｇ０１Ｎ２１／８５）｝
B07C5/3427	｛走査に先立ち光学的特性を変更または強化することによるもの，例．ＵＶまたはＸ線放射のもとでの蛍光の励起，材料を化学反応にかけることによるもの｝
B07C5/344	電気的または電磁的性質に従うもの｛（電気的または電子的に測定した寸法に従った選別Ｂ０７Ｃ５／０８；磁気的な手段による材料の試験Ｇ０１Ｎ２４／００，Ｇ０１Ｎ２７／００；電気的な手段によるものＧ０１Ｎ２７／００；電気的測定装置一般Ｇ０１Ｒ；コインの試験Ｇ０７Ｄ５／００）｝
B07C5/346	放射性に従うもの｛（材料の試験Ｇ０１Ｎ２３／００；放射線の測定Ｇ０１Ｔ）｝
B07C5/36	分配に使用される手段に特徴のある選別装置｛（目的地に従った選別Ｂ０７Ｃ３／００３，Ｂ０７Ｃ３／０２）｝
B07C5/361	｛そのための処理または制御装置，例．エスコートメモリー｝
B07C5/362	｛分離または分配機構（郵便物の選別のためのスイッチＢ０７Ｃ３／０６５；特定の放出装置Ｂ６５Ｇ４７／７４）｝
B07C5/363	｛空気の手段によるもの｝
B07C5/365	｛単独の分離手段を用いるもの｝
B07C5/366	｛物品の自由落下を通じてのもの｝
B07C5/367	｛複数の分離手段を用いるもの｝
B07C5/368	｛独立的に作動するもの｝
B07C5/38	群状物品の収集または整理
B07C7/00	手だけによる選別，｛例．郵便のもの｝
B07C7/005	｛計算機を援用する手動選別，例．郵便用｝
B07C7/02	仕切られている備品，例．分類棚（｛Ｂ０７Ｃ７／００５が優先；家具それ自体Ａ４７Ｂ｝；倉庫棚Ｂ６５Ｇ）
B07C7/04	手による選択のための装置または付属品
B07C99/00	
B07C2201/00	目的地に従った選別前の処理
B07C2201/003	消印，例．押印または印刷による押印
B07C2201/006	危険物質，例．汚染物，爆発物，炭疽菌
B07C2301/00	目的地に従った選別
B07C2301/0008	電子装置，例．キーボード，表示器
B07C2301/0016	ＲＦＩＤタグ
B07C2301/0025	郵便物の受取人のための独立したＩＤを備える受取人の識別
B07C2301/0033	売れ残った物品，例．雑誌，の返還
B07C2301/0041	かついで歩く順序または配達する順序のための物品の順序づけ
B07C2301/005	郵送片の再指示または発送
B07C2301/0058	郵便物の総量の正しいことの確認
B07C2301/0066	データベースまたは一覧表における目的地の住所の確認
B07C2301/0075	選別された郵便片の梱包または包装
B07C2301/0083	異なる種類の郵便片の併合，例．封書と葉書
B07C2301/0091	郵便片の画像的な出現に基づく指紋の記号の作成，例．バーコードの印刷を回避するもの
B07C2501/00	選別される物品または材料の特徴または機能に従った選別
B07C2501/0009	固着具，例．ねじ，ナット，ボルト，の選別
B07C2501/0018	自由落下中の物品の選別
B07C2501/0027	音に従った物品の選別
B07C2501/0036	金属粒子の選別
B07C2501/0045	販売物品の回収，例．ボトル
B07C2501/0054	廃棄物またはごみの選別
B07C2501/0063	ロボットの使用
B07C2501/0072	ガラスの選別
B07C2501/0081	食品の選別
B07C2501/009	果実の選別
