B21H1/00	回転体状物品の製造（管の圧延Ｂ２１Ｂ１７／００〜Ｂ２１Ｂ２５／００）
B21H1/02	円盤；板車輪
B21H1/04	リムのあるもの，例．鉄道車輪｛またはプーリー｝
B21H1/06	軸方向の長さの限定されたリング（２以上の場所で同時にロール圧延することによる金属閉鎖体の伸延Ｂ２１Ｂ５／００）
B21H1/08	鉄道車輪リム
B21H1/10	空気タイヤのリム
B21H1/12	ボールベアリングまたはローラーベアリングのリング
B21H1/14	ボール，ローラー，コーンローラまたはそれと類似のもの
B21H1/16	ベアリング用のもの
B21H1/18	シリンダー，例．横方向に加工されるもの｛クロス圧延｝
B21H1/20	縦方向に加工されるもの
B21H1/22	周囲を異にするプロフィールを有するロールを使用することを特徴とするもの；｛ダイ圧延｝
B21H3/00	ら旋体またはら旋形部分を有する物体の製造（はすば歯車Ｂ２１Ｈ５／００；管または管壁のら施形状化Ｂ２１Ｄ１１／０６，Ｂ２１Ｄ１５／０４）
B21H3/02	外部ねじ山；｛ねじ転造用ダイスの製造｝
B21H3/022	｛回転スプライン，肋材，溝等と組み合わさったもの，例．複合型を用いるもの｝
B21H3/025	｛回転刃止めねじ｝
B21H3/027	｛セルフタッピンねじの回転｝
B21H3/04	プロフィールロールによる製造｛またはダイスロール｝
B21H3/042	｛ねじ転造ヘッド｝
B21H3/044	｛軸方向に作動するもの｝
B21H3/046	｛放射状に作動するもの｝
B21H3/048	｛接線的に作動するもの｝
B21H3/06	ロール以外のプロフィール部品による製造，例．｛往復動する平ダイスまたは｝互いに縦方向または曲線的に動くジョー
B21H3/065	｛プラネタリーねじ転造｝
B21H3/08	内部ねじ山
B21H3/10	ドリル；ねじタップ
B21H3/12	ねじ面を有する部品（ストリップまたはそれと類似のものをら旋形に曲げるものＢ２１Ｄ１１／０６）
B21H5/00	歯車の製造，｛ラック，スプライン軸またはウォーム｝
B21H5/005	｛ウォーム｝
B21H5/02	円筒状の歯車，｛例．ダイロールによるもの（ウォームＢ２１Ｈ５／００５）｝
B21H5/022	｛円筒アウトラインをもつ仕上げ歯，例．バニシング仕上げ｝
B21H5/025	｛内部歯車｝
B21H5/027	｛往復動する平ダイスを使用した圧延によるもの，例．ラック（Ｂ２１Ｈ５／０２２が優先）｝
B21H5/04	かさ歯車
B21H5/045	｛仕上げかさ歯車歯，例．バニシング仕上げ｝
B21H7/00	前のグループにない物品の製造，例．農具，フォーク，ナイフ，スプーン（くぎ，ピンＢ２１Ｇ３／３０）
B21H7/002	｛ファスナー；リベット｝
B21H7/005	｛鉄道枕木またはチェーン｝
B21H7/007	｛テーパ圧延，例．板ばね｝
B21H7/02	すき；シャベル
B21H7/04	くわ
B21H7/06	すきべら；おの
B21H7/08	フォーク；くま手｛スプーン｝
B21H7/10	ナイフ；小かま；草刈りがま
B21H7/12	馬蹄；それと同じような形状の部品，例．靴の耐摩耗付着物
B21H7/14	ぎざぎざのある部品
B21H7/16	タービンブレイド；コンプレッサーブレイド；プロペラブレイド
B21H7/18	溝付ピン；ローリング溝，例．部品の油溝｛（Ｂ２１Ｈ５／００が優先）｝
B21H7/182	｛回転環状溝｝
B21H7/185	｛フィレットローリング，例．クランクシャフトのもの｝
B21H7/187	｛回転螺旋状または直線方向の溝｝
B21H8/00	特定対象物を製造するために特に設計された，繰返し形状をした不定長金属製品の転造，ロール加工，または圧延｛例．縞薄板材｝
B21H8/005	｛シートまたはロールのエンボス加工｝
B21H8/02	特別な形状のロール
B21H9/00	このサブクラスで扱う部品を製造する転造，ロール加工，または圧延用の機械または装置への供給装置
B21H9/02	ねじ転造機の供給装置
