B23G1/00	ねじ切り；そのために特に設計された自動機械
B23G1/02	外向きまたは内向きの円筒または円錐面，例．奥まった所，にねじ切りするもの（Ｂ２３Ｇ１／１６，Ｂ２３Ｇ１／２２，Ｂ２３Ｇ１／３２，Ｂ２３Ｇ１／３６が優先）
B23G1/04	１個の加工主軸を備えた機械
B23G1/06	円錐ねじ，例．木ねじを作成するために特に適合させられたもの　
B23G1/08	複数個の加工主軸を備えた機械
B23G1/10	円錐ねじ，例．木ねじを作成するために特に適合させられたもの　
B23G1/12	工作物の回転に伴ってねじ山の輪郭を創成するように回転する平歯車またはそれと同様な形状の歯付き刃物を備えた機械
B23G1/14	円錐ねじ，例．木ねじを作成するために特に適合させられたもの
B23G1/16	タップによって工作物の穴内にねじ切りするもの（Ｂ２３Ｇ１／２６，Ｂ２３Ｇ１／３２，Ｂ２３Ｇ１／３６が優先）
B23G1/18	１個の加工主軸を備えた機械
B23G1/185	｛ナットの製造に特に適合するもの｝　
B23G1/20	複数個の加工主軸を備えた機械
B23G1/205	｛ナットの製造に特に適合するもの｝　
B23G1/22	管体または筒体に対して加工するために特に設計された機械
B23G1/225	｛自動制御のもの｝
B23G1/24	ポ−タブルのもの
B23G1/26	手動で操作されるねじ切り装置（ねじ切り工具の特徴それ自体Ｂ２３Ｇ５／００）
B23G1/261	｛ダイおよびタップレンチ（そのための注油および冷却装置Ｂ２３Ｇ５／００５；　Ｂ２３Ｇ１／２６５が優先）｝
B23G1/262	｛Ｖ字スロットを備えたタップレンチ（Ｂ２３Ｇ１／２６４が優先）｝
B23G1/263	｛筒状開口部および締め付けねじを備えたダイレンチ｝
B23G1/264	｛Ｖ字スロットを備えたタップレンチ機構からなるもの｝
B23G1/265	｛案内部を備えたダイおよびタップレンチ（そのための注油および冷却装置Ｂ２３Ｇ５／００５）｝
B23G1/266	｛Ｖ字スロットを備えたタップレンチ（Ｂ２３Ｇ１／２６８が優先）｝
B23G1/267	｛筒状開口部および締め付けねじを備えたダイレンチ｝
B23G1/268	｛Ｖ字スロットを備えたタップレンチ機構からなるもの｝
B23G1/28	ねじ切り工具を調整する手段をもつもの
B23G1/30	ねじ切り工具を調整する手段をもたないもの，例．ダイ床をもつもの（タップレンチＢ２５Ｂ）
B23G1/32	フライス削りによるもの
B23G1/34	工作物の回転軸に関して偏心して配置された閉じた径路内を動く切削ビットをもつもの
B23G1/36	研削によるもの
B23G1/38	所要のねじピッチに従って工作物に沿って案内される研削と石をもつもの
B23G1/40	工作物に対して半径方向に案内される研削と石をもつもの
B23G1/42	芯なし研削
B23G1/44	ねじ切り用の機械または装置のために特に設計された備品またはアクセサリ
B23G1/46	ねじ切り工具を保持するもの　｛Ｂ２３Ｂ３１／０８３が優先｝
B23G1/465	｛工具を反転させるための装置からなるもの｝
B23G1/48	ねじ切り工具を案内するもの
B23G1/50	繰返し操作によってねじを切削するためのもの
B23G1/52	管体または筒体に対して加工するためのもの
B23G3/00	ねじ切りのためのみに特に設計されたものではない工作機械を，ねじ切りのために使用できるようにするための装置または付属装置，例．加工主軸を逆転させるための装置
B23G3/005	｛プレス機をねじ切りのために使用できるようにするためのもの｝
B23G3/02	ねじ切り工具の引戻しまたは再セッティングのためのもの
B23G3/04	ねじ切り工具をあらかじめ定められた加工位置に繰り返してセットするためのもの
B23G3/06	親ねじのピッチ誤差を補償するためのもの
B23G3/08	ねじ切り工具または工作物を，型板，カム，または同様な手段によって前進または制御するためのもの
B23G3/10	可変ピッチのねじを切削するためのもの
B23G3/12	数個の近接して配置されたねじ切り工具，例．数個のチェ−ザ，を使用するためのもの
B23G3/14	円錐形状のねじ山を切削するためのもの
B23G5/00	ねじ切削工具；ダイヘッド
B23G5/005	｛注油および冷却装置を有するもの｝
B23G5/02	調整用手段のないもの
B23G5/04	ダイス
B23G5/043	｛案内手段を有するもの｝
B23G5/046	｛円錐形のねじ山用｝
B23G5/06	タップ（そのためのチャックＢ２３Ｂ３１／００）
B23G5/062	｛案内手段部を有するもの｝
B23G5/064	｛脆弱なシャンク部を有するもの｝
B23G5/066	｛とめ具を有するもの｝
B23G5/068	｛破損したタップを取り除く手段を有するもの｝
B23G5/08	調整用手段をもつもの
B23G5/083	｛調整自在なダイス｝
B23G5/086	｛案内手段を有するもの｝
B23G5/10	ダイヘッド
B23G5/103	｛案内手段を備えるもの｝
B23G5/106	｛コレット式ダイヘッド｝
B23G5/12	自己解放形
B23G5/14	タッピングヘッド
B23G5/16	自己解放形
B23G5/18	フライス
B23G5/182	｛他の工具と結合したもの｝
B23G5/184	｛ドリルと結合したもの（Ｂ２３Ｇ５／１８８が優先）｝　
B23G5/186	｛面取りバイトと結合したもの｝
B23G5/188	｛およびドリルと結合したもの｝
B23G5/20	他の工具，例．ドリル，と結合したもの　｛（Ｂ２３Ｇ５／１８２が優先；穴を開け，ねじを立てるねじ　Ｆ１６Ｂ２５／００）｝　
B23G7/00	形状および使用方法の両方においてねじ切り工具と類似した工具を用いて，材料を工作物から取り去ることなしにねじを形成するもの（ねじ形成の特殊な方法に適用されない機械または装置の特徴Ｂ２３Ｇ１／００）
B23G7/02	その目的のための工具
B23G9/00	ねじ切りに関連した，ねじ，ボルト頭またはナットの加工，例．ねじ頭またはシャンクのみぞ加工，ばり取り；仕上げ，例．ねじ山のつや出し
B23G9/001	｛ねじ加工｝
B23G9/002	｛ねじ頭またはシャンクのみぞ加工｝
B23G9/003	｛ねじのばり取り｝
B23G9/004	｛ねじの仕上げ　（Ｂ２３Ｇ９／００３が優先）｝
B23G9/005	｛ナット加工｝
B23G9/006	｛ナットのみぞ加工｝
B23G9/007	｛ナットのばり取り｝
B23G9/008	｛ナットの仕上げ　（Ｂ２３Ｇ９／００７が優先）｝
B23G9/009	｛ねじ山洗浄または修理｝
B23G11/00	ねじ切り機械と結合された，またはねじ切り機械中に配置された，またはねじ切り機械と接続して用いるために特に適合させられた供給または排除機構（工作機械用一般Ｂ２３Ｑ）
B23G2200/00	
B23G2200/02	
B23G2200/04	
B23G2200/06	
B23G2200/062	
B23G2200/065	
B23G2200/067	
B23G2200/08	
B23G2200/10	
B23G2200/12	
B23G2200/14	
B23G2200/141	
B23G2200/142	
B23G2200/143	
B23G2200/144	
B23G2200/145	
B23G2200/146	
B23G2200/147	
B23G2200/148	
B23G2200/16	
B23G2200/18	
B23G2200/20	
B23G2200/22	
B23G2200/24	
B23G2200/26	
B23G2200/28	
B23G2200/30	
B23G2200/32	
B23G2200/34	
B23G2200/36	
B23G2200/38	
B23G2200/40	
B23G2200/42	
B23G2200/44	
B23G2200/46	
B23G2200/48	
B23G2200/50	
B23G2210/00	
B23G2210/04	
B23G2210/08	
B23G2210/12	
B23G2210/16	
B23G2210/21	
B23G2210/24	
B23G2210/28	
B23G2210/36	
B23G2210/41	
B23G2210/44	
B23G2210/48	
B23G2225/00	
B23G2225/04	
B23G2225/08	
B23G2225/12	
B23G2225/16	
B23G2225/165	
B23G2225/24	
B23G2225/28	
B23G2225/32	
B23G2225/36	
B23G2225/40	
B23G2225/44	
B23G2225/48	
B23G2225/52	
B23G2225/56	
B23G2225/60	
B23G2240/00	
B23G2240/04	
B23G2240/08	
B23G2240/12	
B23G2240/16	
B23G2240/20	
B23G2240/24	
B23G2240/28	
B23G2240/32	
B23G2240/36	
B23G2240/40	
B23G2240/44	
B23G2240/48	
B23G2240/52	
B23G2240/56	
B23G2240/60	
