B23P5/00	金属部品への宝石類の取付け，例．工具へのダイヤモンドの取付け
B23P6/00	対象物の修復または修理（金属板，金属棒，金属管，金属プロフィルまたはそれから作られた特定物品の矯正または形状の回復Ｂ２１Ｄ１／００，Ｂ２１Ｄ３／００；鋳造による欠陥または損傷した物品の補修Ｂ２２Ｄ１９／１０）
B23P6/002	｛タービンの構成部品．例．可動または静止翼，ローターの修理（Ｂ２３Ｐ６／０４５が優先）｝
B23P6/005	｛特定の形状の補修片のみを用いるもの｝
B23P6/007	｛付加的な方法，例．肉盛溶接，のみを用いるもの｝
B23P6/02	ピストンまたはシリンダーの修復または修理
B23P6/04	破損またはひび入り金属部品や製品，例．鋳造物，の修理
B23P6/045	｛タービンの構成部品．例．可動または静止翼，ローター，等についてのもの｝
B23P9/00	主に摩耗または衝撃に対抗するための較正を伴うか伴わない表面処理または表面仕上げ，例．タービン翼，軸受の平滑または粗面化加工（単一の他のサブクラスに分類される処理は関係分類を参照，例．Ｂ２４Ｃ，Ｃ２１Ｄ７／００，Ｃ２２Ｆ１／００）；他に分類されず上記のような表面に特徴があり，その処理法は特殊でないもの
B23P9/02	加圧による処理または仕上げ，例．ローレット切り（Ｂ２３Ｐ９／０４が優先）
B23P9/025	｛軸方向に移動する工具の使用による穴の内壁へのもの｝
B23P9/04	つち打ちまたは反復加圧による処理または仕上げ
B23P11/00	他に分類されない，金属加工の方法による金属部品または金属対象物の接合または分離（金属板，金属管，金属棒または金属プロフィルの接合Ｂ２１Ｄ３９／００；リベット締めＢ２１Ｊ；ハンダ付け，ハンダ離脱，溶接Ｂ２３Ｋ；針金または帯金を接合する手工具Ｂ２５Ｂ２５／００；接着剤による金属部品Ｆ１６Ｂ１１／００）
B23P11/005	｛拡張またはクリンピングによるもの｝
B23P11/02	拡張に次いで収縮，またはその逆によるもの，例．圧力流体の使用によるもの；圧力ばめによるもの
B23P11/022	｛圧力流体の使用によるもの｝
B23P11/025	｛熱または低温の使用によるもの｝
B23P11/027	｛工具ホルダへの工具の装着のためのもの｝
B23P13/00	本質的には機械加工を伴なうが単一の他のサブクラスによって分類されない作業による金属物品の製造（特殊な物品の製造Ｂ２３Ｐ１５／００）
B23P13/02	機械加工作業のみが重要なもの
B23P13/04	外形材の薄切りを伴なうもの
B23P15/00	単一の他のサブクラスまたはこのサブクラスにおける単一グループに分類されない作業による特殊な物品の製造
B23P15/001	｛弁または弁ハウジング（溶接Ｂ２３Ｋ；弁ハウジングそれ自体Ｆ１６Ｋ）｝
B23P15/002	｛ポペット弁｝
B23P15/003	｛軸受（Ｆ１６Ｃ３３／００も参照）｝
B23P15/005	｛キー（本質的な金属材料の除去をともなわないキーの製造，例．パンチングニヨルモノＢ２１Ｄ５３／４２；キーにおける溝のフライス加工Ｂ２３Ｃ３／３５）｝
B23P15/006	｛タービンホイール｝
B23P15/007	｛射出成形ツール｝
B23P15/008	｛ロケットエンジンの部品，例．ノズル，燃焼室｝
B23P15/02	単一工作片からのタービン類の翼の製造
B23P15/04	数工作片からのタービン類の翼の製造
B23P15/06	単一工作片からのピストンリングの製造
B23P15/065	｛金属ストリップからの製造｝
B23P15/08	数工作片からのピストンリングの製造
B23P15/10	ピストンの製造
B23P15/105	｛ピストンの拡径｝
B23P15/12	格子の製造｛（他のサブクラスに分類される方法による格子の製造Ｂ２１Ｄ４７／００５）｝
B23P15/14	歯車類，例．歯車
B23P15/16	極小径孔のある板，例．紡糸ノズルまたはバーナノズル用の板
B23P15/18	ブレーキシユー
B23P15/20	軌道必要品，例．緩衝器
B23P15/22	薬夾または類似外殻
B23P15/24	ダイス（Ｂ２１Ｃ３／１８，Ｂ２１Ｃ２５／１０，Ｂ２１Ｄ３７／２０が優先）
B23P15/243	｛ハニカムダイス｝
B23P15/246	｛積層ダイス｝
B23P15/26	熱交換器｛または類似のもの（他のサブクラスに分類される方法による熱交換器の製造Ｂ２１Ｄ５３／０２）｝
B23P15/28	切削工具（鋸Ｂ２３Ｄ６３／００，Ｂ２３Ｄ６５／００；やすりまたは石目やすりＢ２３Ｄ７３／００）
B23P15/30	旋盤類用バイト
B23P15/32	ドリル
B23P15/34	フライスカッター
B23P15/36	ねじ切り用フライスカッター
B23P15/38	平削りまたは立て削り用バイト（Ｂ２３Ｐ１５／３０が優先）
B23P15/40	せん断刃
B23P15/403	｛カミソリ刃｝
B23P15/406	｛回転または平面ダイカッター｝
B23P15/42	ブローチ
B23P15/44	きさげ工具またはシェービング工具
B23P15/46	リーマ
B23P15/48	ねじ切り工具（ねじ切り用フライスカッターＢ２３Ｐ１５／３６）
B23P15/50	ダイス
B23P15/52	タップ
B23P17/00	単一の他のサブクラスまたはこのサブクラスの別のグループに分類されない金属加工作業
B23P17/02	単一金属加工方法；そのための機器
