B31B50/00	剛性または準剛性容器の製造，例．箱またはカートン<br><br><u>注</u><br><br>このグループにおいては，グループＢ３１Ｂ２１００／００〜Ｂ３１Ｂ２１２０／００のインデキシングコードを付与することが望ましい。<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／００はグループＢ３１Ｄ１／００，Ｂ３１Ｄ３／００，Ｂ３１Ｄ５／００，Ｂ３１Ｄ５／０２，Ｂ３１Ｄ５／０４およびＢ３１Ｄ９９／００からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／００もまたＢ３１Ｂ５０／５９への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/002	｛事前破壊｝
B31B50/003	｛箱の側壁をまっすくにするもの，折りたたまれた箱のブランクを矩形にするもの；箱の変形｝
B31B50/004	｛箱を閉じるもの｝
B31B50/0042	｛箱が水平方向に面する開口をもつもの｝
B31B50/0044	｛箱が上方に面する開口をもつもの｝
B31B50/0045	｛箱が円筒面であるもの｝
B31B50/005	｛機械類の特別なレイアウトまたは関連するそのサブユニットの配置を含むもの｝
B31B50/006	｛制御；規制；計測；安全の向上｝
B31B50/02	シート，ブランクまたはウエブを送りまたは位置させるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／０２はグループＢ３１Ｂ５０／０２２〜Ｂ３１Ｂ５０／１２への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/022	｛シートまたはウェブを送るまたは位置させるための保持具｝<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／０２２〜Ｂ３１Ｂ５０／１２はグループＢ３１Ｂ５０／０２からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/024	｛回転する保持具，例．星形車，ドラム｝
B31B50/04	シートまたはブランクを送るもの
B31B50/042	｛ロール，ベルトまたはチェーンを用いるもの｝
B31B50/044	｛位置合わせを伴うもの｝
B31B50/046	｛輸送の姿勢の変更または方向の変更を伴うもの｝
B31B50/06	積重ねた山から送るもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／０６はグループＢ３１Ｂ５０／０２からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/062	｛マガジンの下側から送るもの｝
B31B50/064	｛位置合わせを伴うもの｝
B31B50/066	｛輸送の姿勢の変更または方向の変更を伴うもの｝
B31B50/07	空気圧または吸引によるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／０７はグループＢ３１Ｂ５０／０２からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／０２およびＢ３１Ｂ５０／０７はコンプリートサーチの完遂のために考慮されるべきである。
B31B50/10	ウエブを送りまたは位置させるもの
B31B50/102	｛ロール，ベルトまたはチェーンを用いるもの｝
