B41C1/00	印刷版の製作
B41C1/003	｛液体の堆積により画像形成される凸版又は凹版，例．インクジェットによるもの｝
B41C1/006	｛研磨手段により得られる凸版又は凹版，例．サンドブラストによるもの｝
B41C1/02	彫刻；そのためのヘッド（記録担体への記録，そのためのヘッドＧ１１Ｂ）
B41C1/025	｛凸版又は凹版印刷フォーム製造ための，予めレジストパターンが形成された基板の液体エッチングに特徴のあるもの｝．．<br><br><u>注</u><br><br>クラスＢ４１のタイトルおよびサブクラスＨ０４Ｎ，特にそのサブクラスのタイトルに続く<br><br><u>注</u><br><br>及びグループＨ０４Ｎ１／００に注意する。
B41C1/04	電気情報信号によって制御されるヘッドを用いるもの
B41C1/045	機械的彫刻ヘッド
B41C1/05	発熱彫刻ヘッド，例．レーザービーム，電子ビーム．．．<br><br><u>｛注</u><br><br>．レーザービームまたは他の高エネルギー放射ビームによる平版フォーム，スクリーン印刷フォームまたはステンシル紙の加工は，彫刻に包含されるとは考えない。これらのフォームの製作は，Ｂ４１Ｃ１／１０およびＢ４１Ｃ１／１４に包含される。｝
B41C1/055	印刷版作成のためのサーモグラフ法　｛例．サーマルプリントヘッドを用いるもの｝（Ｂ４１Ｃ１／０２が優先；　｛レーザービームを用いたアブレーション記録によるもので，凸版または凹版加工Ｂ４１Ｃ１／０５；平版フォームの製造Ｂ４１Ｃ１／１０；スクリーン印刷フォームまたはステンシル紙Ｂ４１Ｃ１／１４）｝
B41C1/06	転写（Ｂ４１Ｃ１／１０，Ｂ４１Ｃ１／１８が優先）
B41C1/08	エンボシングによるもの，例．タイプライタをもつもの（そのために適用されるタイプライタＢ４１Ｊ３／３８）
B41C1/10	平版印刷用；平版像を版に転写するためのマスターシート（平版印刷版の中和化または類似の変異処理Ｂ４１Ｎ３／０８）
B41C1/1008	｛平版支持体上の版材料の除去又は破壊によるもの，例．レーザまたはスパークによるアブレーション；熱露出により可溶性または不溶性とされる材料を使用するもの，例．光熱変換システムで生じる熱によるもの；版の露光または版の現像におけるもの，例．写真製版材料の噴出によるもの｝
B41C1/1016	
B41C1/1025	｛高分子粉体材料，例．疎水性の熱合体微粒子，を含む高分子基質からなる材料を使用するもの｝
B41C1/1033	｛レーザまたはスパークによるアブレーションによるもの｝
B41C1/1041	｛材料を除去又は付与せずに平版特性を与える変形によるもの，例．平版パターンの単なる生成によるもの｝
B41C1/105	｛材料，例．ゲルからの液体，の電気凝固，電気密着または電気解離によるもの｝
B41C1/1058	｛磁気パターン，強誘電性パターンまたは半導体性パターンを付与することによるもの，例．電子写真によるもの｝
B41C1/1066	｛インクジェットシステムなどのノズルを使用して粉体をスプレーすることによるもの，レーザで予め被覆された粉体を溶融させることによるもの｝
B41C1/1075	｛オンプレス印刷版製作に関する機械的特徴を有するもの（Ｂ４１Ｃ１／１００８からＢ４１Ｃ１／１０６６が優先）｝
B41C1/1083	｛オフプレス印刷版製作に関する機械的特徴を有するもの（Ｂ４１Ｃ１／１００８からＢ４１Ｃ１／１０６６が優先）｝
B41C1/1091	｛サーマルヘッドまたはレーザにより提供される熱手段を用いて製版材料が均一に被覆されたドナーシートからの物理的な転写によるもの；機械的な圧力によるもの，例．そのために電気的に記録するリボンを用いるタイプライタからの圧力によるもの｝
B41C1/12	多色印刷版
B41C1/14	ステンシル印刷またはシルクスクリーン印刷用
B41C1/141	｛機械的手段を用いた切断または貫孔；電気スパーク切断｝
B41C1/142	｛電気メッキ処理または無電解メッキ処理を使用するもの｝
B41C1/144	｛サーマルヘッドを用いた貫孔によるもの｝
B41C1/145	｛エネルギー放射ビーム，例．レーザ，を用いた貫孔によるもの｝
B41C1/147	｛液体，例．インクジェットからのもの，の像形成された付着；シートに浸透しないインクの硬化または可溶化による化学的貫孔｝
B41C1/148	｛オリジナルの熱または光を吸収する特性を有するパターンを用いた伝統的な熱写真法の露出によるもの，例．閃光を用いるもの｝
B41C1/16	アマルガム被覆によりインク抵抗性となった領域を有する版；アマルガム印刷用版
B41C1/18	曲面印刷版，または円筒印刷版　｛（Ｂ４１Ｃ１／１０，Ｂ４１Ｃ１／１４が優先）｝
B41C1/182	｛スリーブ；無端ベルト｝
B41C1/184	｛円筒へのデザインの転写によるもの，例．平版印刷板からのもの；円筒表面へのパターンの描画によるもの；円筒表面にパターンを直接切り込むもの｝
B41C1/186	｛鋳造によるもの｝
B41C1/188	｛予めレジストパターンが形成された円筒の液体エッチングの手段に特徴のあるもの｝
B41C3/00	印刷版の複製
B41C3/02	鉛版（鉛版の鋳造Ｂ４１Ｄ３／００）
B41C3/04	ゴム版を製作するもの
B41C3/06	プラスチック版を製造するもの
B41C3/08	電鋳版:バッキング層の使用
B41C2201/00	
B41C2201/02	
B41C2201/04	
B41C2201/06	
B41C2201/10	
B41C2201/12	
B41C2201/14	
B41C2210/00	
B41C2210/02	
B41C2210/04	
B41C2210/06	
B41C2210/08	
B41C2210/10	
B41C2210/12	
B41C2210/14	
B41C2210/16	
B41C2210/20	
B41C2210/22	
B41C2210/24	
B41C2210/26	
B41C2210/262	
B41C2210/264	
B41C2210/266	
