B65H1/00	物品を分離する堆積物用の支持具またはマガジン（物品収容具Ｂ６５Ｈ３１／００）
B65H1/02	縦状に物品を支持するようになっているもの
B65H1/022	｛分離装置へ堆積物を提供するために体積物を前進させるための非制御手段を備えるもの，例．重錘またはばね｝  
B65H1/025	｛分離装置へ物品を提供するために体積物を前進させるための確実に制御される動作機構を備えるもの｝  
B65H1/027	｛取扱機械から全体的にまたは部分的に取り外し可能な支持具，例．カセット，引き出し｝  
B65H1/04	物品をほぼ水平に支持するようになっているもの，例．堆積物の頂部から分離するためのもの
B65H1/06	堆積物の底部から分離するためのもの
B65H1/08	分離装置へ物品を供給するため堆積物を給送する装置をもつもの（物品が底部から分離される堆積物への押圧Ｂ６５Ｈ１／０６）
B65H1/10	重錘を含むもの　｛（Ｂ６５Ｈ１／１８，Ｂ６５Ｈ１／２０が優先）｝
B65H1/12	ばねを含むもの　｛（Ｂ６５Ｈ１／１８，Ｂ６５Ｈ１／２０が優先）｝
B65H1/14	機械的強制作動装置を含むもの　｛（Ｂ６５Ｈ１／１８，Ｂ６５Ｈ１／２０が優先）｝
B65H1/16	気圧または液圧装置を含むもの　｛（Ｂ６５Ｈ１／１８，Ｂ６５Ｈ１／２０が優先）｝
B65H1/18	堆積物の高さによって制御されるもの
B65H1/20	堆積物の重さによって制御されるもの；浮動装置
B65H1/22	物品の面方向に移動するもの，例．扇形に拡げられた堆積物をそっくり給送させるためのもの
B65H1/225	｛丸型スタックフィーダー｝  
B65H1/24	堆積物の圧力を軽減または制御する装置をもつもの
B65H1/26	堆積物の導入または取換えを容易にする補助支持具をもつもの
B65H1/263	｛新規堆積物の導入中に堆積物を分離工程に保持するための補助支持物｝  
B65H1/266	｛取扱い機械，例．カセット，引き出しから全体的にまたは部分的に取り外し可能な支持物 (Ｂ６５Ｈ１／０２７が優先)｝  
B65H1/28	堆積物を並べて受入れるよう仕切られているもの
B65H1/30	物品の連続的分離中にそこへ堆積物を補充する装置をもつもの　｛（Ｂ６５Ｈ１／２２が優先）｝
B65H3/00	堆積物からの物品の分離（物品の組み合わせ，丁調べまたは丁合Ｂ６５Ｈ３９／００；重合されているウェブを分離するための機械Ｂ６５Ｈ４１／００；折畳みと組合わせた薄板状材料の積卸しＢ６５Ｈ４５／２６）
B65H3/02	物品と分離装置との間の摩擦力を利用するもの
B65H3/04	無端ベルト分離装置
B65H3/042	｛堆積物の底から分離するもの｝  
B65H3/045	｛実質的に垂直に 重ねられた物品を分離するためのもの｝  
B65H3/047	｛堆積物の上部から分離するもの｝
B65H3/06	ローラおよび同種の回転型分離装置　｛（Ｂ６５Ｈ３／４２が優先）｝
B65H3/0607	｛分離工程の後でローラーまたはロータリーセパレータから堆積物を自動的に分離するための手段と協動するもの｝  
B65H3/0615	｛１方向にのみ往復動および回転可能なもの｝
B65H3/0623	｛各分離サイクルの少なくとも一部の期間中に最終的に分離する向きとは反対の向きに物品に作用するもの｝
B65H3/063	｛堆積物の底部から分離するもの（Ｂ６５Ｈ３／０６１５，Ｂ６５Ｈ３／０６２３が優先）｝
B65H3/0638	｛ローラまたは同様の回転型分離装置の構造（Ｂ６５Ｈ３／０６１５が優先；フィードローラまたはガイドローラの構造Ｂ６５Ｈ２７／００）｝
B65H3/0646	｛波動生成ローラ，すなわち紙さばき機｝
B65H3/0653	｛ほぼ鉛直方向に積み重ねられた物品を分離するためのもの｝
B65H3/0661	｛積層物上方に配置した分離ローラを使って斜めに積み重ねられた物品を分離するためのもの｝
B65H3/0669	｛それの駆動装置｝
B65H3/0676	｛供給方向に２つ以上の分離ローラをもつもの｝
B65H3/0684	｛移動支持体上のもの，例．ローラーまたはロータリーセパレータ等を堆積物に接触させるために枢動するもの｝  
B65H3/0692	｛真空を利用した分離ローラ｝
B65H3/08	気体圧力を利用すること　｛（Ｂ６５Ｈ３／４０，Ｂ６５Ｈ３／４２が優先）｝
B65H3/0808	｛吸着グリッパ｝
B65H3/0816	｛堆積物の頂部から分離するもの｝
B65H3/0825	｛加えて，最終的に分離する向きに応じて物品の後部に作用するもの｝
B65H3/0833	｛加えて，最終的に分離する向きに応じて物品の前部に作用するもの｝
B65H3/0841	｛この動作によって，少なくとも各分離サイクルの一部の期間中に，物品の少なくとも前部が最終的に分離する向きと反対の向きに移動するもの｝
B65H3/085	｛堆積物の底部から分離するもの｝
B65H3/0858	｛この動作によって，分離しようとしている各物品の屈曲が主として発生するもの（スクリューまたは同種の分離装置とともに使用するものＢ６５Ｈ３／２８）｝
B65H3/0866	｛最終分離がローラ間で行われるもの｝
B65H3/0875	｛最終分離が機械的グリッパによって行われるもの｝
B65H3/0883	｛吸着グリッパまたはその保持装置の構造｝
B65H3/0891	｛押圧力を生成または制御するもの（Ｂ６５Ｈ３／０８８３，Ｂ６５Ｈ３／１４が優先；異常事態の発生に応答するものＢ６５Ｈ７／１６）｝
B65H3/10	吸引ローラ
B65H3/12	堆積物を相対的に移動する吸引バンド，ベルトまたはテーブル
B65H3/122	｛吸着テーブル｝
B65H3/124	｛吸着バンドまたは吸着ベルト｝
B65H3/126	｛堆積物の底部から分離するもの｝
B65H3/128	｛堆積物の頂部から分離するもの｝
B65H3/14	部分的に負圧を生じさせる空気噴流
B65H3/16	磁気力を利用するもの
B65H3/18	静電気力を利用するもの
B65H3/20	粘着性を利用するもの
B65H3/22	物品に係合する針または同様のものによるもの
B65H3/24	物品の端縁に係合する押具によるもの
B65H3/242	｛堆積物の一部，例．複数の物品を一度に分離するもの｝  
B65H3/245	｛事前にマークが付けられる堆積物｝  
B65H3/247	｛オフセットされる堆積物｝  
B65H3/26	物品の折り目，垂片または突出部に係合する分離装置によるもの
B65H3/28	スクリューまたは同様の分離装置によるもの
B65H3/30	エスケープメント装置によるもの（スクリューおよび類似の分離装置Ｂ６５Ｈ３／２８）；食い違い形状を有する堆積物からのもの；例．切断加工または貫通孔
B65H3/32	分離される物品と堆積物の残部との間に挿入されるかまたは間を横切る要素，例．フィンガ，板，ローラ，によるもの（分離を助長しまたは２重供給を防ぐ補助装置としてのみ作動する上記の要素Ｂ６５Ｈ３／５０）
B65H3/322	｛堆積物の一部，例．複数の物品を一度に分離するもの｝  
B65H3/325	｛事前にマークが付けられる堆積物｝  
B65H3/327	｛オフセットされる堆積物｝  
B65H3/34	分離装置への物品の解放を制御する物品保持装置
B65H3/36	特殊な送路で移行される分離装置によるもの，例．送路が閉回路を形成するもの
B65H3/38	送路が閉回路を形成しないもの
B65H3/40	同一堆積物に交互に作動する２以上の分離装置によるもの（２以上の分離装置を支持する回転体または揺動体Ｂ６５Ｈ３／４２）
B65H3/42	回転体または揺動体とともにまたは相対的に移動するよう取付けられた２以上の分離装置によるもの
B65H3/44	２以上の堆積物から物品を同時に，交互にまたは選択的に分離すること
B65H3/443	｛同時に｝  
B65H3/446	｛代替的に，すなわち，決まった順序によるもの｝
B65H3/46	分離を助長しまたは２重供給を防ぐ補助装置または補助手段（２重供給に応答する検出器を含む制御手段Ｂ６５Ｈ７／１２）
B65H3/48	物品の端縁にまたは下側に作用する空気噴流
B65H3/50	分離される物品と堆積物の残部との間に挿入されるかまたは間を横切る要素，例．フィンガ，板，ローラ
B65H3/52	分離される物品の下側または後側に作用する摩擦保持具
B65H3/5207	｛非被駆動保持具，例．物品の移動によって移動される移動可能な保持具｝
B65H3/5215	｛堆積物の上部から分離するもの｝
B65H3/5223	｛パッドタイプ，例．摩擦パッドの保持具｝
B65H3/523	｛堆積物の底から分離するもの｝
B65H3/5238	｛パッドタイプ，例．摩擦パッドの保持具｝
B65H3/5246	｛被駆動保持具｝
B65H3/5253	｛堆積物の上部から分離するもの｝
B65H3/5261	｛ローラータイプのもの，例．ローラー｝
B65H3/5269	｛ベルトタイプのもの，例．ベルト｝
B65H3/5276	｛堆積物の底から分離するもの｝
B65H3/5284	｛ローラータイプのもの，例．ローラー｝
B65H3/5292	｛ベルトタイプのもの，例．ベルト｝
B65H3/54	押圧具または保持具
B65H3/56	分離された物品に作用するかまたは堆積物の端縁に作用する要素，例．スクレーパ，フィンガ，針，ブラシ　｛（Ｂ６５Ｈ３／５２が優先）｝
B65H3/565	｛堆積物内へ部分的に物品を再導入するためのもの｝
B65H3/58	二重送り防止のために，物品にピン止め，糸綴じ，接合または糊付けがなされたもの，例．堆積物の端縁が糊付けされたもの
B65H3/60	堆積物中の物品をさばいたり，ほぐしたりするもの
B65H3/62	堆積物の揺動，振動またはたたきによるもの
B65H3/64	真空装置によるもの
B65H3/66	物品の案内具または平滑具，例．作動中に移動できるもの
B65H3/68	作動中移動できないもの
B65H5/00	堆積物から分離した物品の供給；機械への物品の供給（機械から物品を排送または給送のための同一機構または部品Ｂ６５Ｈ２９／００｛Ｂ６５Ｈ９／００が優先｝）
B65H5/002	｛計数装置の調節（機械からの物品の配送Ｂ６５Ｈ２９／００１）｝
B65H5/004	｛静電気力を利用するもの｝
B65H5/006	｛機械に物品の堆積物を供給するもの｝
B65H5/008	｛振動を利用するもの｝
B65H5/02	ベルトまたはチェーンによるもの　｛例．ベルト間またはチェーン間によるもの；（無端コンベヤとグリッパとの組み合わせによるものＢ６５Ｈ５／０８５；吸引ベルトによるものＢ６５Ｈ５／２２）｝
B65H5/021	｛ベルトによるもの｝
B65H5/023	｛移送ニップを形成する１対のベルト間のもの｝
B65H5/025	｛ベルトと回転手段との間のもの，例．移送ニップを形成するローラー，ドラム，シリンダーまたはボール｝
B65H5/026	｛ベルトと静止圧縮装置間のもの，例．移送ニップを形成する支持または誘導要素｝
B65H5/028	｛チェーンによるもの｝
B65H5/04	移動可能のテーブルまたは往復台によるもの（回転テーブルＢ６５Ｈ５／１８｛吸引テーブルまたはグリッパテーブルＢ６５Ｈ５／１０｝）
B65H5/06	ローラによるもの，　｛例．ローラ間によるもの；（吸引ローラまたはグリッパローラＢ６５Ｈ５／１２）｝
B65H5/062	｛ローラ間またはボール間によるもの｝
B65H5/064	｛ローラの軸が物品面に垂直であるもの｝
B65H5/066	｛物品がローラまたはボール上に支持されるもの｝
B65H5/068	｛１つ以上のローラまたはボールと固定した押圧，支持，または案内素子との間に置かれるもの｝
B65H5/08	挾持具によるもの，例．吸引挾持具
B65H5/085	｛無端コンベヤとグリッパとの組み合わせによるもの（吸引ベルトＢ６５Ｈ５／２２）｝
B65H5/10	往復動または揺動挾持具　｛例．吸着テーブルまたはグリッパテーブル｝
B65H5/12	回動挟持具，例．腕，枠またはシリンダに取付けられたもの
B65H5/14	挟持具の細部；その作動機構
B65H5/16	表面またはテーブルに沿って単一物品を供給するようになっている押し具，針，摩擦または同様の装置によるもの
B65H5/18	回転盤またはテーブルによるもの
B65H5/20	ドロッピング・ローラまたは同様の装置によるもの
B65H5/22	空気噴流または吸気装置によるもの（吸気挟持具Ｂ６５Ｈ５／０８）
B65H5/222	｛吸着装置によるもの｝
B65H5/224	｛吸着ベルトによるもの｝
B65H5/226	｛吸着ローラによるもの｝
B65H5/228	｛エアブラスト装置によるもの｝
B65H5/24	｛重なり合う物品の流れの供給｝
B65H5/26	２個ずつ，交互，選択または協働による供給
B65H5/28	巻取りまたは折畳まれた帯状体に貯蔵されている物品の供給
B65H5/30	折畳まれたシートまたは折帖の拡開装置
B65H5/301	｛開放される部品の間に挿入されるブレード状の手段を含むもの｝
B65H5/302	｛静止するブレード状の手段のもの｝
B65H5/303	｛折り畳まれたシートを開放するための移動可能なエンドレス手段を含むもの（Ｂ６５Ｈ５／３０８が優先）｝
