B68C1/00	乗用獣または荷駄獣のためのくらを置く装備
B68C1/002	｛支持または掃除目的のための鞍受け台｝
B68C1/005	｛くらをより後部に位置決めするための装置｝
B68C2001/007	｛くらを置く装備に関するインデキシングコード｝
B68C1/02	くら
B68C2001/022	｛障碍者用のくら｝
B68C1/025	｛鞍骨（Ｂ６８Ｃ１／０４およびＢ６８Ｃ１／０６が優先）｝
B68C1/027	｛２人乗り用のくら；標準的なくらに固定された子供用のくら（玩具としてのくらＡ６３Ｈ３３／００）｝
B68C1/04	調節できるくら
B68C2001/042	｛間接により自己調節可能なもの｝
B68C2001/044	｛交換可能な要素によるもの｝
B68C2001/046	｛不連続なプリセット位置によるもの｝
B68C2001/048	｛ねじ手段による連続的なもの｝
B68C1/06	婦人用くら
B68C1/08	空気入りくら敷きをもつもの
B68C1/10	ばねくら敷きをもつもの
B68C1/12	くらのための底部くら敷き；馬のくらの下に敷くくら敷き｛（Ｂ６８Ｃ１／００５が優先）｝
B68C2001/123	｛使い捨てのくら敷き｝
B68C1/126	｛鞍の覆いまたは類似のもの，例．乗り手とくらとの間に置かれるもの｝
B68C1/14	くらのためのベルトまたは帯；それのためのしっかり締めるもの｛（Ｂ６８Ｃ１／００５が優先）｝
B68C2001/142	｛張力装置｝
B68C2001/145	｛くらから独立したもの｝
B68C1/147	｛安全ベルトまたはそれに類似する装置｝
B68C1/16	くらにあぶみを固定するもの；あぶみ革（あぶみＢ６８Ｃ３／００）
B68C1/18	あぶみとくらの間の連結を解くための安全装備をもつもの，例．乗る人の落下の場合における
B68C1/20	くらに取りつけられたまたは取りつけることのできるポケット，入れ物，または他の支持装置，例．腕を挿入するためのもの
B68C3/00	あぶみ
B68C2003/0008	｛回転可能な取付け装置をもつもの｝
B68C3/0016	｛片足あぶみ｝
B68C2003/0025	｛２つの高さをもつもの｝
B68C2003/0033	｛磁石をもつもの｝
B68C2003/0041	｛衝撃吸収装置をもつもの｝
B68C2003/005	｛足を開放する機構｝
B68C2003/0058	｛開くことのできる足の支持具をもつもの｝
B68C2003/0066	｛完全に取外し可能な部品をもつもの｝
B68C2003/0075	｛前部のつま先をもつもの｝
B68C2003/0083	｛滑り止めの足棒をもつもの｝
B68C2003/0091	｛滑り止めの取り外し可能な底をもつもの｝
B68C3/02	あぶみの他の部分に可動に，例．枢軸の働きをするように，取りつけられた側部または底板をもつもの
B68C3/025	｛開くことのできる継ぎ目をもたないもの｝
B68C5/00	動物が働くときの覆い，例．保護するためのもの
B68C2005/005	｛熱からの保護具｝
