C02F1/00	水，廃水または下水の処理（Ｃ０２Ｆ３／００〜Ｃ０２Ｆ９／００が優先）
C02F1/001	｛ろ過技術が重要な，水処理のための工程（Ｃ０２Ｆ１／４４が優先；ろ過の建造一般Ｂ０１Ｄ２４/００〜Ｂ０１Ｄ４１/００）｝
C02F1/002	｛飲料水を得るための小さな携帯可能なろ過器を用いるもの，例．個人旅行用または非常用用具，サバイバルキット，戦闘用用具（Ｃ０２Ｆ１／００３が優先）｝
C02F1/003	｛飲料水を得るための家庭用ろ過器を用いるもの，例．ピッチャー，びん，飲み口が取り付けられた装置（Ｃ０２Ｆ９／００５が優先）｝
C02F1/004	｛大型の工業用サイズのろ過器の使用｝
C02F1/005	｛超自然または神秘主義の原理，宇宙または地球放射熱，土占いまたは棒占いに基づくシステムまたは方法｝
C02F1/006	｛処理槽内にあるまたはいくつかの処理槽に水を向かわせる水分配器；化学的または生物学的槽を備えたまたは備えない，これらの分配器を持った水処理プラント（沈降槽Ｂ０１Ｄ２１／２４）｝
C02F2001/007	｛沈降段階を含む工程｝
C02F1/008	｛サブクラスＣ０２Ｆの他の箇所に分類されていない制御または操作システム｝
C02F1/02	加熱によるもの（水蒸気の発生方法Ｆ２２Ｂ；ボイラ供給水の予熱または予熱されたボイラ供給水の貯留Ｆ２２Ｄ）
C02F1/025	｛熱加水分解｝
C02F1/04	蒸留または蒸発によるもの
C02F1/041	｛蒸気圧縮法によるもの｝
C02F1/042	｛沈積防止｝
C02F1/043	｛細部｝
C02F1/045	｛超純水の製造のためのもの｝
C02F1/046	｛気圧柱により生ずる真空下で｝
C02F1/047	｛空気エネルギーを用いるもの｝
C02F1/048	｛蒸発による廃水の浄化｝
C02F1/06	フラッシュ蒸発
C02F1/08	薄膜蒸発
C02F1/10	熱伝導媒体としての固体粒状物または流体との直接接触によるもの
C02F1/12	噴霧蒸発
C02F1/14	太陽エネルギーを用いるもの
C02F1/16	他の工程からの廃熱を用いるもの
C02F1/18	飲料水をうるための移動可能な装置
C02F1/20	脱気によるもの，すなわち，溶存ガスの放出（液体の脱気一般Ｂ０１Ｄ１９／００；ボイラ供給水用脱気装置の配置Ｆ２２Ｄ）
C02F1/22	凍結によるもの
C02F1/24	浮遊分離によるもの（Ｃ０２Ｆ１／４６５が優先）
C02F1/26	抽出によるもの
C02F1/265	｛淡水化｝
C02F1/28	収着によるもの（イオン交換を用いるものＣ０２Ｆ１／４２；収着剤組成物Ｂ０１Ｊ）
C02F1/281	｛無機収着剤を用いるもの｝
C02F1/283	｛石炭，炭化生成物またはそれらを含有する無機混合物を用いるもの｝
C02F1/285	｛合成有機収着剤を用いるもの｝
C02F1/286	｛天然有機収着剤またはそれらの誘導体を用いるもの｝
C02F1/288	｛収着剤複合物，例．被覆されたもの，含浸されたもの，積層されたもの，を用いるもの｝
C02F1/30	照射によるもの
C02F1/302	｛マイクロ波によるもの｝
C02F1/305	｛電子によるもの｝
C02F1/307	｛エックス線またはガンマ線の放射を伴うもの｝<br><br><u>警告</u><br><br>再分類が完了するまで完了しない，Ｃ０２Ｆ１／３０も参照
C02F1/32	紫外線によるもの
C02F1/325	｛照射装置またはランプの構造｝
C02F1/34	機械的振動によるもの
C02F1/36	超音波振動
C02F1/38	遠心分離によるもの
C02F1/385	｛懸濁物の遠心分離によるもの（遠心分離機Ｂ０４Ｂ）｝
C02F1/40	脂肪，油状物質または同様な浮遊物質の分離または除去装置（開放水面の油またはその類似物の清掃または清潔の維持Ｅ０２Ｂ１５／０４；下水から液体または固体を分離するための下水用装置Ｅ０３Ｆ５／１４，例．下水へ導く排水管内で使用するものＥ０３Ｆ５／１６）
C02F1/42	イオン交換によるもの（イオン交換一般Ｂ０１Ｊ）<br><br><u>注</u><br><br>グループＣ０２Ｆ１／４２に分類する際，イオン交換器の細部は，Ｃ０２Ｆ２００１／４２２〜Ｃ０２Ｆ２００１／４２７から選ばれるＩＣＯインデキシングコードを用いてさらに分類することができる
C02F2001/422	陰イオン交換体を用いるもの
C02F2001/425	陽イオン交換体を用いるもの
C02F2001/427	混合床を用いるもの
C02F1/44	透析，浸透または逆浸透によるもの　｛（膜分離一般Ｂ０１Ｄ６１／００，膜モジュールＢ０１Ｄ６３／００，電気透析Ｃ０２Ｆ１／４６９３，膜モジュールとバイオリアクターの組み合わせＣ０２Ｆ３／１２６８）｝
C02F1/441	｛逆浸透によるもの｝
C02F1/442	
C02F1/444	｛限外ろ過または精密ろ過によるもの｝
C02F1/445	｛正浸透によるもの｝
C02F1/447	｛膜蒸留によるもの（膜を使用しない蒸溜および蒸発Ｃ０２Ｆ１／０４）｝
C02F1/448	｛パーベーパレーションによるもの｝
C02F1/46	電気化学的方法によるもの
C02F1/4602	｛沈殿の予防または除去のためのもの｝
C02F1/4604	｛海水または汽水の脱塩｝
C02F1/4606	｛水を消毒するオリゴダイナミック物質の生成のためのもの｝
C02F1/4608	｛放電の使用｝
C02F1/461	電気分解によるもの
C02F1/46104	｛そのための装置；その運転と保守｝
C02F1/46109	｛電極｝<br><br><u>注</u><br><br>グループＣ０２Ｆ１／４６１０９に分類する際，電解装置の細部は，Ｃ０２Ｆ２００１／４６１１９〜Ｃ０２Ｆ２００１／４６１６６から選ばれるインデキシングコードを用いてさらに分類することができる
C02F1/46114	｛粒子型電極またはそれらの間に導電性および／または非導電性の粒子を持つ電極｝
C02F2001/46119	電極の清掃
C02F2001/46123	移動可能な電極
C02F2001/46128	バイポーラ電極
C02F2001/46133	材料に特徴があるもの
C02F2001/46138	基板と被覆を含む電極
C02F2001/46142	触媒被覆
C02F2001/46147	ダイヤモンド被覆
