C07B31/00	還元一般
C07B33/00	酸化一般
C07B35/00	異種原子含有官能基の形成または導入を伴わない反応であって，既に直接結合している２個の炭素原子間の結合の型の変化を含むもの
C07B35/02	還元
C07B35/04	脱水素
C07B35/06	分解，例，ハロゲン，水またはハロゲン化水素の脱離
C07B35/08	異性化
C07B37/00	異種原子を含有する官能基の形成または導入を伴わない反応であって，直接結合していない２個の炭素原子間の炭素―炭素結合の形成または直接結合している２個の炭素原子の結合の切断を含むもの
C07B37/02	付加
C07B37/04	置換
C07B37/06	分解，例．二酸化炭素の脱離
C07B37/08	異性化
C07B37/10	環化
C07B37/12	ディールス・アルダー反応
C07B39/00	ハロゲン化
C07B41/00	酸素含有官能基の形成または導入
C07B41/02	水酸基またはＯ―金属基の
C07B41/04	エーテル基，アセタール基またはケタール基の
C07B41/06	カルボニル基の
C07B41/08	カルボキシル基，またはそれらの塩，ハロゲン化物もしくは無水物の
C07B41/10	カルボキシル基の塩，ハロゲン化物または無水物
C07B41/12	カルボン酸エステル基の
C07B41/14	ペルオキシ基またはヒドロペルオキシ基の
C07B43/00	窒素含有官能基の形成または導入
C07B43/02	ニトロ基またはニトロソ基の
C07B43/04	アミノ基の
C07B43/06	アミド基の
C07B43/08	シアノ基の
C07B43/10	イソシアネート基の
C07B45/00	いおう含有官能基の形成または導入
C07B45/02	スルホ基またはスルホニルジオキシ基の
C07B45/04	スルホニル基またはスルフィニル基の
C07B45/06	メルカプト基またはスルフィド基の
C07B47/00	グループＣ０７Ｂ３９／００からＣ０７Ｂ４５／００に分類されない官能基の形成または導入
C07B49/00	グリニヤール反応
C07B51/00	保護基または活性基の導入であって，上記のいずれのグループにも分類されないもの
C07B53/00	不整合成
C07B55/00	ラセミ化；完全反転または部分反転
C07B57/00	光学活性化合物の分離
C07B59/00	有機化合物中への同位元素の導入；　｛ラベルされた有機化合物そのもの｝
C07B59/001	｛非環式または炭素環式化合物｝
C07B59/002	｛複素環式化合物｝
C07B59/004	｛炭素，水素，ハロゲン，酸素，窒素，硫黄，セレンまたはテルル以外の元素を含有する，非環式，炭素環式または複素環式化合物｝
C07B59/005	｛糖類；その誘導体；ヌクレオシド；ヌクレオチド；核酸｝
C07B59/007	｛ステロイド｝
C07B59/008	｛ペプチド；たんぱく質｝
C07B61/00	他の一般的方法
C07B61/02	有機遊離基の生成　｛有機遊離基そのもの｝
C07B63/00	精製；分離（光学活性化合物の分離Ｃ０７Ｂ５７／００）；安定化；添加剤の使用
C07B63/02	化学的変化をひきおこす処理によるもの
C07B63/04	添加剤の使用　｛（抗酸化剤組成物または化学変化禁止組成物一般Ｃ０９Ｋ１５／００）｝
C07B2200/00	
C07B2200/01	
C07B2200/03	
C07B2200/05	
C07B2200/07	
C07B2200/09	
C07B2200/11	
C07B2200/13	
