C07C1/00	いずれも炭化水素でない１個またはそれ以上の化合物からの炭化水素の製造
C07C1/02	炭素の酸化物から（不明確な組成の液体炭化水素混合の製造Ｃ１０Ｇ２／００；合成天然ガスの製造Ｃ１０Ｌ３／０６）
C07C1/04	一酸化炭素と水素とから
C07C1/0405	｛装置｝
C07C1/041	｛反応器｝
C07C1/0415	｛移動する触媒によるもの｝
C07C1/042	｛温度管理装置；熱交換器｝
C07C1/0425	[Ｎ触媒；その物理的性質｝
C07C1/043	｛組成に特徴があるもの｝
C07C1/0435	｛８族金属またはその化合物を含有するもの｝
C07C1/044	｛鉄を含有するもの｝
C07C1/0445	[Ｎ調製；活性化｝
C07C1/045	｛再生｝
C07C1/0455	｛反応条件｝
C07C1/046	｛パラメータの数値（Ｃ０７Ｃ１／０４の他のサブグループが使われない場合にのみ使用される）｝
C07C1/0465	｛流動化に関するもの｝
C07C1/047	｛工程の間で一つ以上のパラメータが変更されるもの；工程の始動｝
C07C1/0475	｛調整｝
C07C1/048	｛温度管理手段｝
C07C1/0485	｛反応器および付属機器のセットアップ；多段階工程｝
C07C1/049	｛触媒の反応と再生のカップリング｝
C07C1/0495	｛非接触的プロセス；他の活性化の方法のある接触的プロセス，例．照射，がある接触工程｝
C07C1/06	有機化合物，例．炭化水素，の存在下　｛（前反応域の反応生成物の少なくとも一部分を次の反応域に供給する多段階工程Ｃ０７Ｃ１／０４８５）｝
C07C1/063	｛有機化合物が触媒または触媒系の一部であるもの｝
C07C1/066	｛触媒の溶解，懸濁または輸送に用いられるもの｝
C07C1/08	イソ合成
C07C1/10	一酸化炭素と水蒸気とから
C07C1/12	二酸化炭素と水素とから
C07C1/20	異種原子として酸素原子のみを含有する有機化合物を原料とするもの
C07C1/207	カルボニル化合物から
C07C1/2072	｛縮合によるもの　（Ｃ０７Ｃ２／８６　が優先）｝
C07C1/2074	｛ひとつの化合物のみの｝
C07C1/2076	｛少なくとも一部分【式】が脱離された変化によるもの｝
C07C1/2078	｛少なくとも一部分【式】が脱離された変化によるもの｝
C07C1/213	エステルの開裂によるもの
C07C1/22	還元によるもの
C07C1/24	水の脱離によるもの
C07C1/247	環状エーテルの開裂によるもの
C07C1/26	異種原子としてハロゲン原子のみを含有する有機化合物を原料とするもの
C07C1/28	閉環によるもの
C07C1/30	１つの分子からハロゲン化水素の脱離によるもの
C07C1/32	酸素またはハロゲン以外の異種原子を含有する化合物またはそれら異種原子を酸素またはハロゲンとともに含有する化合物を原料とするもの
C07C1/321	｛異種原子が非金属原子であるもの｝
C07C1/322	｛異種原子が硫黄原子であるもの｝
C07C1/323	｛異種原子が窒素原子であるもの｝
C07C1/324	｛異種原子がりん原子であるもの（Ｃ０７Ｃ１／３４が優先）｝
C07C1/325	｛異種原子が金属原子であるもの｝
C07C1/326	｛異種原子がマグネシウム原子であるもの｝
C07C1/327	｛異種原子がアルミニウム原子であるもの（Ｃ０７Ｃ２／８８が優先）｝
C07C1/328	｛異種原子がアルカリ金属原子であるもの｝
C07C1/34	ホスフィンとアルデヒドまたはケトンとの反応，例．ウィッティッヒ反応
C07C1/36	エステルの開裂によるもの（Ｃ０７Ｃ１／２１３，Ｃ０７Ｃ１／３０が優先）
C07C2/00	少ない数の炭素原子を含有する炭化水素からの炭化水素の製造（開裂を伴なう再分配反応Ｃ０７Ｃ６／００）
C07C2/02	不飽和炭化水素相互の付加によるもの
C07C2/04	組成が明確な不飽和炭化水素のオリゴマー化で環化の生起しないもの
C07C2/06	アルケンの，例．１個の炭素―炭素二重結合を有する非環式炭化水素
C07C2/08	接触的プロセス
C07C2/10	金属酸化物を用いるもの
C07C2/12	結晶性アルミノけい酸塩を用いるもの　｛または分子ふるいからなる触媒｝分子ふるい
C07C2/14	無機酸を用いるもの；酸の塩または無水物を用いるもの
C07C2/16	硫黄の酸；それらの塩；硫黄酸化物
C07C2/18	リンの酸；それらの塩；リン酸化物
C07C2/20	ハロゲンの酸；それらの塩　｛有機化合物との錯体｝
C07C2/22	金属ハライド；それらの有機化合物との錯体
C07C2/24	金属を用いるもの
C07C2/26	水素化物または有機化合物を用いるもの（Ｃ０７Ｃ２／２０が優先）
C07C2/28	イオン交換樹脂を用いるもの
C07C2/30	金属―炭素結合を含有するもの；金属水素化物
C07C2/32	錯体，例．アセチルアセトネート　｛ハロゲンの酸の塩の錯体Ｃ０７Ｃ２／２０｝
C07C2/34	金属―炭化水素錯体
C07C2/36	ホスフィン，アルシン，スチビン，ビスマシン
C07C2/38	ジエンまたはアルキンの
C07C2/40	共役ジエンの
C07C2/403	｛接触的プロセス｝
C07C2/406	｛水素化物または有機化合物によるもの｝
C07C2/42	ディールス・アルダー反応以外の環化を伴なうホモまたはコオリゴマー化
C07C2/44	共役ジエンのみの
C07C2/46	接触的プロセス
C07C2/465	｛水素化物または有機化合物によるもの｝
C07C2/48	炭素―炭素三重結合を含有する炭化水素のみの
C07C2/50	ディールス・アルダー反応
C07C2/52	接触的プロセス
C07C2/54	不飽和炭化水素の飽和炭化水素への付加または芳香環以外に不飽和結合をもたない６員芳香環を含有する炭化水素への付加によるもの
C07C2/56	非環式炭化水素への付加
C07C2/58	接触的プロセス
C07C2/60	ハライドを用いるもの
C07C2/62	酸を用いるもの
C07C2/64	６員芳香環の炭素原子への付加
C07C2/66	接触的プロセス
C07C2/68	ハライドを用いるもの
C07C2/70	酸を用いるもの
C07C2/72	６員芳香環を含有する炭化水素中の非芳香族炭素原子への付加
C07C2/74	水添を同時に伴なう付加によるもの
C07C2/76	部分的な水素の脱離を伴なう炭化水素の縮合によるもの
C07C2/78	部分燃焼によるプロセス
C07C2/80	電気的手段によるプロセス
C07C2/82	酸化カップリング
C07C2/84	接触的
C07C2/86	炭化水素と非炭化水素相互の縮合によるもの
C07C2/861	｛異種原子としてハロゲンのみを含有する非炭化水素｝
C07C2/862	｛異種原子として酸素のみを含有する非炭化水素｝
C07C2/864	｛非炭化水素がアルコールであるもの｝
C07C2/865	｛非炭化水素がエーテルであるもの｝
C07C2/867	｛非炭化水素がアルデヒドまたはケトンであるもの｝
C07C2/868	｛異種原子として硫黄を含有する非炭化水素｝
C07C2/88	成長反応および脱離反応（有機金属化合物の製造Ｃ０７Ｆ）｝
C07C4/00	多い数の炭素原子を含有する炭化水素からの炭化水素の製造（開裂を伴なう再分配反応Ｃ０７Ｃ６／００；炭化水素油の分解Ｃ１０Ｇ）
C07C4/02	単一の炭化水素または個々に成分の明らかな炭化水素混合物または通常ガス状の炭化水素留分の分解によるもの
C07C4/025	｛酸化分解，自動熱分解または部分燃焼による分解｝
