C08J3/00	高分子物質の処理方法または混合方法
C08J3/005	｛ポリマーの混合プロセス｝
C08J3/02	溶液，乳化または懸濁重合技術以外の方法による溶液，分散液またはラテックスの製造
C08J3/03	水溶性媒体中のもの
C08J3/05	固体ポリマーからのもの
C08J3/07	ポリマー溶液からのもの
C08J3/075	高分子ゲル
C08J3/09	有機液体中のもの
C08J3/091	｛有機液体の化学的組成に特徴があるもの｝
C08J3/092	｛炭化水素｝
C08J3/093	｛ハロゲン化炭化水素｝
C08J3/095	｛酸素含有化合物｝
C08J3/096	｛窒素含有化合物｝
C08J3/097	｛硫黄含有化合物｝
C08J3/098	｛他の化合物｝
C08J3/11	固体ポリマーからのもの
C08J3/12	粉末化または粒状化｛（有効成分からなる製剤，例．カプセル形状の医薬製剤Ａ６１Ｋ９／５１；粒体の製造Ｂ２９Ｂ９／００）｝
C08J3/122	｛スプレーによる粉化｝　
C08J3/124	｛自由流動特性を改善するための処理（塊状剤；顆粒剤またはマイクロビーズレットＡ６１Ｋ９／１６；物質の造粒プロセスまたは装置，例．非粘着性のもの，Ｂ０１Ｊ２／３０；粒子の補助処理Ｂ２９Ｂ９／１６）｝
C08J3/126	｛｛ポリマーによりコーティングされたポリマー粒子，例．コアシェル構造（材料を粒状化するプロセスまたは装置,例．コーティングＢ０１Ｊ２／００３）｝｝
C08J3/128	｛無機および有機化合物によりコーティングされたポリマー粒子（高分子Ｃ０８Ｊ３／１２６）｝
C08J3/14	溶液からの沈殿によるもの　｛（Ｃ０８Ｊ３／１２２　が優先）｝　
C08J3/16	分散液の凝集によるもの　｛（Ｃ０８Ｊ３／１２２　が優先；ポリマー乳化処理，例．凝固Ｃ０８Ｆ６／２２）｝
C08J3/18	高分子化合物の可塑化（可塑剤Ｃ０８Ｋ）
C08J3/20	重合体と添加剤との混合，例．着色
C08J3/201	｛前溶融ポリマー｝
C08J3/203	｛固体および／または液体添加剤を有する固体ポリマー｝
C08J3/205	｛連続｝液相で存在中のもの
C08J3/2053	｛添加剤のみが液相で前混合されるもの
C08J3/2056	｛ポリマーが前溶融されるもの｝
C08J3/21	ポリマーが液相で前混合されるもの
C08J3/212	｛さらに固体添加剤も前混合されるもの｝
C08J3/215	また少くとも１個の添加剤が液相で前混合されるもの
C08J3/22	マスターバッチを使用するもの
C08J3/223	｛包まれた添加剤｝
C08J3/226	｛担体としてポリマーを使うもの｝
C08J3/24	高分子物質の架橋，例．加硫，（機械的特色Ｂ２９Ｃ３５／００；架橋剤Ｃ０８Ｋ　｛Ｃ０８Ｇ，　Ｃ０８Ｆ，　Ｃ０８Ｋに分類されない架橋の特色；　混合　Ｃ０８Ｊ３／２０｝）
C08J3/241	｛成分を物理的に分離することによる早期の架橋の防止，例．　カプセル化　（他の配合成分の　Ｃ０８Ｋ９／００）｝
C08J3/242	｛充填剤や強化剤のような配合成分に架橋剤または促進剤を適用するもの｝
C08J3/243	｛１種以上のポリマーに対する２以上の別のタイプの架橋｝
C08J3/244	｛１種の架橋系による１種のポリマーの段階的均質架橋，例．部分硬化｝
C08J3/245	｛１種の架橋系による１種のポリマーの差別的な架橋，例．表面架橋｝
C08J3/246	｛少なくとも２種のポリマーの交差架橋｝
C08J3/247	｛加熱方法｝
C08J3/248	｛架橋反応の測定｝
C08J3/26	ラテックスの架橋
C08J3/28	波動エネルギーまたは粒子線による処理
C08J5/00	高分子物質を含む成形品の製造（食品の成形Ａ２３Ｐ；半透膜の製造Ｂ０１Ｄ６７／００からＢ０１Ｄ７１／００；機械的特徴は，関係する分類を参照，例．Ｂ２９）
C08J5/005	｛ナノサイズの材料，例．ナノ粒子，ナノ繊維，ナノチューブ，ナノワイヤー，ナノロッドまたはナノレイヤー材料，で強化された高分子化合物（形状に特徴がある成分の使用Ｃ０８Ｋ７／００；材料または表面科学のためのナノテクノロジーＢ８２Ｙ３０／００）｝
C08J5/02	分散液，例．ラテックス，から直接に成形品を製造する方法
C08J5/04	解繊されたまたは凝集した繊維状物質による高分子化合物の補強（糸の製造における後処理Ｄ０１Ｆ；　｛織物の仕上げ　Ｄ０６Ｍ｝）
C08J5/0405	
C08J5/041	｛鋼繊維によるもの｝
C08J5/042	｛炭素繊維によるもの｝
C08J5/043	｛ガラス繊維によるもの｝
C08J5/045	｛野菜または動物の繊維状材料によるもの｝
C08J5/046	｛合成高分子繊維材料によるもの｝<br><br><u>注</u><br><br>サブクラスＣ０８Ｊタイトルに続く注２が適用されうる。 
C08J5/047	｛繊維状材料の混合によるもの｝
C08J5/048	｛繊維状形態でも補強されるべき高分子化合物｝
C08J5/06	前処理した繊維状材料を使用するもの
C08J5/08	ガラス繊維
C08J5/10	ポリマー混合物で使用される添加剤に特徴のあるもの
C08J5/12	前もって形成された高分子物質と同種または金属，ガラス，皮革などの他の固体物との接着，例．接着剤によるもの｛（機械的特色　Ｂ２９Ｃ６５／００）｝
C08J5/121	｛加熱によるもの｝
C08J5/122	｛低分子の化学的に不活性な溶媒，膨潤剤または柔軟剤を使用するもの｝
C08J5/124	｛高分子成分をベースにした接着剤を使用するもの（接着組成物それ自体　Ｃ０９Ｊ４／００，Ｃ０９Ｊ１０１／００〜Ｃ０９Ｊ２０１／００）｝
C08J5/125	｛有機希釈剤中の接着剤｝
C08J5/127	｛水溶性接着剤｝
C08J5/128	｛希釈剤のない接着剤｝
C08J5/18	フイルムまたはシートの製造｛（フィルムまたはシートの製造Ｂ２９Ｄ７／０１；被包材または可撓性カバー，特殊な種別または形態の包装材Ｂ６５Ｄ６５／００〜Ｂ６５Ｄ６５／４６６；材料の選択に特徴がある伸張による形成Ｂ２９Ｃ５５／００５；合成樹脂を主成分とする層状製品Ｂ３２Ｂ２７／００〜Ｂ３２Ｂ２７／４２）｝
C08J5/20	イオン交換樹脂の成形体の製造｛陰イオン交換体としての高分子化合物の使用Ｂ０１Ｊ４１／１４または陽イオン交換体としての高分子化合物の使用Ｂ０１Ｊ３９／２０｝
C08J5/22	フイルム，膜または隔膜　｛（イオン交換一般，Ｂ０１Ｊ３９／１８〜Ｂ０１Ｊ３９／２２，Ｂ０１Ｊ４１／１２〜Ｂ０１Ｊ４１／１６，Ｂ０１Ｊ４３／００，Ｂ０１Ｊ４５／００，Ｂ０１Ｊ４７／１２〜Ｂ０１Ｊ４９／００；ポリマー電解物を有する燃料電池Ｈ０１Ｍ８／１０１８）｝<br><br><u>注</u><br><br>少なくともイオン交換部分が無機であるところの膜，すなわち，非ポリマーイオン交換化合物の混合，例．無機塩，および少なくとも１のポリマーがＣ０８Ｊ５／２２に分類される；セルロースに基づく膜はＣ０８Ｊ５／２２１２に分類される。<br>補強支持体または充填体を組み入れる方法はＣ０８Ｊ５／２２０６に分類される。（支持体または充填体はイオン交換活動を有していない）。<br>基，例．ＳＯ２Ｆ，はイオン交換特性を有していないが，アルカリ性，中性または酸性の媒体での単純な加水分解により，イオン交換基，例．ＳＯ２Ｈ，に変換されうるが，そのようなものとして考えられる。<br>イオン交換繊維織物が不均質膜として考えられＣ０８Ｊ５／２２７５に分類される；それらは複合膜，２以上の（イオン交換）ポリマーの混合物を包含する。<br>均質な溶解または溶液から得る膜は均質と考えられ，たとえ膜が（溶解または溶液の固形化後）不均質要素を含有する場合でもそうである，例．充填体，支持体，例．織物の形状または類似の場合，すなわち，イオン交換樹脂が膜を形成する。<br>イオン交換基の性質を変える反応，イオン交換基の移入，後処理（膜がすでに形成された）は，Ｃ０８Ｊ５／２２８７に分類される。<br>四級化反応は後処理としては考えられない。
C08J5/2206	｛有機および／または無機高分子化合物に基づくもの｝
C08J5/2212	｛天然高分子化合物｝
C08J5/2218	｛合成高分子化合物｝
C08J5/2225	｛フッ素を含有するもの｝
C08J5/2231	｛不飽和炭素ー炭素結合が関与する反応により得られた高分子化合物に基づくもの｝
C08J5/2237	｛フッ素を含有するもの｝
C08J5/2243	｛Ｃ０８Ｊ５／２２３１のタイプの化合物にイオン交換能を持つ活性基を移入することにより得られたもの　｝
C08J5/225	｛フッ素を含有するもの｝
C08J5/2256	｛炭素ー炭素結合が関与する反応以外の反応，例．重縮合により得られたもの，により得られた高分子化合物に基づくもの｝
C08J5/2262	｛フッ素を含有するもの｝
C08J5/2268	｛不飽和炭素ー炭素結合が関与する反応およびこのタイプの結合が関与しない反応によって得られた高分子化合物に基づくもの｝
C08J5/2275	｛不均質膜｝
C08J5/2281	｛フッ素含有不均質膜｝
C08J5/2287	｛後処理｝
C08J5/2293	｛フッ素含有膜の後処理｝
C08J5/24	その場で重合しうるプレポリマーによる物質の含浸，例．プレプレグの製造
C08J5/241	
C08J5/242	
C08J5/243	
C08J5/244	
C08J5/245	
C08J5/246	
C08J5/247	
C08J5/248	
