C09F1/00	天然樹脂，例．オレオ・レジン，の採取，精製または化学的変性
C09F1/02	精製
C09F1/04	化学的変性，例．エステル化（樹脂石けんＣ１１Ｄ）
C09F3/00	テレビン油精の採取
C09F3/02	パルプ化工程における副生成物としてのもの
C09F5/00	乾性油の採取（重合による合成油の製造Ｃ０８Ｆ，Ｃ０８Ｇ）
C09F5/02	天然資源からのもの
C09F5/04	カシュナッツからのもの
C09F5/06	水酸化脂肪酸または脂肪油の脱水によるもの
C09F5/08	脂肪酸のエステル化によるもの
C09F5/10	精製
C09F5/12	蒸留によるもの
C09F7/00	乾性油の化学的変性（共重合による変性Ｃ０８Ｆ；重縮合による変性Ｃ０８Ｇ；ファクチスＣ０８Ｈ）
C09F7/02	酸化によるもの
C09F7/04	ボルトール油化（ボルトライジング）によるもの
C09F7/06	重合によるもの
C09F7/08	異性化によるもの
C09F7/10	再エステル化によるもの
C09F7/12	そのための装置
C09F9/00	ドライヤー，すなわち乾燥剤としての化合物
C09F11/00	フレンチポリッシュの製造
