C12C1/00	麦芽の調製
C12C1/02	穀粒の前処理，例．洗浄，浸漬
C12C1/027	発芽
C12C1/0275	｛単一床または多段床におけるもの｝
C12C1/033	ボックスまたはドラムにおける
C12C1/047	化学的または物理的手段により発芽に影響を与えるもの
C12C1/053	放射または電気的処理によるもの　｛または波動エネルギー処理｝
C12C1/067	乾燥
C12C1/073	エネルギーの節約または回復に特に適合する方法または装置
C12C1/10	固定式支持台における乾燥
C12C1/12	移動式支持台における乾燥
C12C1/125	浸潤，発芽または乾燥のための継続的または準継続的方法
C12C1/13	穀粒の垂直移送をするもの
C12C1/135	穀粒の水平移送をするもの
C12C1/15	穀粒または麦芽の形成装置，供給装置または放出装置
C12C1/16	麦芽の後処理，例．麦芽の精選，除根
C12C1/18	麦芽エキスまたは特殊麦芽，例．カラメル，ブラック麦芽，の調製（食品として使用するための麦芽製品Ａ２３Ｌ）
C12C3/00	ホップの処理
C12C3/02	乾燥
C12C3/04	保存；貯蔵；包装
C12C3/06	ホップからの粉末またはペレット
C12C3/08	ホップから溶剤抽出
C12C3/085	｛ビール麦汁によるホップの抽出｝
C12C3/10	炭酸ガスを用いるもの
C12C3/12	ホップからの異性化生成物
C12C5/00	ビール製造用の他の原材料
C12C5/002	｛醸造水｝
C12C5/004	｛酵素｝
C12C5/006	｛βーグルカナーゼまたは機能上同等な酵素｝
C12C5/008	｛ホップ代用物｝
C12C5/02	ビール用添加物
C12C5/023	｛ビタミン含有量を高めるもの｝
C12C5/026	｛ビール加香調整物｝
C12C5/04	着色添加物
C12C7/00	麦汁の調製（麦芽エキスＣ１２Ｃ１／１８）
C12C7/01	麦芽の前処理，例．麦芽製粉
C12C7/04	仕込糖化液の調整または処理
C12C7/042	｛麦芽と水との混合｝
C12C7/044	｛仕込糖化液の冷却（Ｃ１２Ｃ７／０６７が優先）｝
C12C7/047	仕込糖化液の一部分が麦芽でない穀物の仕込糖化液であるもの
C12C7/053	仕込糖化液の一部分が穀物材料でないもの
C12C7/06	仕込糖化液製造装置
C12C7/062	｛水平攪拌器シャフトを有するもの｝
C12C7/065	｛垂直攪拌器シャフトを有するもの｝
C12C7/067	｛冷却手段を有するもの｝
C12C7/14	麦汁の清澄化（Ｌａｕｔｅｒｕｎｇ）
C12C7/16	ろ過によるもの
C12C7/161	｛穴あき上げ底を有する桶におけるもの｝
C12C7/163	｛ろ過表面によりまたろ過表面に関連する仕込糖化液の輸送を伴なうもの｝
C12C7/165	仕込糖化液ろ過における
C12C7/17	麦芽汁ろ過機における，　｛例．穴あき上げ底を有する桶におけるもの｝
C12C7/175	遠心分離によるもの
C12C7/20	ビール麦汁の煮沸（醸造がまＣ１２Ｃ１３／０２）
C12C7/205	｛ホップを用いる煮沸｝
C12C7/22	エネルギーの節約または回復に特に適合する方法または装置
C12C7/24	ホップ煮沸と冷却の間のビール麦汁の清澄化
C12C7/26	ビール麦汁の冷却；冷却中または冷却後のビール麦汁の清澄化
C12C7/28	後処理，　｛例．殺菌（Ｃ１２Ｃ１１／００が優先）｝
C12C7/282	｛ビール麦汁の濃縮｝
C12C7/285	｛ビール麦汁の乾燥｝
C12C7/287	｛ホップエキスを用いるビール麦汁の処理（Ｃ１２Ｃ７／２０５が優先）｝
C12C9/00	ビール麦汁の製造に特に適した方法<br><br><u>｛注</u><br><br>　２００３年８月１日以降，ＩＰＣ５に基づくグループＣ１２Ｃ９／００からＣ１２Ｃ９／０２５は新しい文献の分類に使用されない。以前にこれらのグループに分類された特許文献は対応するグループＣ１２Ｃ３／００からＣ１２Ｃ７／００へ再分類中である。｝
C12C9/02	｛ＩＰＣ　５｝ビール麦汁の処理；ホップを用いる煮沸:ホップ抽出
C12C9/025	｛ホップエキスの製造（ビール麦汁を用いての抽出Ｃ１２Ｃ９／０２）；該エキスの異性化；該エキスを用いてのビール麦汁の処理；ホップの代用品｝
C12C11/00	ビール発酵方法（ワインの製造Ｃ１２Ｇ１／００）
C12C11/003	｛ビール麦汁の発酵｝
C12C11/006	｛そのための発酵タンク｝
C12C11/02	酵母添加
C12C11/06	麦汁の酸性化
C12C11/07	継続的発酵
C12C11/075	｛継続的発酵のためのバイオリアクター｝
C12C11/09	固定酵母による発酵
C12C11/11	発酵後処理，例．炭酸化作用，濃縮（Ｃ１２Ｈが優先）
C12C12/00	特別の種類のビールの製造に特に適した方法
C12C12/002	｛特別な微生物を使うもの｝
C12C12/004	｛遺伝子組み換え微生物｝
C12C12/006	｛酵母（播種方法Ｃ１２Ｃ１１／０２）｝
C12C12/008	｛乳酸菌｝
C12C12/02	低カロリーのビール（Ｃ１２Ｃ１２／０４が優先）
C12C12/04	低アルコールのビール　｛（発酵後のアルコール除去Ｃ１２Ｇ３／０８）
C12C13/00	Ｃ１２Ｃ１／００からＣ１２Ｃ１２／０４の単一グループに包含されないビール醸造装置
C12C13/02	醸造がま　｛（Ｃ１２Ｃ１１／０７５　が優先）｝　
C12C13/025	｛蒸気で加熱されるもの｝
C12C13/06	火で加熱されるもの
C12C13/08	内部に配置した加熱部材を有するもの
C12C13/10	家庭ビール醸造設備
C12C2200/00	特別な特徴
C12C2200/01	大麦やビール醸造用発酵性炭水化物の他の原材料の特定の遺伝子変性物の使用
C12C2200/05	ビール製造における遺伝子的に修正された微生物の使用
C12C2200/31	冷却前，冷却中または冷却後の麦汁の除去
C12C2200/35	濃縮または乾燥された麦汁の溶解，再構成または希釈
