C12G1/00	ぶどう酒または発泡性ぶどう酒の調製
C12G1/005	｛ヴィンテージを載せるまたは降ろす，秤量するまたは試飲する方法または手段；補給；発酵前または後での固形物から液体の分離｝
C12G1/02	ぶどうからぶどう液の調製；ぶどう液の処理及び発酵
C12G1/0203	｛微生物学的または酵素的処理によるもの｝
C12G1/0206	｛家庭ぶどう酒製造容器を使用するもの｝
C12G1/0209	｛水平または回転可能に取り付けられた容器におけるもの（Ｃ１２Ｇ１／０２０６が優先）｝
C12G1/0213	２｛ヴィンテージの熱処理を伴うもの（Ｃ１２Ｇ１／０２０６が優先）｝
C12G1/0216	｛しぼりかす抽出のためぶどう液を再循環させるもの｝
C12G1/04	ぶどう液の亜硫酸処理；脱亜硫酸処理
C12G1/06	発泡性ぶどう酒，例．シャンパン，の調製；炭酸ガスをぶどう酒に充満する処理
C12G1/062	｛びんの攪拌，遠心分離または振動｝
C12G1/064	｛封入された酵母を使用するもの｝
C12G1/08	酵母の除去（ｄｅｇｏｒｇｅａｇｅ）
C12G1/14	
C12G3/00	他のアルコール飲料の調製
C12G3/005	｛固形またはペースト状のアルコール飲料形成用組成物｝
C12G3/02	直接発酵によるもの
C12G3/021	
C12G3/022	
C12G3/023	
C12G3/024	
C12G3/025	｛低アルコール飲料（醗酵液の後処理で製造されたものＣ１２Ｇ３／０８）｝
C12G3/026	
C12G3/04	混合によるもの，例．リキュール
C12G3/05	
C12G3/055	
C12G3/06	香気成分との混合
C12G3/07	
C12G3/08	発酵液の組成を変化させるための他の方法によるもの，例．アルコール含量の減少によるもの
C12G2200/00	
C12G2200/05	
C12G2200/11	
C12G2200/15	
C12G2200/21	
C12G2200/25	
C12G2200/31	
