C14C1/00	なめし前の化学的処理
C14C1/02	原皮のキュアリング
C14C1/04	水漬け
C14C1/06	脱毛の促進処理，例．ペインティングによるもの，石灰漬けによるもの
C14C1/065	｛酵素による脱毛｝
C14C1/08	脱灰；ベーチング；浸酸；脱脂
C14C3/00	なめし；なめし合成品
C14C3/02	化学的なめし
C14C3/04	鉱物なめし
C14C3/06	クロム化合物類を使用するもの
C14C3/08	有機質なめし剤によるもの
C14C3/10	植物タンニンなめし
C14C3/12	精製または変性植物タンニンなめし剤類を使用するもの
C14C3/14	油脂なめし
C14C3/16	脂肪族アルデヒドを使用するもの
C14C3/18	重縮合生成物またはそれらの縮合する以前のものを使用するもの
C14C3/20	スルホン化油処理
C14C3/22	重合生成物を使用するもの
C14C3/24	リグニン誘導体を使用するもの，例．亜硫酸処理廃液
C14C3/26	その他の有機物質を使用するもの，ハロゲンを含むもの
C14C3/28	多段式工程
C14C3/30	化学的手段と物理的手段を組合わせて使用するもの
C14C3/32	なめし革からなめし剤の回収
C14C5/00	なめし革の脱脂
C14C7/00	のり張り工程（化学的な部分）
C14C9/00	保存，防水，耐熱性またはそれに類似した目的のためのなめし革の含浸処理
C14C9/02	油脂類の使用，例．加脂
C14C9/04	なめし革になめし剤固着
C14C11/00	なめし革の表面仕上げ
C14C11/003	｛高分子化合物を用いるもの｝
C14C11/006	｛イソシアネート（またはイソチオシアネート）と活性水素をもつ化合物との重合生成物を用いるもの｝
C14C13/00	特殊なめし革の製造，例．羊皮紙など（セーム皮のなめしＣ１４Ｃ３／１４）
C14C13/02	工芸用なめし革の製造
C14C15/00	原皮またはなめし革の化学的処理用または洗浄用の装置
C14C99/00	このサブクラスの他のグループに分類されない主題事項
