C23D1/00	ほうろうの溶融またはフリッティング；そのための装置または炉
C23D1/02	溶解物の粒状化；粒状物の乾燥
C23D3/00	被覆の前の金属表面の化学処理（金属質物品の洗浄および脱脂Ｃ２３Ｇ）
C23D5/00	溶解した耐火物層の適用を含むほうろう被覆またはガラス質層被覆　｛溶解した耐火物層の適用を含むもの:　現在この分類は使用していない；　Ｃ２３Ｃ４／１０，　Ｃ２３Ｃ２４／１０の文献｝
C23D5/005	｛特別の対象物に特別に適用される方法によるもの｝
C23D5/02	湿式法
C23D5/04	乾式法
C23D5/06	図案または文字の形成
C23D5/08	ほうろうの不均一被覆
C23D5/10	耐火性物質によるもの．<br><br><u>｛注</u><br><br>[Ｃ０４０９｝グループＣ２３Ｄ５／１０は分類には使用されていない。文献は，Ｃ２３Ｃ４／１０およびＣ２３Ｃ２４／１０に継続的に再分類されている。｝
C23D7/00	被覆層の処理，例．焼付け前の乾燥
C23D9/00	ほうろう焼付け用窯
C23D9/02	電熱を用いないマッフル炉
C23D9/04	電熱を用いないトンネル窯
C23D9/06	電気炉
C23D9/08	燃焼棒の支持装置
C23D9/10	負荷または非負荷装置
C23D11/00	連続焼付け法；そのための装置
C23D13/00	ほうろう被覆部品の後処理
C23D13/02	ほうろう被覆部の部分的再溶融による欠陥の除去；形状の調整
C23D15/00	ほうろう被覆段階を含むほうろう被覆部品同志の接合
C23D17/00	ほうろう除去
