D	繊維；紙
D01	天然または人造の糸または繊維；紡績<br>このクラスにおいては，下記の用語は以下に示す意味で用いる:<br>―繊維は比較的短く，細長い天然または人造の物質よりなるものを意味する；<br>―フィラメントはエンドレスまたは準エンドレスで，細長い天然または人造の物質よりなるものを意味する；<br>―糸は繊維の単一の集合体を意味し，通常紡績によって製造される；<br>―より糸は糸またはフィラメントの集合体を意味し，通常加ねんによって製造される。
D01B	繊維またはフィラメントを採取するための天然の繊維状またはフィラメント状材料の機械的処理，例．紡績用（鉱石からの石綿の抽出Ｂ０３Ｂ；浸水装置Ｄ０１Ｃ）<br><br><u>注</u><br><br>クラスＤ０１のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D01C	紡績用繊維またはフィラメントを採取するための天然の繊維状またはフィラメント状材料の化学的または生物学的処理；動物繊維再生のためのボロ毛くずの炭化<br><br><u>注</u><br><br>クラスＤ０１のタイトルに続く注に注意すること。
D01D	人造のフィラメント，より糸，繊維，剛毛あるいはリボンの製造における機械的な方法または装置<br><br><u>注</u><br><br>クラスＤ０１のタイトルに続く注に注意すること。<br>炭素フィラメントの製造に特に適合した装置はグループＤ０１Ｆ９／１２に分類される。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D01F	人造のフィラメント，より糸，繊維，剛毛またはリボンの製造において化学的な特徴をもつもの；炭素フィラメントの製造に特に適合した装置
D01G	繊維の準備処理，例．紡績用（ラップ，ウェブ，スライバまたは粗糸の巻き取りまたは巻き戻し，集束または案内一般，スライバまたは粗糸のケンス，スライバーまたは粗糸のケンスへの貯蔵Ｂ６５Ｈ；製紙用繊維の前処理Ｄ２１）<br><br><u>注</u><br><br>クラスＤ０１のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D01H	紡績またはねん糸（オーカムの加ねんＤ０１Ｇ３５／００；繊維，フィラメント，または糸の捲縮またはカーリングＤ０２Ｇ１／００）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D02	糸；糸またはロープの機械的な仕上げ；整経またはビーム巻き取り<br>このクラスにおいては，下記の用語は以下に示す意味で用いる:<br>―繊維は比較的短く，細長い天然または人造の物質よりなるものを意味する；<br>―フィラメントはエンドレスまたは準エンドレスで，細長い天然または人造の物質よりなるものを意味する；<br>―糸は繊維の単一の集合体を意味し，通常紡績によって製造される；<br>―より糸は糸またはフィラメントの集合体を意味し，通常加ねんによって製造される。
D02G	繊維，フィラメント，より糸または糸の巻縮処理；糸またはより糸<br><br><u>注</u><br><br>クラスＤ０２のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D02H	整経，ビーム巻き取りまたは綾取り<br><br><u>注</u><br><br>クラスＤ０２のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D02J	フィラメント，糸，より糸，ひも，ロープまたはこれらの類似物の仕上げまたは加工（巻縮Ｄ０２Ｇ；液体，気体または蒸気で処理するものＤ０６Ｂ；液体処理以外の整経糸またはシート状糸群の仕上げＤ０６Ｃ；化学的事項についてはＤ０６Ｌ，Ｄ０６Ｍ，Ｄ０６Ｐ，Ｄ０６Ｑを参照；ロープの製造過程の処理，ロープの製造に付随したロープの処理装置Ｄ０７Ｂ）<br><br><u>注</u><br><br>クラスＤ０２のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D03	織成
D03C	開口機構；紋紙または紋織用チェーン；紋紙のせん孔；模様の設計<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
