D03D1/00	特定物品を作るために設計された織物
D03D1/0005	｛シートベルト用織物｝
D03D1/0011	｛ラベル用織物｝
D03D1/0017	｛家庭用織物｝
D03D1/0023	｛モップまたは拭くもの｝
D03D1/0029	｛扉の敷物｝
D03D1/0035	｛保護する織物｝
D03D1/0041	｛切断や摩耗への抵抗｝
D03D1/0043	｛細長いもの、例．袖，のためのもの｝
D03D1/0047	｛偽装する織物｝
D03D1/0052	｛防弾用の織物｝
D03D1/0058	｛電磁放射への耐性｝
D03D1/0064	｛騒音減衰｝
D03D1/007	｛ＵＶ放射からの保護｝
D03D1/0076	｛光電池織物｝
D03D1/0082	｛印刷回路基板用の織物｝
D03D1/0088	｛電子機能をもつ織物｝
D03D1/0094	｛ベルト（Ｄ０３Ｄ１／０００５が優先）｝
D03D1/02	ふくらませられる物
D03D1/04	包または袋のような物
D03D1/06	カーテンのつり下げ用テープ
D03D1/08	ラダーテープ（ベネシャンブラインド用ラダーテープＥ０６Ｂ９／３８２）
D03D3/00	形状に特徴のある織物
D03D3/005	｛他に分類されないテープまたはリボン（Ｄ０３Ｄ１／０００５，Ｄ０３Ｄ１／００１１，Ｄ０３Ｄ１／０６，Ｄ０３Ｄ１／０８，Ｄ０３Ｄ１／００９４が優先）｝
D03D3/02	管状織物
D03D3/04	無端織物
D03D3/06	幅が一定でない織物
D03D3/08	わん曲状，波状または類似織物
D03D5/00	ｨ
D03D7/00	弾性を有するように，すなわち圧縮ひずみから回復するように設計された織物
D03D9/00	すかし織物
D03D11/00	他に分類されない二重または多重織物
D03D11/02	ポケット，筒，輪，折目，タック，または垂れを同時に形成した織物（１本の筒になっている織物Ｄ０３Ｄ３／０２）
D03D13/00	たて糸またはよこ糸の特別な配列に特徴のある織物，例．わん曲したよこ糸をもつもの，途切れたたて糸をもつもの，はす状のたて糸またはよこ糸をもつもの
D03D13/002	｛はす状のたて糸またはよこ糸をもつもの｝
D03D13/004	｛標準的でないまたは特別な効果をもたらす織り模様をもつもの｝
D03D13/006	｛追加的なレノ糸をもつもの｝
D03D13/008	｛織り密度または面重量に特徴のあるもの｝
D03D15/00	用いる繊維，フィラメント，糸，より糸，または他のたて糸あるいはよこ糸要素の材料，構造または特性に特徴のある織物
D03D15/20	糸またはより糸を構成する繊維またはフィラメントの材料に特徴のあるもの
D03D15/208	セルロース系
D03D15/217	植物由来の天然繊維，例．綿
D03D15/225	人工繊維，例．ビスコース
D03D15/233	タンパク質系，例．羊毛または絹
D03D15/235	｛カシミアまたは絹｝
D03D15/242	無機，例．バサルト繊維
D03D15/247	｛鉱物｝
D03D15/25	金属
D03D15/258	貴金属
D03D15/267	ガラス
D03D15/275	炭素繊維
D03D15/283	合成ポリマー系，例．ポリアミド系繊維またはポリエステル繊維（セルロース系人工繊維Ｄ０３Ｄ１５／２２５）
D03D15/292	複合，すなわち二または多成分の，繊維またはフィラメント
D03D15/30	繊維またはフィラメントの構造に特徴があるもの
D03D15/33	極細繊維，例．ミクロ繊維またはナノ繊維
D03D15/37	特殊な断面形状または表面形状を有するもの
D03D15/40	糸またはより糸の構造に特徴があるもの
D03D15/41	撚りに特徴のあるもの
D03D15/43	異なる繊維径を有するもの
D03D15/44	特殊な断面形状または表面形状を有するもの
D03D15/46	平坦な糸，例．テープ，またはフィルム
D03D15/47	マルチコンポーネント糸，例．混紡糸または混紡より糸（多成分の繊維またはフィラメントＤ０３Ｄ１５／２９２）
D03D15/49	テクスチャード（シェニールＤ０３Ｄ２７／１８）；カール；捲縮
D03D15/497	｛編まれたより糸｝
D03D15/50	糸またはより糸の特性に特徴のあるもの
D03D15/507	磁性
D03D15/513	耐熱または耐火
D03D15/52	断熱，例．加温または冷却
D03D15/527	防水または撥水
D03D15/533	静電防止；導電性
D03D15/54	着色したもの
D03D15/547	着色以外の光学的機能，例．光ファイバー
D03D15/553	メタリック感のあるもの（金属Ｄ０３Ｄ１５／２５）
D03D15/56	弾性
D03D15/567	収縮による形、効果
D03D15/573	引張り強さ
D03D15/58	摩擦係数
D03D15/587	接着、融着
D03D15/593	堅い材料、例．茎または小割り板
D03D15/60	糸またはより糸以外のたて糸あるいはよこ糸要素に特徴があるもの
D03D15/62	ひもまたはロープ
D03D15/63	ストラップ，例．皮ひも
D03D15/65	紙
D03D15/67	針金
D03D15/68	仮糸，すなわち織成後に除去される糸を用いるもの
D03D15/69	｛ビーズを有する糸｝
D03D17/00	織り方のために，弾性または伸縮性を有するもの（伸縮性のあるまたは弾性のある糸を用いる織物Ｄ０３Ｄ１５／５６）
D03D19/00	もじりまたはレノ織物
D03D21/00	ラペットまたは縫い取り織物
D03D23/00	特殊な織物の製造または特殊な織機の使用に特定されない織成方法一般；どの単独のグループにも分類されない織り方
D03D25/00	他の方法では提供されない織物
D03D25/005	｛立体的織物｝
D03D27/00	パイル織物
D03D27/02	たて糸またはよこ糸でパイルが作られたもの
D03D27/04	よこパイル織物
D03D27/06	たてパイル織物
D03D27/08	わな織物
D03D27/10	対向して織成された織物，例．二重ビロード
D03D27/12	パイル房が織成過程でそう入されたもの
D03D27/14	たて糸に巻きついた房を有するもの
D03D27/16	よこ糸に巻きついた房を有するもの
D03D27/18	シェニール織物
D03D29/00	手織機
D03D31/00	織物に刺しゅうのような装飾を形成するためのラペット織機，縫い取り織機または他の織機
D03D33/00	複合織機，すなわち機構のいかんにかかわらず２つまたはそれ以上の織機が組み合わされたもの（Ｄ０３Ｄ３５／００が優先）
D03D35/00	細幅織機，すなわちリボンや細幅織物を織る織機（Ｄ０３Ｄ４７／００が優先）
D03D35/005	｛ひ｝
D03D37/00	環状織機（環状または多角形状に配置された別々の布を織る織機Ｄ０３Ｄ３３／００）
D03D39/00	パイル織機
D03D39/02	アキスミンスター織機，すなわち織成過程でパイル房がそう入されるもの
D03D39/04	スプールアキスミニスター織機
D03D39/06	房糸管またはスプール枠
D03D39/08	グリッパーアキスミニスター織機
D03D39/083	｛選択機構｝
D03D39/086	｛グリッパーの細部｝
D03D39/10	ワイヤタペストリ織機，例．ビロードまたはブラッセルもしくはウイルトンカーペットを織成するために，パイルがよこ入れした針金を越えて形成されるもの
D03D39/12	パイルワイヤ作動機構
D03D39/14	パイルワイヤの構造，例．パイル切断ワイヤ
D03D39/16	二重パイル織機，すなわち２枚のパイル布を対向状態で織成するためのもの
D03D39/18	２枚のパイル層の分離，例．切断によるもの
D03D39/20	たてワイヤを越してパイルを形成する織機
D03D39/22	わな織機
D03D39/223	｛布の制御｝
D03D39/226	｛スレーの制御｝
D03D39/24	織機上でパイルを切断する器具（パイル切断ワイヤＤ０３Ｄ３９／１４；２枚のパイル層の分離Ｄ０３Ｄ３９／１８）
D03D41/00	他に分類されない織機，例．シェニール糸を織成するための織機；これらの織機特有の細部
D03D41/001	｛ヘアークロス織機｝
D03D41/002	｛葦，麦わらまたは木を織るための織機｝
D03D41/004	｛立体的織物用の織機｝
D03D41/005	｛直線開口多相織機｝
D03D41/007	｛縦型織機｝
D03D41/008	｛平坦な糸を折るための織機｝
D03D43/00	ひ箱交換装置を有する織機
D03D43/02	上下動式ひ箱を有するもの
D03D43/04	作動機構
D03D43/06	回転式ひ箱を有するもの
