D21F1/00	連続紙抄紙機の湿部
D21F1/0009	｛パルプの濾水度の調整｝
D21F1/0018	｛流体中の繊維の分配装置｝
D21F1/0027	｛スクリーンクロス｝
D21F1/0036	｛多層スクリーンクロス｝
D21F1/0045	｛３層の布帛｝
D21F1/0054	｛それらの継ぎ目｝
D21F1/0063	｛穴開きシート｝
D21F1/0072	｛リンクベルト｝
D21F1/0081	｛一般に平行な渦巻き状に移動する単一無端撚り線を用いるもの｝
D21F1/009	｛繊維再配列装置｝
D21F1/02	長網抄紙機のヘッドボックス
D21F1/022	｛ヘッドボックス内の流れへの射出材料のための手段｝
D21F1/024	｛供給室の細部｝
D21F1/026	｛乱流部の細部｝
D21F1/028	｛ノズル｝
D21F1/04	円網抄紙機のヘッドボックス
D21F1/043	｛浸漬円筒を有するもの｝
D21F1/046	｛非浸漬円筒を有するもの｝
D21F1/06	パルプ流量の調整
D21F1/065	｛衝撃吸収装置｝
D21F1/08	濃度調整
D21F1/10	抄紙網
D21F1/105	｛多層抄紙網｝
D21F1/12	その継ぎ目
D21F1/14	溶接
D21F1/16	縫合
D21F1/18	抄紙網および付属部分のシェーキング装置
D21F1/20	長網抄紙機用
D21F1/22	円網抄紙機用
D21F1/24	抄紙網の傾斜，上昇または下降機構
D21F1/26	長網抄紙機用
D21F1/28	円網抄紙機用
D21F1/30	抄紙網の機械的損傷からの防護
D21F1/32	抄紙網またはフエルトの洗浄
D21F1/325	｛往復装置によるもの｝
D21F1/34	スプレーパイプの構造または配置
D21F1/345	｛スプレーパイプの清掃器｝
D21F1/36	案内機構
D21F1/365	｛スクリーンの側方位置の制御用｝
D21F1/38	パッド
D21F1/40	ロール
D21F1/42	ジェット
D21F1/44	ウオータマーク装置
D21F1/46	ダンディロール
D21F1/48	吸引装置（サクションロールＤ２１Ｆ３／１０）
D21F1/483	｛排水ホイルおよびバー｝
D21F1/486	｛可変なもの｝
D21F1/50	ロールのあるサクションボックス
D21F1/52	ロールのないサクションボックス
D21F1/523	｛そのカバー｝
D21F1/526	｛無端移動ベルトよりなるもの｝
D21F1/54	スキミング装置，例．フロスレッジ
D21F1/56	デッケルフレームの配置
D21F1/58	デッケルストラップ
D21F1/60	円網
D21F1/62	サンドトラップ
D21F1/64	磁気選別機
D21F1/66	紙料回収，脱水または回収；白水の再使用
D21F1/68	流体サイクロンの使用
D21F1/70	浮泡によるもの
D21F1/72	漏斗を用いるもの
D21F1/74	円網をもつもの
D21F1/76	吸引によるもの
D21F1/78	圧縮によるもの
D21F1/80	無端網を用いるもの
D21F1/82	繊維凝集化物を添加するもの
D21F2/00	湿部から圧搾部への連続した紙匹の移乗
D21F3/00	連続紙抄紙機の圧搾部
D21F3/02	ウエットプレス
D21F3/0209	｛拡張プレスニップによるもの｝
D21F3/0218	｛靴のプレス｝
D21F3/0227	｛そのためのベルトまたは筒袖｝
D21F3/0236	｛製造方法｝
D21F3/0245	｛ローラ端部に筒袖を固定するための手段｝
D21F3/0254	｛クラスタープレス，すなわち，少なくとも３つのローラによって画定されるプレス区画を含むプレス｝
D21F3/0263	｛そのための密封手段｝
D21F3/0272	｛吸引または送風装置と組み合わされているもの｝
D21F3/0281	｛乾燥機ロールと組み合わされているもの｝
D21F3/029	｛特殊水受けベルトを用いるもの｝
D21F3/04	その配置
D21F3/045	｛少なくとも一つの拡張プレスニップを含むもの｝
D21F3/06	圧力調整手段
D21F3/08	プレッシャロール
