E01D1/00	橋一般（構造形式に特徴のあるものＥ０１Ｄ４／００〜Ｅ０１Ｄ１５／００）
E01D1/005	｛ボーストリング橋（ボーストリングトラス橋　Ｅ０１Ｄ６／０２）｝
E01D2/00	支持スパン構造の断面に特徴のある橋
E01D2/02	Ｉ型断面形のもの
E01D2/04	箱形断面形のもの
E01D4/00	アーチ橋
E01D6/00	トラス橋
E01D6/02	ボーストリングトラス
E01D11/00	つり橋または斜張橋
E01D11/02	つり橋
E01D11/04	斜張橋
E01D12/00	グループＥ０１Ｄ２／００〜Ｅ０１Ｄ１１／００のうちの単一グループに全体としては包含されない，構造の組合せに特徴のある橋
E01D15/00	可動または可搬橋；浮き橋
E01D15/005	｛可動橋一般（水上輸送手段を通行可能にする可動部分を有する浮き橋　Ｅ０１Ｄ１５／１４５；　ロックゲートＥ０２Ｂ７／２０）；　可動橋に特有な建築部材｝
E01D15/02	垂直昇開橋
E01D15/04	旋開橋
E01D15/06	跳（はね）橋；ローラ跳橋，例．シェルツァ形
E01D15/08	引き上げ跳橋
E01D15/10	走行式橋　｛すなわちローラ橋｝；滑走式橋；回転シリンダ式橋，すなわち道路を転回して持ち上げるため縦軸の周りを回転する橋
E01D15/12	可搬または組立て橋（浮き橋　Ｅ０１Ｄ１５／１４）
E01D15/122	｛膨張可能または繰出し不能橋（膨張可能または繰出し不能梁一般　Ｅ０４Ｃ　３／００Ｂ）；％剛性部材，例．ケーブル，のみで構成した主要荷重支持構造を有する橋）
E01D15/124	｛折りたたみ式または入れ子式橋；折りたたみ式または入れ子式部分を組立てた橋（Ｅ０１Ｄ１５／１２２，Ｅ０１Ｄ１５／１２７が優先；折りたたみ式または入れ子式梁一般　Ｅ０４Ｃ３／００５）｝
E01D15/127	橋またはその部分を移送，操作または設置するために車両と組み合わせたもの
E01D15/133	容易に分離できる規格部分または部材からの組立て，例．ベーリー橋（Ｅ０１Ｄ１５／１２７　が優先）
E01D15/14	浮き橋，例．ポンツーン橋（桟橋　Ｅ０１Ｄ１５／２４；≠体またはポンツーン　Ｂ６３Ｂ）
