E03B1/00	上水道用設備の方法またはレイアウト（Ｅ０３Ｂ３／００，Ｅ０３Ｂ９／００が優先）
E03B1/02	公共用または類似の主上水道用のもの　｛工業用｝
E03B1/04	家庭用または類似の部分上水道用のもの
E03B1/041	
E03B1/042	
E03B1/044	
E03B2001/045	
E03B2001/047	
E03B1/048	
E03B3/00	飲料水または水道水を取水または集水する方法または設備（水処理Ｃ０２Ｆ）
E03B3/02	雨水からのもの
E03B3/03	家庭用の雨水集水，貯水用特殊容器，例．天水おけ　｛（保管用容器一般Ｂ６５Ｄ）｝
E03B3/04	地表水からのもの　｛ダムＥ０２Ｂ７／００｝
E03B3/06	地下水からのもの　｛排水による，例．水位を低下させることによる，基礎地盤の圧密Ｅ０２Ｄ３／００；心土のろ過Ｅ２１Ｂ４３／０２｝
E03B3/08	井戸の中の取水および集水（水および他の流体との組み合わせに，または他の液体のみに応用し得るものＥ２１Ｂ４３／００）
E03B3/10	掘り井戸によるもの
E03B3/11	管と組み合わせたもの，例．水平に延伸し，穿孔されたもの，またはくぼみから放射状に延伸し，上方に傾いたもの
E03B3/12	縦の管井戸によるもの
E03B3/14	水平または傾斜井戸によるもの
E03B3/15	井戸を良好に保つ方法，例．清掃，修理，再建によるもの；井戸または滞水層の容量の維持または拡張（人工的に豊富にすることＥ０３Ｂ３／３２）　｛（清掃一般Ｂ０８Ｂ）｝
E03B3/16	井戸の構成部材
E03B3/18	井戸ろ過器（ろ過器一般Ｂ０１Ｄ２４／００からＢ０１Ｄ３５／００まで）
E03B3/20	特殊な形状の要素のもの
E03B3/22	特定材料の選択　｛現在この分類は使用していない，Ｅ０３Ｂ３／２０の文献参照｝
E03B3/24	ばらばらの材料で形成されるもの，例．砂利
E03B3/26	詰め込まれたろ過材料をもつもの
E03B3/28	湿った空気からのもの（蒸気の圧縮一般Ｂ０１Ｄ５／００；空気調節用の空気の脱湿Ｆ２４Ｆ３／１４）
E03B3/30	雪または氷からのもの
E03B3/32	人工的に豊富にする手段に関するもの，例．池や川からの供給水によるもの　｛排水による，例．水位を低下させることによる，基礎地盤の圧密Ｅ０２Ｄ３／００｝
E03B3/34	地下水についてのもの
E03B3/36	地表水についてのもの
E03B3/38	源泉用の井げた
E03B3/40	集水用の他の装置，例．みぞ，排水管
E03B5/00	ポンプ施設またはポンプ設備の使用；そのレイアウト（ポンプ，ポンプ施設またはポンプ設備それ自体Ｆ０４）
E03B5/02	建物に設備されたもの
E03B5/025	｛表面槽を有するもの｝
E03B5/04	井戸に設備されたもの
E03B5/045	｛表面槽を有するもの｝
E03B5/06	特殊装置，　｛例．井戸の栓および井戸ケーシングまたは類似するものの連結｝
E03B7/00	主管，引き込み管系統（管一般Ｆ１６Ｌ）
E03B7/003	
E03B7/006	
E03B7/02	公共用または類似の主管系
E03B7/04	家庭用または類似の局部管系（家庭用配管工事Ｅ０３Ｃ１／０２）
E03B7/045	
E03B7/07	管系における装置の配列，例．ろ過器，流水制御器，測定装置，サイフォン，弁（装置それ自体はこれらの装置に関連するクラスを参照）
E03B7/071	
E03B7/072	
E03B7/074	
E03B7/075	
E03B7/077	
E03B7/078	
E03B7/08	排水装置の配列（排水装置一般Ｆ１６Ｋ，Ｆ１６Ｌ）
E03B7/09	構成部材または付属物（管清掃用具Ｂ０８Ｂ９／０２；家庭用水道管汚濁防止装置Ｅ０３Ｃ１／１０；管破裂時の損傷防止装置Ｆ１６Ｌ；管の加熱一般Ｆ１６Ｌ５３／００）
E03B7/095	
E03B7/10	凍結による管の破裂防止装置（管の破裂防止装置一般Ｆ１６Ｌ５５／００）
E03B7/12	凍結を防ぐことによるもの
E03B7/14	凍結した管を解氷するための装置
E03B9/00	水をひくための方法または設備（家庭用水引き込み装置Ｅ０３Ｃ；栓および弁それ自体Ｆ１６Ｋ）
E03B9/02	｛ＩＰＣ８｝給水栓；その中の弁の配列；給水栓用鍵
E03B2009/022	
E03B9/025	
E03B9/027	
E03B9/04	給水栓柱
E03B9/06	覆い蓋
E03B9/08	地下給水栓
E03B9/10	保護板または覆い蓋
E03B9/12	立ち上り管
E03B9/14	給水栓用排水装置
E03B9/16	不純物，例．砂，の保留装置
E03B9/18	給水栓用清掃用具
E03B9/20	飲料水を給水するための噴水塔またはその類似装置
E03B11/00	上水用水槽の装置または応用（天水おけＥ０３Ｂ３／０３；　貯蔵関係Ｂ６５Ｄ，　Ｂ６５Ｇ，　Ｆ１７Ｂ，　Ｆ１７Ｃ；基礎Ｅ０２Ｄ２７／３８；土木工学技術を用いる大形貯蔵容器の建設または組立てＥ０４Ｈ７／００；塔関係Ｅ０４Ｈ１２／００）
E03B2011/005	
E03B11/02	家庭用または類似の部分上水道用のもの
E03B11/04	空気調整器をもたないもの　｛すなわち空気流入弁または排出弁のないもの；可撓壁をもつ水槽｝
E03B11/06	空気調整器を有するもの　｛水路用の空気溜Ｆ１６Ｌ５５／０４；液体用の圧力制御装置Ｇ０５Ｄ｝
E03B11/08	空気調整器　
E03B11/10	公共用または類似の主上水道用のもの
E03B11/12	高置水槽
E03B11/14	地下水槽
E03B11/16	ポンプ設備設置用装置の応用，例．自動制御装置　｛現在この分類は使用していない，Ｆ０４の文献参照｝
