F03C1/00	往復ピストン液体機関
F03C1/001	｛２方向の運動が２以上の複動式ピストン液体原動機により得られるもの｝
F03C1/002	｛細部；構成要素部品｝
F03C1/003	｛制御｝
F03C1/004	｛速度制御｝
F03C1/005	｛原動機のピストンの行程の制御｝
F03C1/007	単一シリンダ，複動式ピストンをもつもの
F03C1/0073	｛複動式ピストンの片面が常に加圧液体の影響を受けるもの｝
F03C1/0076	｛加圧液体が戻り行程を作動するためにピストン内の弁を通じて一つのシリンダ室へ連続的に供給されるもの｝
F03C1/013	単一シリンダ，単動式ピストンをもつもの
F03C1/0135	｛重力による戻り行程をともなうもの｝
F03C1/02	シリンダの数または配列に特徴がある多シリンダをもつもの（可動シリンダをもつものＦ０３Ｃ１／２２；可とう壁形のものＦ０３Ｃ７／００）
F03C1/03	それぞれ１方向に作動する２つの単動式ピストン液体機関により２方向の運動が得られるもの
F03C1/035	｛１つの単動式ピストンが常時加圧液体の影響を受けるもの｝
F03C1/04	星形または扇形に配列されているシリンダをもつもの｛（Ｆ０３Ｃ１／２２が優先）｝
F03C1/0403	｛細部，このような機関に特に適合された構成要素部品｝
F03C1/0406	｛ピストン｝
F03C1/0409	｛カム｝
F03C1/0412	｛いくつかの円筒要素，例．ローラ，からなるもの｝
F03C1/0415	｛シリンダ｝
F03C1/0419	｛ピストンを作動カムに対して押圧または連結するための装置｝
F03C1/0422	｛液圧によるもの｝
F03C1/0425	｛ピストンの作動カムからの分解（一般Ｆ０１Ｂ３１／２４）｝
F03C1/0428	｛ピストン用の支持および案内装置｝
F03C1/0431	｛エンジンハウジングの排水；漏えい流体を扱う装置｝
F03C1/0435	｛分配部材に関する特性（Ｆ０３Ｃ１／０４７２，Ｆ０３Ｃ１／０５３１，およびＦ０３Ｃ１／０５３８が優先）｝
F03C1/0438	｛円筒状分配部材へのもの｝
F03C1/0441	｛円錐状分配部材へのもの｝
F03C1/0444	｛板状分配部材へのもの｝
F03C1/0447	｛制御｝
F03C1/045	｛いくつかのポンプまたは原動機室をもつ系における弁を用いることにより，その室内を通る流路を変更，例．直列−並列，できるもの｝
F03C1/0454	｛ピストンの有効作動断面の変更によるもの｝
F03C1/0457	｛ピストンの有効行程の変更によるもの｝
F03C1/046	｛一方の要素の他方の要素に対する偏心度の変更によるもの｝
F03C1/0463	｛２つの作動カムの間の位相関係の変更によるもの｝
F03C1/0466	｛作動カムと分配手段との間の位相関係の変更によるもの｝
F03C1/047	シリンダの外端部においてピストンが作動部材と共動するもの
F03C1/0472	｛カムで作動する分配部材をもつもの｝
F03C1/0474	｛２つまたはそれ以上のラジアルピストン／シリンダユニットを直列でもつもの｝
F03C1/0476	｛直接並んで位置するもの｝
F03C1/0478	｛一緒に結合されたいくつかのシリンダ胴をもつもの｝
F03C1/053	シリンダの内端部においてピストンが作動部材と共動するもの
F03C1/0531	｛カムで作動する分配部材をもつもの｝
F03C1/0533	｛各ピストンがシリンダと協働する流路を備え，他のシリンダのための分配部材として用いられるもの｝
F03C1/0535	｛２つまたはそれ以上のラジアルピストン／シリンダユニットを直列でもつもの｝
F03C1/0536	｛直接並んで位置するもの｝
F03C1/0538	｛ピストンにより駆動されるカムが吸入口または吹き出し口を備えるもの｝
F03C1/06	軸が主軸に対して一般に同軸，平行，傾斜しているシリンダをもつもの
F03C1/0602	｛構成要素部品，細部｝
F03C1/0605	｛ピストンの適合（ポンプピストンＦ０４Ｂ１／１２４，Ｆ０４Ｂ５３／１４）｝
F03C1/0607	｛被駆動手段｝
F03C1/061	｛固定シリンダをもつもの｝
F03C1/0613	｛２組以上のシリンダまたはピストンをもつもの｝
F03C1/0615	｛分配部材｝
F03C1/0618	｛円筒状分配部材｝
F03C1/0621	｛円錐状分配部材｝
F03C1/0623	｛細部；構成要素部品｝
F03C1/0626	｛シリンダ｝
F03C1/0628	｛ケーシング，ハウジング｝
F03C1/0631	｛ウォブラーまたは作動部材｝
F03C1/0634	｛作動部材の軸受手段または被駆動軸線の軸受手段｝
F03C1/0636	｛回転シリンダブロックをもつもの｝
F03C1/0639	｛２組以上のシリンダまたはピストンをもつもの｝
F03C1/0642	｛主軸の軸線に対して傾斜しているもの｝
F03C1/0644	｛構成要素部品｝
