F05D2200/00	数学的特徴
F05D2200/10	基本関数
F05D2200/11	足し算
F05D2200/12	引き算
F05D2200/13	掛け算
F05D2200/14	割り算
F05D2200/15	逆数
F05D2200/20	特別な関数
F05D2200/21	ルート
F05D2200/211	平方根
F05D2200/212	立方根
F05D2200/22	累乗
F05D2200/221	平方累乗
F05D2200/222	立方累乗
F05D2200/23	対数
F05D2200/24	指数関数
F05D2200/25	双曲線三角法のもの，例．双曲線正弦，双曲線余弦，双曲線正接
F05D2200/26	三角法のもの
F05D2200/261	正弦
F05D2200/262	余弦
F05D2200/263	正接
F05D2200/264	余接
F05D2200/30	その他のもの
F05D2200/31	奇数
F05D2200/32	偶数
F05D2200/33	大きいもの／小さいもの
F05D2200/34	最大のもの／最小のもの
F05D2200/35	最初のもの
F05D2200/36	最後のもの
F05D2210/00	作動流体
F05D2210/10	種類または型
F05D2210/11	液体，すなわち，非圧縮性のもの
F05D2210/12	気体状のもの，すなわち，圧縮性のもの
F05D2210/13	混合されたもの，例．二相流体
F05D2210/132	気相を分離および排出するための手段をもつポンプ
F05D2210/14	特定の特性をもつ冷媒，例．ＨＦＣ
F05D2210/20	特性
F05D2210/30	流動の特徴
F05D2210/31	流れに沿って一定に保たれたマッハ数をもつもの
F05D2210/32	流れに沿って一定に保たれた圧力
F05D2210/33	乱流
F05D2210/34	層流
F05D2210/40	流れの幾何学的形状または方向
F05D2210/41	圧縮空気の浮力により上方へ
F05D2210/42	軸方向の吸入口および径方向の流出口
F05D2210/43	径方向の吸入口および軸方向の流出口
F05D2210/44	双方向性，すなわち，反対，交互の方向
F05D2220/00	適用
F05D2220/10	ラムジェット機関またはラムジェットにより駆動される乗り物におけるもの
F05D2220/20	閉鎖された流体導管，例．管，内でのもの
F05D2220/30	タービンにおけるもの
F05D2220/31	蒸気タービンにおけるもの
F05D2220/32	ガスタービンにおけるもの
F05D2220/321	特別なタービン段のためのもの
F05D2220/3212	タービンの第一段
F05D2220/3213	タービンの中間段
F05D2220/3215	タービンの最終段
F05D2220/3216	特別な圧縮段階のためのもの
F05D2220/3217	圧縮機の第一段階または低圧力圧縮機のためのもの
F05D2220/3218	圧縮機の中間段階のためのもの
F05D2220/3219	圧縮機の最終段階または高圧力圧縮機のためのもの
F05D2220/323	航空機の推進のためのもの，例．ジェットエンジン
F05D2220/324	シュラウドのない，低剛性のプロペラの駆動
F05D2220/325	シュラウドのない，高剛性のプロペラの駆動
F05D2220/326	シュラウドのある，低剛性のプロペラの駆動
F05D2220/327	シュラウドのある，高剛性のプロペラの駆動
F05D2220/328	直接な垂直揚力をもたらすもの
F05D2220/329	ヘリコプタにおけるもの
F05D2220/34	ラムエアタービン（ＲＡＴＳ）におけるもの
F05D2220/36	ターボファン機関のファンに特に適合されたもの
F05D2220/40	ターボ過給機におけるもの
F05D2220/50	補助動力装置のためのもの（ＡＰＵ’ｓ）
F05D2220/60	余剰または廃棄エネルギーの使用
