F15B1/00	アキュムレータをもつ装置または系；補給槽または排液槽装置
F15B1/02	アキュムレータをもつ装置または系
F15B1/021	｛減衰用に用いられるもの｝
F15B1/022	｛非常用動力源として，例．ポンプ故障の場合に，用いられるもの｝
F15B1/024	｛補助的な動力源として用いられるもの，例．ポンプ負荷の平衡をとるための遊休期間でのエネルギー貯蔵のためのもの｝
F15B1/025	｛熱的補償に用いられるもの，例．系流体をクールダウンするように熱膨脹した流体を回収しそれを系に戻すもの｝
F15B1/027	アキュムレータ充填装置をもつもの
F15B1/0275	｛２以上のパイロット弁，例．カットインおよびカットアウト圧力の独立した設定のためのもの，をもつもの｝
F15B1/033	電気的制御手段をもつもの
F15B1/04	アキュムレータ
F15B1/045	｛静荷重アキュムレータ｝
F15B1/08	ガスクッションを用いるもの；ガス充填装置；そのための指示器またはフロート
F15B1/083	｛アキュムレータが可溶栓を有するもの｝
F15B1/086	｛ガスクッションが分離手段，例．泡またはガスが充填されたボール，により完全に密閉されたもの｝
F15B1/10	柔軟な分離手段をもつもの
F15B1/103	｛分離手段がベローズであるもの｝
F15B1/106	｛ハウジング構成要素の組立方法に特徴があるもの｝
F15B1/12	それらの周囲に取り付けたもの（チューブの形状の柔軟な分離手段Ｆ１５Ｂ１／１６が優先）
F15B1/125	｛取付け手段に特徴のあるもの（Ｆ１５Ｂ１／１４が優先）｝
F15B1/14	剛性環状支持部材によるもの
F15B1/16	チューブの形状のもの
F15B1/165	｛空気袋状のもの｝
F15B1/18	はみ出し防止手段
F15B1/20	分離手段に固定したもの
F15B1/22	液体出入口構造
F15B1/24	剛性分離手段，例．ピストン，をもつもの
F15B1/26	補給槽または排液槽装置
F15B1/265	｛加圧された主槽をもつもの｝
F15B3/00	増圧器または流体圧転換機，例．圧力変換器；ある流体系から他の流体系へ流体間の接触なしに圧力を伝えるもの｛（流体駆動ポンプＦ０４Ｂ９／０８）｝
F15B5/00	物理量の変化，例．部材の位置の変化によって表現されるもの，を流体圧の変化またはその逆に変換する変換器；複数の流体圧の変化または他の量の変化の関数として流体圧を変化させるもの（Ｆ１５Ｂ９／００が優先）
F15B5/003	｛ノズルまたは類似のもの，例．ノズル−フラッパ系，における圧力の振動に特徴のあるもの｝
F15B5/006	｛電気的手段，例．電空変換器，をもつもの（Ｆ１５Ｂ５／００３が優先）｝
F15B7/00	生じる動きが容積形ポンプの出力に一義的に関係する系；テレモータ
F15B7/001	｛複数の入力をもつもの，例．二重制御のためのもの｝
F15B7/003	｛複数の出力をもつもの｝
F15B7/005	｛回転またはクランクの入力をもつもの｝
F15B7/006	｛回転のポンプ入力｝
F15B7/008	｛回転の出力をもつもの｝
F15B7/02	連続的に作動する入力装置および出力装置をもつ系
F15B7/04	ポンプの行程とモータの行程の比がモータの負荷とともに変化するもの
F15B7/06	細部（Ｆ１５Ｂ１５／００が優先）
F15B7/08	入力ユニット；主ユニット
F15B7/10	系における流体量の補償（Ｆ１５Ｂ７／０８が優先）
F15B9/00	追従動作をするサーボモータ，｛例．フィードバック制御により得られるもの｝，すなわちその被作動部材の位置が制御部材の位置に従うもの
F15B9/02	往復動形または揺動形のサーボモータをもつもの
F15B9/03	電気的制御手段をもつもの｛（Ｆ１５Ｂ９／０７，Ｆ１５Ｂ９／０９，Ｆ１５Ｂ９／１７が優先）｝
F15B9/04	可変容積形ポンプの出力を変えることによって制御されるもの
F15B9/06	流体噴流を用いて制御されるもの
F15B9/07	電気的制御手段をもつもの
F15B9/08	サーボモータの流体供給量または流出量に影響を与える弁によって制御されるもの（Ｆ１５Ｂ９／０６が優先）
F15B9/09	電気的制御手段をもつもの
F15B9/10	制御要素とサーボモータがそれぞれ別の部材を制御し，それらの部材は異なった流体通路または同じ通路を制御するもの
F15B9/12	制御要素とサーボモータは流体通路に影響を与える同一の部材を制御し，差動伝動装置によりその部材に連結されるもの
F15B9/14	回転形サーボモータをもつもの
F15B9/16	実質上２個以上の相互作用をするサーボモータをもつ系，｛例．多段形（Ｆ１５Ｂ１８／００，Ｆ１５Ｂ２０／００が優先）｝
F15B9/17	電気的制御手段をもつもの
F15B11/00	追従動作をしないサーボモータ系；｛それらのための回路｝（Ｆ１５Ｂ３／００が優先）
F15B11/003	｛負荷保持弁をもつ系｝
F15B11/006	｛液圧式ホイートストンブリッヂ回路，すなわち各リンク内に４個のノード，Ｐ−Ａ−Ｔ−Ｂ，およびオンオフまたは比例弁をもつもの｝
F15B11/02	出力部材の作動力または速度を制御するための特有な要素を実質上もつ系
F15B11/022	｛高速接近行程に，遅く高い作動力が続くもの（Ｆ１５Ｂ１１／０３２５が優先）｝
F15B11/024	サーボモータラインの特異な接続によるもの，例．再生回路
F15B2011/0243	｛再生回路が自動的に作動あるいは停止されるもの｝
F15B2011/0246	｛可変再生流をもつもの｝
F15B11/028	作動力を制御するためのもの（Ｆ１５Ｂ１１／０２４が優先）
F15B11/032	流体圧変換器によるもの
F15B11/0325	｛流体圧変換器が接近行程後に作動力を増大させるもの｝
F15B11/036	複数の作動室をもつサーボモータによるもの
F15B11/0365	｛縦列構造｝
F15B11/04	速度制御を目的とするもの（Ｆ１５Ｂ１１／０２４が優先）
F15B11/0406	｛始動動作または停止動作中におけるもの（Ｆ１５Ｂ１１／０４８が優先）｝
F15B11/0413	｛一方向のみで，逆方向は制御のないもの，例．絞り弁と並行に設けた逆止弁｝
F15B11/042	送りラインの調整手段によるもの，｛すなわちメータイン｝（Ｆ１５Ｂ１１／０４６，Ｆ１５Ｂ１１／０５が優先）
F15B11/0423	｛一定速度を維持するため以外のポンプの出力また迂回の制御によるもの｝
F15B11/0426	｛スイッチオンされるポンプまたは並列な弁の数の制御によるもの｝
F15B11/044	戻りラインの調整手段によるもの，｛すなわちメータアウト｝（Ｆ１５Ｂ１１／０４６，Ｆ１５Ｂ１１／０５が優先）
F15B11/0445	｛カウンタバランス弁をもつもの，例．オーバラン防止またはブレーキ用｝
F15B11/046	作動部材の位置に依存するもの
F15B11/048	減速制御をもつもの
F15B11/05	特に定速保持を目的とするもの，例．圧力補償の，負荷応動の｛（Ｆ１５Ｂ１１／１６１が優先）｝
F15B11/055	｛ポンプの出力または迂回の調整によるもの｝
F15B11/06	圧縮性の媒質，例．空気，蒸気，を用いるための特有な要素をもつもの
F15B11/064	圧縮性の媒質を節約するための装置をもつもの
F15B11/068	空気系に徐々に圧力を加えていくための弁をもつもの
F15B11/072	空気−油圧の結合系（Ｆ１５Ｂ１１／０３２が優先）
F15B11/0725	｛駆動エネルギーが空気圧系から発生し，それに続いて油圧系が出力要素を置換または制御するもの｝
F15B11/076	空気による駆動あるいは排出の機能と，液圧制御による速度の制御もしくは停止の機能とを備えたもの
F15B11/08	ただ１個のサーボモータをもつもの
F15B11/10	サーボモータの位置が圧力の関数であるもの｛さらにそれ自体が位置表示系となり得る，当該系を操作する手段としての圧力調整装置のもの｝
F15B11/12	明確な中間位置のあるもの；段階的動作をするもの
F15B11/121	｛明確な中間位置のあるもの（Ｆ１５Ｂ１１／１３が優先）｝
F15B11/122	｛多数の停止点をもつアクチュエータによるもの｝
F15B11/123	｛流体で操作される停止点をもつアクチュエータによるもの｝
F15B11/125	｛デジタルアクチュエータ，すなわち総ストロークが個々のストロークの総和であるアクチュエータ，によるもの｝
F15B11/126	｛特別な回路制御手段をもつ標準形のアクチュエータによるもの（Ｆ１５Ｂ１１／１２５が優先）｝
F15B11/127	｛段階的動作をもつもの｝
F15B11/128	｛特別な回路制御手段をもつ標準形のアクチュエータによるもの｝
F15B11/13	あらかじめ決めた容積の｛個別の投与｝室を用いるもの
F15B11/15	自動戻りのための特殊な設備をもつもの
F15B11/16	２個以上のサーボモータをもつもの
F15B11/161	｛サーボモータの要求量または負荷の検知をともなうもの｝
F15B11/162	｛特定のサーボモータまたは利用者に優先権を与えるためのもの｝
F15B11/163	｛利用者または利用者グループ間に均等にポンプ出力を分配するためのもの，例．集中の防止，圧力補償を用いるもの｝
F15B11/165	｛要求量に応じてポンプの出力または迂回を調整するためのもの｝
F15B11/166	｛負荷に応じたパイロット圧力の制御，すなわち少なくとも一人の利用者への供給は系のパイロット圧または１以上の個々のパイロット指令圧を調節することによって規制されるもの｝
F15B11/167	｛要求量を検知するためにパイロット圧を用いるもの｝
F15B11/168	｛遮断弁（複製弁）によるもの，すなわち少なくとも一つの負荷検知［ＬＳ］圧力は作業用出入口の負荷検知圧力から導出されるものであるが，作業用出入口の圧力そのものではないもの｝
F15B11/17	２つ以上のポンプを用いるもの
F15B11/18	単一の被制御部材の段階的動作を得るために結合して用いられるもの
F15B11/183	｛直線的な段階的動作｝
F15B11/186	｛回転する段階的動作｝
F15B11/20	相互作用または順次作動する数個の部材を制御するもの
F15B11/205	｛アクチュエータの位置が次のアクチュエータへの流量を制御するもの｝
F15B11/22	２個以上のサーボモータの動作を同期させるもの
F15B13/00	サーボモータ系の細部（｛Ｆ１５Ｂ１／０４，Ｆ１５Ｂ１／２６，Ｆ１５Ｂ３／００，Ｆ１５Ｂ７／０８，Ｆ１５Ｂ１１／０２，Ｆ１５Ｂ１１／１０｝，Ｆ１５Ｂ１５／００が優先）；｛サーボモータ系のための弁｝
F15B2013/002	｛モジュール弁，すなわち互換性のある部品を組み立てて構成されているもの｝
F15B2013/004	｛カートリッジ弁｝
F15B2013/006	｛多重利用のモジュ−ル式の構成要素，例．常開弁または常閉弁のどちらか一方のための組立用部品一式，交換可能またはプログラム可能な多岐管｝
F15B2013/008	｛絞り部材の外形｝
F15B13/01	ロック弁または他のデテント，｛すなわち負荷を保持する｝装置
F15B13/015	｛密閉形パイロットフロー弁を用いるもの｝
F15B13/02	サーボモータの制御に適用することを特徴とする流体の分配または供給装置
F15B13/021	｛アクチュエータの流体室を相互に接続する弁｝
F15B13/022	｛分流器；プライオリティ弁｝
F15B13/023	｛過流防止弁，例．ホースが破裂した場合にシリンダをロックするためのもの｝
F15B13/024	｛圧力逃がし弁｝
F15B13/025	｛減圧弁｝
F15B13/026	｛圧力補償弁｝
F15B13/027	｛逆止弁｝
F15B13/028	｛シャトル弁｝
F15B13/029	｛カウンタバランス弁｝
F15B13/04	単一のサーボモータとともに用いるもの
F15B13/0401	｛弁部材；それらのための流体相互接続材｝
F15B13/0402	｛直線スライド弁，例．スプール弁，のためのもの｝
F15B13/0403	｛主スプール内をスライドする副弁部材，例．再生流用（Ｆ１５Ｂ１３／０４１８が優先）｝
F15B13/0405	｛シート弁，すなわちポペット弁，のためのもの｝
F15B13/0406	｛回転弁のためのもの｝
F15B13/0407	｛弁部材の動きを減衰するための手段｝
F15B2013/0409	｛弁部材の位置の検知またはフィードバック｝
F15B2013/041	｛２つの位置をもつもの｝
F15B2013/0412	｛３つの位置をもつもの｝
F15B2013/0413	｛４つ以上の位置をもつもの｝
F15B2013/0414	｛投与装置｝
F15B13/0416	｛負荷の検知のための手段をもつものまたは適合されたもの｝
F15B13/0417	｛負荷検知要素；それらのための内部流体結合；集中防止または圧力補償弁｝
F15B13/0418	｛中空の主弁スプール内をスライドする負荷検知要素｝
F15B13/042	流体圧により作動されるもの｛（Ｆ１５Ｂ１３／０４０１，Ｆ１５Ｂ１３／０４１６が優先）｝
F15B13/0422	｛手動操作パイロット弁，例．ジョイスティック，をもつもの｝
F15B13/0424	｛ジョイスティックが電気的スイッチまたはセンサをもつもの｝
F15B13/0426	｛流体操作パイロット弁をもつもの，すなわち多段弁｝
F15B2013/0428	｛切換え可能な内部あるいは外部パイロット圧力源をもつもの｝
F15B13/043	電気的に制御されるパイロット弁をもつもの
F15B13/0431	｛電気的制御がオンオフ機能をもたらすもの｝
F15B13/0433	｛パイロット弁が圧力制御弁であるもの（Ｆ１５Ｂ１３／０４３５，Ｆ１５Ｂ１３／０４３６，Ｆ１５Ｂ１３／０４３８が優先）｝
F15B13/0435	｛パイロット弁がスライド弁であるもの｝
F15B13/0436	｛パイロット弁が操作可能なジェット式であるもの｝
F15B13/0438	｛パイロット弁がノズルフラッパ形であるもの｝
F15B13/044	電気的に制御される手段，例．ソレノイド，トルクモータ，により作動されるもの
F15B13/0442	｛安定した中間位置を可能とする比例ソレノイドをもつもの｝
F15B13/0444	｛回転式電動モータをもつもの｝
F15B13/0446	｛可動コイル，例．音声コイル，をもつもの｝
F15B2013/0448	｛ソレノイドおよび永久磁石による作動｝
F15B13/06	２個以上のサーボモータとともに用いるもの
F15B13/07	一定の順序で作動するもの
F15B13/08	それぞれ１個のサーボモータのみを制御するユニットの集合体
F15B13/0803	｛モジュラユニット｝
F15B13/0807	｛多岐管｝
F15B13/081	｛層状構造のもの｝
F15B13/0814	｛単一のブロックからなる多岐管｝
F15B13/0817	｛多数のブロックからなる多岐管｝
F15B13/0821	｛モジュラユニット間に取付け部材またはシールをもつもの｝
F15B13/0825	｛モジュラ要素が共通部材上に，例．レール上に，装着されたもの｝
F15B13/0828	｛モジュラユニットのシール手段に特徴があるもの｝
F15B13/0832	｛モジュラ弁｝
F15B13/0835	｛カートリッジ式の弁｝
F15B13/0839	｛積層板形の弁｝
F15B13/0842	｛単一ブロック形の弁，例．共通ハウジング内に多数の弁スプールをもつもの｝
F15B13/0846	｛電気的細部｝
F15B13/085	｛電気的制御器｝
F15B13/0853	｛電気回路基板｝
F15B13/0857	｛電気的接続手段，例．プラグ，ソケット｝
F15B13/086	｛検知手段，例．圧力センサ｝
F15B13/0864	｛信号手段，例．ＬＥＤ｝
F15B13/0867	｛データ母線系｝
F15B13/0871	｛流体のための溝｝
F15B13/0875	｛電気的な部品，例．ケーブルまたはセンサ，のための溝｝
F15B13/0878	｛モジュラユニットの組立体｝
F15B13/0882	｛同一のモジュラ要素を用いるもの｝
F15B13/0885	｛他の構成要素と結合した弁を用いるもの｝
F15B13/0889	｛電気的な構成要素と結合した弁｝
F15B13/0892	｛流体の構成要素と結合した弁｝
F15B13/0896	｛形あるいは寸法の異なる弁を用いるもの｝
F15B13/10	流体を｛用いてまたは｝用いないで被作動装置を操作するため，例．非常時用のため，の特殊な装置
F15B13/12	系の感度を増すための特別な手段
F15B13/14	被作動装置の応答を感触によって操作者に伝えるための特別な手段
F15B13/16	フィードバックのための特殊な手段，｛例．追従装置によるもの｝
F15B15/00	部材をある位置から他の位置へ移すための流体作動装置；それと組み合わせた伝動装置
F15B15/02	流体作動要素の動作を，最後に作動される部材の動作に変換するための手段に特徴のある機械的設計
F15B15/04	揺動シリンダをもつもの
F15B15/06	直線運動を非直線運動へ機械的に変換するためのもの
F15B15/061	｛単一方向性の手段によるもの｝
F15B15/063	｛直線および回転出力の両方をもつアクチュエータ，すなわち二重作用アクチュエータ｝
F15B15/065	｛モータがラック−ピニオン型であるもの｝
F15B15/066	｛モータがスコッチヨーク型であるもの｝
F15B15/068	｛モータがヘリカル型であるもの｝
F15B15/08	モータユニットの構造に特徴のあるもの
F15B15/082	｛モータが溝付きシリンダ形であるもの｝
F15B15/084	｛モータがロッドなしのピストン形であるもの，例．ケーブル，ベルトまたはチェーンをもつもの｝
F15B15/086	｛電磁継手をもつもの｝
F15B15/088	｛モータが組み合わせられた動作，例．電気的および流体的動作，を用いるもの｝
F15B15/10	モータがダイアフラム形のもの
F15B15/103	｛流体圧力が作用した時に収縮する膨脹可能な本体を用いるもの，例．空気圧人工筋肉形またはマッキベン形のアクチュエータ｝
F15B15/106	｛モータがピンチローラ形のもの｝
F15B15/12	揺動羽根またはわん曲シリンダ形
F15B15/125	｛わん曲シリンダ形｝
F15B15/14	直線シリンダ形
F15B15/1404	｛房状になっているもの，例．複数のシリンダがひとかたまりになっているもの｝
F15B15/1409	｛２以上の独立して可動な作動ピストンをもつもの｝
F15B15/1414	｛非回転ピストンをもつもの｝
F15B15/1419	｛非円形断面のもの｝
F15B15/1423	｛構成要素部品；構造的細部｝
F15B15/1428	｛シリンダ（Ｆ１５Ｂ１５／１４３８が優先）｝
