F16B1/00	構造部材または機械部品を相互に固定または相体的に動くのを防止するための装置
F16B1/02	操作後に機械の要素を固定するための手段（部材に静止をもたらすための手段Ｆ１６Ｄ）
F16B1/04	要素の作用部材の動きによる掛けはずし（アクチュエーター用のゆるみ止めＧ０５Ｇ，例．Ｇ０５Ｇ５／００）
F16B2/00	摩擦握りによるはめはずしできる締め付け（索条またはロープ用のもの，例．止め索栓，Ｆ１６Ｇ１１／００）　｛（棒または管体の結合，例．相互の弾性結合を含む非円形断面の結合Ｆ１６Ｂ７／００）｝
F16B2/005	｛摩擦係数を増加する手段｝
F16B2/02	クランプ，すなわち締め付け部材の形状の固有の抵抗とは異なった強制的な手段によって生じる握り締め動作をもつもの
F16B2/04	内部拡張動作をもつもの（Ｆ１６Ｂ２／１４からＦ１６Ｂ２／１８が優先）
F16B2/06	外部緊縮動作をもつもの（Ｆ１６Ｂ２／１４からＦ１６Ｂ２／１８が優先）
F16B2/065	｛ねじ山を用いるもの（Ｆ１６Ｂ２／０８からＦ１６Ｂ２／１２が優先）｝
F16B2/08	バンドを用いるもの
F16B2/10	旋回するあご部を用いるもの
F16B2/12	摺動するあご部を用いるもの
F16B2/14	くさびを用いるもの
F16B2/16	ローラまたはボールを用いるもの　｛（入れ子式に係合した棒または管用のクランプ７／１４０９；盗難防止監視装置に用いられるもの，例．店舗で衣類用に使用されるものＥ０５Ｂ７３／００１７）｝
F16B2/18	カム・レバー，偏心円またはひじ金を用いるもの　｛（入れ子式に係合した棒または管の結合のためのものＦ１６Ｂ７／１４１８，Ｆ１６Ｂ７／１４２７，Ｆ１６Ｂ７／１４５４）｝
F16B2/185	｛レバーを用いるもの｝
F16B2/20	クリップ，すなわち単に締め付け部材の変形に対する固有の抵抗によって生じる握り締め作用をもつもの
F16B2/205	｛二箇所の安定した位置をもつもの｝
F16B2/22	弾性物質，例．ゴム状物質，からなるもの　｛（Ｆ１６Ｂ２／２０５が優先）｝
F16B2/24	金属からなるもの
F16B2/241	｛薄板金属からなるもの｝
F16B2/243	｛内部拡張動作をもつもの｝
F16B2/245	｛外部緊縮動作をもつもの｝
F16B2/246	｛握り締められた要素を取り囲む開口の軸線が握り締められた要素と平行または一致した位置に対してクリップまたはその一部を傾けることによりはずされるクリップ｝
F16B2/248	｛ワイヤからなるもの｝
F16B2/26	可とう性，弾性のない物質からなるもの，例．植物用ひも
F16B3/00	キー型結合；キー（Ｆ１６Ｂ２／００が優先；棒または管相互Ｆ１６Ｂ７／００）
F16B3/005	｛注入された部材の凝固によって形成されるキー（溶融プラスチックを塗ることにより前もって形成された部分の接合Ｂ２９Ｃ６５／４０；固化可能充填材を使用して得られる分離不可能な管継手Ｆ１６Ｌ１３／１１）｝
F16B3/04	接続する部品の隣接した表面の溝に開口そう入口を通してそう入するワイヤまたは可とう性物質で作られたキーを用いるもの
F16B3/06	テーパスリーブを用いるもの
F16B4/00	収縮による結合，例．異なる温度での部品の組立；圧力ばめ（金属部品または目的物に限定されたものＢ２３Ｐ１１／０２）；取り外し不能な摩擦握りによる締め付け（Ｆ１６Ｂ２／００が優先；　｛形状記憶材料を備えた部材を用いるものＦ１６Ｂ１／００１４｝）
F16B4/002	｛流体圧力により係合または係合を絶つもの｝
F16B4/004	｛圧入，圧力ばめ，しまりばめ，すなわち熱または化学的処理なしの嵌合（Ｆ１６Ｂ４／００２が優先）｝
F16B4/006	｛収縮による結合，例．異なる温度での部品に組み立てられるもの｝
F16B4/008	｛熱回復可能なもの，すなわち収縮可能なスリーブ｝
