F16F1/00	ばね（流体を用いたものＦ１６Ｆ５／００，Ｆ１６Ｆ９／００）
F16F1/02	低内部摩擦の鋼鉄またはその他の材料よりなるもの（｛繊維強化プラスチックからできているその特別な構造に特徴のあるものＦ１６Ｆ１／３６６；幾つかのばねからなるばねユニットＦ１６Ｆ３／０２｝；線材からのばねの製造Ｂ２１Ｆ３５／００）；つる巻きばね，ねじりばね，板ばね，皿ばね，輪ばねまたは類似のばねでばねの材料に関連しないもの
F16F1/021	｛その構成によって特徴付けられるもの，例．特定のばね特性を有する材料からなるもの（置時計または腕時計用ばねの構成または製造Ｇ０４Ｂ１／１４５）｝
F16F1/022	｛セラミック材からできているもの｝
F16F1/024	｛被覆物またはそのための被覆剤（Ｆ１６Ｆ１／２４が優先）｝
F16F1/025	｛特定の形状を持つことにより特徴付けられるもの（Ｆ１６Ｆ１／０４，Ｆ１６Ｆ１／１４，Ｆ１６Ｆ１／１８，Ｆ１６Ｆ１／３２，Ｆ１６Ｆ１／３４が優先）｝
F16F1/027	｛平面，例．薄板形状；板ばね｝
F16F1/028	｛径方向に開口部を有する円柱状｝
F16F1/04	つる巻きばね，｛（線材を巻くことによるばねの製造Ｂ２１Ｆ１３／００）｝
F16F1/041	｛ばね特性を修正する手段をもつもの（Ｆ１６Ｆ１／１３，Ｆ１６Ｆ３／０６が優先；車両用懸架装置のコイルばね特性の流体調整Ｂ６０Ｇ１７／０２７２）｝
F16F1/042	｛線材の断面によって特徴付けられたもの｝
F16F1/043	｛線材長さで変化する断面｝
F16F1/045	｛傾斜したコイルばね｝
F16F1/046	｛インナーおよびアウターコイルの部分的なネスティングを有するもの（Ｆ１６Ｆ３／０４が優先）｝
F16F1/047	｛ピッチを変化させて特徴付けられるもの｝
F16F1/048	｛うねりがあるもの，例．波打ちばね｝
F16F1/06	円筒表面状に巻いたもの
F16F1/065	｛ラジアル方向へのコイル荷重によって特徴付けられるもの（傾斜したコイルばねＦ１６Ｆ１／０４５）｝
F16F1/08	おもに円すい表面上に巻いたもの，｛すなわち直径を変化させることによって特徴付けられるもの（Ｆ１６Ｆ１／１０が優先）｝
F16F1/10	実質的に平面状に巻いたうず巻きばね｛（Ｆ１６Ｆ１／３２６が優先）｝
F16F1/12	付属品，装着部品｛（Ｆ１６Ｆ１／０４１，Ｆ１６Ｆ１３／０２が優先；車両懸架装置用の振動減衰装置および機械的ばねを結合したものＢ６０Ｇ１５／０２）｝
F16F1/121	｛調節可能，例．ばね特性を修正するためのもの｝
F16F1/122	｛ばねのコイル，例．コイル端がしっかりと固定されるまたは同様に固定される所｝
F16F1/123	｛特に適用されたばね端部によって特徴付けられたもの，例．ラジアルインサートとの係合のための小環を形成（Ｆ１６Ｆ１／１２２，Ｆ１６Ｆ１／１２５が優先）｝
F16F1/125	｛ばねのコイル端がアキシャルインサートと係合する所（Ｆ１６Ｆ１／１２６，Ｆ１６Ｆ１／１２８が優先）｝
F16F1/126	｛ばねのコイル端と本来の支持体間の要素を構成するもの，例．エラストマー環（Ｆ１６Ｆ１／１３が優先）｝
F16F1/127	｛ばね軸回りの回転を許容するもの｝
F16F1/128	｛運動制限手段をもつもの，例．等身大の案内要素またはボール継手結合をもつもの；保護用外側カバーをもつもの（Ｆ１６Ｆ１／１２１が優先）｝
F16F1/13	ばねの機械的または物理的特性を変えるために，巻きの間に挿入物またはスペーサーを入れてあるもの｛（Ｆ１６Ｆ１／１２２が優先）｝
F16F1/14	棒，管よりなるねじりばね
F16F1/145	｛ばね特性を修正する手段をもつもの（車両用懸架装置のねじりばね特性の流体調整Ｂ６０Ｇ１７／０２７７）｝
F16F1/16	付属品，装着部品｛（Ｆ１６Ｆ１／１４５が優先；車両のスタビライザーバーの取付け手段Ｂ６０Ｇ２１／０５５１）｝
F16F1/18	板ばね｛（平面ばね一般Ｆ１６Ｆ１／０２７；一般的ラジアル方向腕を有するベベルタイプばねＦ１６Ｆ１／３２４）｝
F16F1/182	｛板ばね間または板ばねと装着部品間の相互に重なった部分をもつもの，例．うねり，切れ込み，ウエーブ｝
F16F1/185	｛個々の板ばねの形状またはデザインによって特徴付けられるもの（Ｆ１６Ｆ１／２２が優先）｝
F16F1/187	｛開放輪郭に形付けられたもの，すなわちＣ形状またはＵ形状のもの｝
F16F1/20	板ばね間に層，例．減摩材層，またはローラを持つもの
F16F1/22	ばね特性を調節する方法をもつもの｛（車両用懸架装置の板ばね特性の流動的調整Ｂ６０Ｇ１７／０２７５）｝
F16F1/24	潤滑；カバー，例．潤滑材を保留するための覆い
