F16N1/00	潤滑を目的としての機械または装置の部品の構成上の改良 
F16N3/00	手動によって潤滑剤を供給する装置（液体容器の排液装置Ｂ６５Ｄ）
F16N3/02	オイルの送り出し
F16N3/04	オイルかん；オイル注油器
F16N3/06	圧搾による送り出し
F16N3/08	ピストンポンプを組み入れたもの
F16N3/10	グリースの送り出し
F16N3/12	グリース銃
F16N5/00	潤滑剤を圧力のもとに供給する手動位置決めできるノズルを備えた装置（Ｆ１６Ｎ３／００が優先）
F16N5/02	そのためのノズル，またはノズルバルブ装置，例．高圧グリース銃
F16N7/00	固定貯蔵器またはそれに同等のものから潤滑すべき機械または部材に油または特定しない潤滑剤を供給するための装置（鉄道車両用の車軸潤滑Ｂ６１Ｆ１７／００）
F16N7/02	重力供給または滴下によるもの
F16N7/04	振動によってオイルの流れを促進させることによるもの
F16N7/06	しずくの滴下がみえる装置
F16N7/08	潤滑すべき部材の温度によって制御されるもの（サーモスタットＧ０５Ｄ）
F16N7/10	手動で操作される制御装置を含むもの，例．スピンドル
F16N7/12	毛細管作用で供給するもの，例．燈心によるもの
F16N7/14	潤滑剤が機械的手段によって貯蔵容器から運ばれるもの（ポンプ装置によるものＦ１６Ｎ７／３６，Ｆ１６Ｎ７／３８；機械または機関一般，内燃機関の潤滑用の適用Ｆ０１Ｍ）
F16N7/16	くみあげ装置によってオイルが運びあげられるもの（くみあげ装置一般Ｆ０４Ｄ）
F16N7/18	軸に固定された１つまたはそれ以上の潤滑油を供給するための部材をもつもの
F16N7/20	潤滑されるべき軸のまわりに可動の１つまたはそれ以上の部材をもつもの
F16N7/22	リング状のもの
F16N7/24	潤滑すべき軸に接した円板，ローラ，ベルトまたはそれと類似のものをもつもの
F16N7/26	飛まつ潤滑（噴霧潤滑Ｆ１６Ｎ７／３２）
F16N7/28	油浴潤滑
F16N7/30	オイルが他の流体によって与えられまたは運ばれるもの（内燃機関Ｆ０２Ｆ）
F16N7/32	噴霧潤滑（飛まつ潤滑Ｆ１６Ｎ７／２６）
F16N7/34	油の噴霧器（噴霧器一般Ｂ０５Ｂ）
F16N7/36	潤滑すべき部材または機械の軸のポンプ作用による送りをもつもの；遠心潤滑
F16N7/363	｛遠心式潤滑｝
F16N7/366	｛機械の垂直軸のポンピング作用により送られるもの｝
F16N7/38	別々のポンプをもつもの；集中潤滑系
F16N7/385	｛集中潤滑系｝
F16N7/40	閉じた循環系におけるもの
F16N9/00	移動する貯蔵器またはそれに相当するものから油または特定しない潤滑剤を供給するための装置（固定貯蔵庫とともに用いることもできるものＦ１６Ｎ７／００）
F16N9/02	回転する部材の中または上に油つぼをもつもの
F16N9/04	往復動，揺動または振動する部材の中または上に油つぼをもつもの
F16N11/00	固定貯蔵器またはそれに相当するものから潤滑すべき機械や部材の中または上にグリースを供給するための装置；グリースカップ
F16N11/02	手動のグリースカップ，例．ストーファーカップ
F16N11/04	バネ力による装置
F16N11/06	重錘による装置
F16N11/08	機械的駆動をもつもので，直接バネまたは重錘によらないもの（潤滑ポンプＦ１６Ｎ１３／００）
F16N11/10	他の流体の圧力によるもの
F16N11/12	遠心作用によるもの
F16N13/00	潤滑ポンプ（ポンプをもつ油カンＦ１６Ｎ３／０８；液体用のポンプ一般Ｆ０４）
F16N2013/003	可撓壁ポンプ
F16N2013/006	ジェットポンプ
F16N13/02	往復動ピストンをもつもの（分配装置をもつポンプＦ１６Ｎ１３／２２）
F16N13/04	調節できる往復動ポンプ
F16N13/06	潤滑ポンプの作動
F16N2013/063	電気駆動装置をもつもの
F16N2013/066	電磁駆動装置をもつもの
F16N13/08	手動｛または足踏｝によるもの
F16N13/10	機械的駆動をもつもの（Ｆ１６Ｎ１３／１８が優先）
F16N13/12	つめ車をもつもの
F16N13/14	ポンプシリンダに平行な軸上に揺動板またはカムをもつもの
F16N13/16	流体駆動をもつもの
F16N13/18	部品の１つまたは駆動部材の慣性によって生じるポンプ部品の相対運動
F16N13/20	回転ポンプ（分配装置をもつものＦ１６Ｎ１３／２２）
F16N2013/205	スクリューポンプ
F16N13/22	分配装置をもつもの（別々の分配装置Ｆ１６Ｎ２５／００）
F16N15/00	油またはグリース以外の物質による潤滑；特殊な装置または条件において特殊な潤滑剤を使用することを特徴とする潤滑（Ｆ１６Ｎ１７／００が優先；潤滑組成物，特殊物質の潤滑剤としての選択一般Ｃ１０Ｍ；潤滑剤を含む表面をもつ軸受Ｆ１６Ｃ３３／０４；単一の他のクラスにある機械または装置に特別適合させる潤滑は，その機械または装置についての関連クラスを参照）
F16N15/02	グラファイトまたはグラファイトを含む組成をもつもの
F16N15/04	水によるもの（水中で作動する軸受Ｆ１６Ｃ）
F16N17/00	極端な条件下で作動する機械または装置の潤滑（潤滑油または潤滑グリースの添加剤Ｃ１０Ｍ）
F16N17/02	高温におけるもの（タービンのＦ０１Ｄ，Ｆ０２Ｃ；機械または機関一般，内燃機関の潤滑Ｆ０１Ｍ）
F16N17/04	低温におけるもの（冷凍機械の潤滑Ｆ２５Ｂ）
F16N17/06	真空または低圧におけるもの（排気ポンプの潤滑Ｆ０４；Ｘ線管の回転陽極のＨ０１Ｊ３５／１０）
F16N19/00	潤滑装置または潤滑系に用いられる潤滑剤の保存容器
F16N19/003	｛オイルレベルを示すもの（液体レベル一般を測定するものＧ０１Ｆ）｝
F16N19/006	｛オイルレベルを維持するもの（レベル制御一般Ｇ０５Ｄ９／００）｝
F16N21/00	導管；継ぎ手（一般Ｆ１６Ｌ）；潤滑剤注入口における取り付け具
F16N2021/005	モジュールユニット
F16N21/02	潤滑用ニップル
F16N21/04	潤滑装置をニップルに接続するためのノズル
F16N21/06	ニップル，導管または孔をおおうもの
F16N23/00	逆止弁の特殊な用い方（逆止弁一般Ｆ１６Ｋ）
F16N25/00	分配装置　｛分配装置をもつものまたは持たないもの｝
F16N25/02	往復動の分配すべり弁をもつもの
F16N25/04	回転形の分配用部材をもつもの（油ポンプとの結合したものＦ１６Ｎ１３／２２）
F16N27/00	比例装置（液体計量器Ｇ０１Ｆ）
F16N27/005	｛制限するもの｝
F16N27/02	油路の切換装置（多方弁Ｆ１６Ｋ；計量栓Ｇ０１Ｆ）
