F21Y2101/00	点状光源
F21Y2103/00	線状光源，例．蛍光管
F21Y2103/10	点状光を発生する発光素子の線形配列から構成されるもの
F21Y2103/20	多角形状のもの，例．正方形または長方形
F21Y2103/30	曲線状のもの
F21Y2103/33	環状のもの
F21Y2103/37	Ｕ字形のもの
F21Y2105/00	面状光源
F21Y2105/10	点状光を発生する発光素子の２次元配列から構成されるもの
F21Y2105/12	発光素子の幾何学的配列により特徴付けられるもの，例．発光素子を異なるパターンまたは密度で配置するもの
F21Y2105/14	２次元的配列の全体の形状により特徴付けられるもの
F21Y2105/16	正方形または長方形，例．光パネルのためのもの
F21Y2105/18	環状のもの，正方形や長方形以外の多角形のもの，例．スポットライトのため，または軸対象の光線を発生させるためのもの
F21Y2107/00	発光素子を３次元配列した光源
F21Y2107/10	凹面の支持部または基板上に配列したもの，例．ボール状支持の内面上
F21Y2107/20	凸面の支持部または基板上に配列したもの，例．球状支持の外面上
F21Y2107/30	円筒の外面上に配列したもの，例．棒状支持部で円形または多角形の断面をもつもの
F21Y2107/40	多面体の側面上に配列したもの，例．立方体またはピラミッド型
F21Y2107/50	平坦な基板上または支持部上であって，異なる平面上に配置または異なる方向付けで配置したもの，例．発光素子が取付られた板状部材が階段状であるもの
F21Y2107/60	積み上げられた基板上に配置したもの
F21Y2107/70	柔軟または変形可能な支持部又は基板上に配置したもの，例．光源を望む形に変形させるもの
F21Y2107/80	関節のある支持部または基板上に配置するもの
F21Y2107/90	支持部または基板の両面に配置するもの
F21Y2109/00	発光素子が透明または半透明の支持または基板上に配列された光源
F21Y2111/00	グループＦ２１Ｙ２１０１／００〜Ｆ２１Ｙ２１０７／００に包含されない形状の光源
F21Y2113/00	光源の組み合わせ<br><br><u>警告</u><br><br>グループＦ２１Ｙ２１１３／００はグループＦ２１Ｙ２１１３／３０への再分類の影響を受ける。<br>グループＦ２１Ｙ２１１３／００およびＦ２１Ｙ２１１３／３０はコンプリートサーチの完遂のために考慮されるべきである。
F21Y2113/10	異なる色の組み合わせ<br><br><u>警告</u><br><br>グループＦ２１Ｙ２１１３／１０はグループＦ２１Ｙ２１１３／３０への再分類の影響を受ける。<br>グループＦ２１Ｙ２１１３／１０およびＦ２１Ｙ２１１３／３０はコンプリートサーチの完遂のために考慮されるべきである。
F21Y2113/13	点状光源の組立から構成されるもの<br><br><u>警告</u><br><br>グループＦ２１Ｙ２１１３／１３はグループＦ２１Ｙ２１１３／３０への再分類の影響を受ける。<br>グループＦ２１Ｙ２１１３／１３およびＦ２１Ｙ２１１３／３０はコンプリートサーチの完遂のために考慮されるべきである。
F21Y2113/17	１つのカプセル化された光源を形成するもの<br><br><u>警告</u><br><br>グループＦ２１Ｙ２１１３／１７はグループＦ２１Ｙ２１１３／３０への再分類の影響を受ける。<br>グループＦ２１Ｙ２１１３／１７およびＦ２１Ｙ２１１３／３０はコンプリートサーチの完遂のために考慮されるべきである。
F21Y2113/20	異なる形状の組み合わせ<br><br><u>警告</u><br><br>グループＦ２１Ｙ２１１３／２０はグループＦ２１Ｙ２１１３／３０への再分類の影響を受ける。<br>グループＦ２１Ｙ２１１３／２０およびＦ２１Ｙ２１１３／３０はコンプリートサーチの完遂のために考慮されるべきである。
F21Y2113/30	｛可視と非可視のスペクトラムのもの｝<br><br><u>警告</u><br><br>グループＦ２１Ｙ２１１３／３０はグループＦ２１Ｙ２１１３／００，Ｆ２１Ｙ２１１３／１０，Ｆ２１Ｙ２１１３／１３，Ｆ２１Ｙ２１１３／１７およびＦ２１Ｙ２１１３／２０からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F21Y2115/00	半導体発光素子
F21Y2115/10	発光ダイオード［ＬＥＤ］
F21Y2115/15	有起光ダイオード［ＯＬＥＤ］
F21Y2115/20	エレクトロルミネセンス［ＥＬ］光源
F21Y2115/30	半導体レーザー
