F23G1/00	人または動物の死体の火葬炉
F23G5/00	廃棄物の焼却（特定の廃棄物の焼却Ｆ２３Ｇ７／００）；焼却炉の構造；細部，付属具またはその制御
F23G5/002	｛格子に特徴があるもの（Ｆ２３Ｇ５／０５が優先）｝
F23G5/004	｛無限可動格子をもつもの｝
F23G5/006	｛焼却装置の全体的配置，例．フローシート｝
F23G5/008	｛２以上の種類，例．別々の入口から供給される廃棄物で液体および固体，の燃焼に適するもの｝
F23G5/02	前処理をするもの
F23G5/027	熱分解またはガス化の行程を有するもの（汚泥の熱分解Ｃ０２Ｆ１１／００；炭素物質の乾留Ｃ１０Ｂ５３／００）
F23G5/0273	｛間接加熱を用いるもの｝
F23G5/0276	｛直接加熱を用いるもの｝
F23G5/033	粉砕または破砕するもの
F23G5/04	乾燥するもの
F23G5/05	乾燥用火格子を用いるもの
F23G5/08	補助加熱を備えるもの
F23G5/085	｛高温加熱手段，例．廃棄物を部分的に溶融するプラズマ｝
F23G5/10	電気的によるもの
F23G5/12	ガス状または液体燃料を用いるもの（Ｆ２３Ｇ５／１４が優先）
F23G5/14	２次燃焼を含むもの
F23G5/16	分離した燃焼室内で行なうもの
F23G5/165	｛異なったレベルに配置されるもの｝
F23G5/18	煙突内で行うもの
F23G5/20	回転または揺動ドラムを有するもの
F23G5/22	ドラムが円錐形状のもの
F23G5/24	垂直で，ほぼ円筒状の燃焼室を有するもの
F23G5/245	｛孔の開いた底面または格子があるもの｝
F23G5/26	回転する底部をもつもの
F23G5/28	かき出しアームをもつもの
F23G5/30	流動層を有するもの
F23G5/32	廃棄物が旋回運動を受けるもの，例．サイクロン式焼却炉
F23G5/34	廃棄物がピット内で燃焼するもの，または燃焼のために山積みにされるもの
F23G5/36	円錐形燃焼室を有するもの，例．円錐形テント型焼却炉（Ｆ２３Ｇ５／２２が優先）
F23G5/38	多段炉床の構成
F23G5/40	携帯または移動可能な焼却炉
F23G5/42	バスケット型のもの
F23G5/44	細部；付属装置
F23G5/442	｛廃棄物供給装置｝
F23G5/444	｛固体廃棄物用（Ｆ２３Ｇ５／４４８が優先）｝
F23G5/446	｛液体廃棄物用（Ｆ２３Ｇ５／４４８が優先）｝
F23G5/448	｛廃棄物が容器または同等のものに入れられて供給されるもの｝
F23G5/46	熱の回収
F23G5/48	腐食の防止
F23G5/50	制御または安全装置
F23G7/00	産業廃棄物，例．化学薬品，を焼き尽くすための焼却または他の装置（焼却便所Ａ４７Ｋ１１／０２；汚泥の酸化Ｃ０２Ｆ１１／０６；バーナー一般，バーナーの細部Ｆ２３Ｄ；放射性廃棄物の焼却Ｇ２１Ｆ９／００）
F23G7/001	｛水処理装置からでた汚泥または廃棄物用のもの（Ｆ２３Ｇ５／００８が優先）｝
F23G7/003	｛使用済物品用のもの｝
F23G7/005	｛乗用車，車両｝
F23G7/006	｛ワイヤ，ケーブル（金属の製造および精錬Ｃ２２Ｂ，例．スクラップから非鉄金属を生産することＣ２２Ｂ７／００；ケーブルの廃物利用Ｈ０１Ｂ１５／００３）｝
F23G7/008	｛液体廃棄物用のもの（廃油Ｆ２３Ｇ７／０５，廃液Ｆ２３Ｇ７／０４，汚泥Ｆ２３Ｇ７／００１）｝
F23G7/02	バガス，メガスまたはその類似物のためのもの
F23G7/04	廃液，例．亜硫酸液のためのもの
F23G7/05	廃油のためのもの
F23G7/06	廃ガスまたは有害ガス，例．排気ガス，のためのもの（機械，機関一般または内燃機関用排気装置Ｆ０１Ｎ　｛例．Ｆ０１Ｎ３／１０｝；固体または液体燃料の１次燃焼からの未燃焼物のためのものＦ２３Ｂ５／００，Ｆ２３Ｃ９／００）
F23G7/061	｛補助加熱を要するもの｝
F23G7/063	｛電気加熱をするもの｝
F23G7/065	｛ガスまたは液体燃料を使うもの｝
F23G7/066	｛燃焼熱により排ガスを予熱するもの，例．復熱型焼却炉｝
F23G7/068	｛再生型熱回収手段を用いるもの｝
F23G7/07	触媒物質の存在下で燃焼が発生するもの
