F23K1/00	燃焼装置へ送給するための準備における塊状または粉状の燃料の調製
F23K1/02	固体燃料と液体との混合，例．スラリの調製
F23K1/04	燃焼装置へ供給する前の燃料の加熱
F23K3/00	塊状または粉状燃料の燃焼装置への供給または分配
F23K3/02	空気式供給装置，すなわち空気送風によるもの
F23K3/04	機関車ボイラの炉のためのもの
F23K3/06	たて形炉のためのもの
F23K3/08	可動火格子棒をもつ炉のためのもの
F23K3/10	下込め装置
F23K3/12	ピストンによる供給
F23K3/14	スクリューによる供給
F23K3/16	上込め装置
F23K3/18	散布式ストーカ
F23K3/20	可動ホッパをもつもの
F23K3/22	燃料床の厚さの調整
F23K5/00	その他の燃料の燃焼装置への供給または分配
F23K5/002	｛気体燃料｝
F23K5/005	｛中央燃料源から複数のバーナへのもの｝
F23K5/007	｛細部｝
F23K5/02	液体燃料
F23K5/04	ポンプを用いる供給または分配システム（中央燃料源から複数のバーナへの供給または分配Ｆ２３Ｋ５／０６）
F23K5/06	中央燃料源から複数のバーナへの供給または分配
F23K5/08	燃料の調製
F23K5/10	他の燃料との混合
F23K5/12	エマルジョンの調製（水と燃料のエマルジョンを燃焼空間へ噴射するバーナーＦ２３Ｄ１１／１６）
F23K5/14	そのための細部
F23K5/142	｛燃料ポンプ｝
F23K5/145	｛ファンと組合されたもの｝
F23K5/147	｛弁｝
F23K5/16	安全装置（清掃またはパージ装置，例．フィルタＦ２３Ｋ５／１８）
F23K5/18	清掃またはパージ装置，例．フィルタ
F23K5/20	予熱装置（燃焼空間へ小液滴または気化した液体を直接噴霧する作用を用いるバーナにおけるものＦ２３Ｄ１１／４４）
F23K5/22	気化装置（燃焼空間へ小液滴または気化した液体を直接噴霧する作用を用いるバーナにおけるものＦ２３Ｄ１１／４４）
F23K2200/00	固体燃料の前処理および供給
F23K2201/00	固体燃料の前処理
F23K2201/10	粉末化
F23K2201/1003	粉状燃料を製造する処理
F23K2201/1006	炉における使用に適合した粉砕機
F23K2201/101	特定の粒子サイズへのもの
F23K2201/103	加熱気体の供給をともなうもの
F23K2201/20	乾燥
F23K2201/30	分離
F23K2201/50	混合
F23K2201/501	他の燃料または可燃性廃棄物とのもの
F23K2201/503	スラリの調製のための不燃性液体とのもの
F23K2201/505	添加物とのもの
F23K2203/00	供給装置
F23K2203/002	蒸気ボイラ，例．機関車におけるもの，のための供給装置
F23K2203/004	往復動部材のための供給装置
F23K2203/006	粉状燃料のための燃料分配および輸送系
F23K2203/008	粉状燃料のための供給装置
F23K2203/10	供給ライン取付け具
F23K2203/101	摩耗防止装置
F23K2203/102	火炎の逆流安全装置，例．不活性化装置
F23K2203/103	貯蔵装置
F23K2203/104	計量装置
F23K2203/105	複数のバーナに供給するための流量分配装置
F23K2203/20	供給／輸送装置
F23K2203/201	空圧手段を用いるもの
F23K2203/202	ネジを用いるもの
F23K2203/203	ピストンまたはラムを用いるもの
F23K2300/00	液体燃料の前処理および供給
F23K2300/10	前処理
F23K2300/101	磁気または電気の応用
F23K2300/103	他の流体との混合
F23K2300/20	供給ライン設備
F23K2300/201	ポンプ
F23K2300/202	ろ過
F23K2300/203	パージ
F23K2300/204	予熱
F23K2300/205	蒸発
F23K2300/206	制御装置
F23K2400/00	気体燃料の前処理および供給
F23K2400/10	前処理
F23K2400/20	供給ライン設備
F23K2400/201	制御装置
F23K2900/00	燃料供給のための特別な機能または装置
F23K2900/00001	燃料特性の強化のために音波を用いる燃料，液体または気体ともに，の処理
F23K2900/00002	燃料特性の強化のために遠赤外線［ＦＩＲ］を用いる燃料，液体または気体ともに，の処理
F23K2900/01001	排出の低減を成し遂げる燃焼前の固体燃料の浄化
F23K2900/01002	電磁界をともなう燃焼前の固体燃料の処理
F23K2900/01003	真空または圧力低減環境下での固体燃料の粉末化
F23K2900/01041	排気熱の使用による加熱
F23K2900/03001	固体燃料供給ラインにおける流れを阻止するエアロック部
F23K2900/05001	気体または液体供給ラインにおける制御または安全装置
F23K2900/05002	気体燃料供給ラインのための弁
F23K2900/05003	非連続な液体燃料の供給
F23K2900/05004	２以上の液体燃料の混合
F23K2900/05081	燃料の強化のための触媒をともなう燃料の処理
F23K2900/05082	液体燃料からの気体状物質，例．酸素，の除去
F23K2900/05083	液体燃料からの含水留分の分離
F23K2900/05084	液体燃料および空気からなる可燃性の泡の生成
F23K2900/05141	液体燃料供給ラインにおける制御または安全装置
F23K2900/05142	液体燃料の供給ラインのための特別な材料
