F24D1/00	蒸気中央暖房方式（Ｆ２４Ｄ１０／００，Ｆ２４Ｄ１１／００が優先）
F24D1/005	｛家庭給水方式と結合するもの｝
F24D1/02	生蒸気で作用するもの　｛（Ｆ２４Ｄ１／００５が優先）｝
F24D1/04	排出蒸気で作用するもの　｛（Ｆ２４Ｄ１／００５が優先）｝
F24D1/06	過熱蒸気で作用するもの　｛（Ｆ２４Ｄ１／００５が優先）｝
F24D1/08	供給配管装置，例．熱貯蔵槽，膨張水槽を備えたもの
F24D3/00	温水中央暖房方式（Ｆ２４Ｄ１０／００，Ｆ２４Ｄ１１／００が優先）
F24D3/005	｛太陽エネルギーと結合するもの（太陽熱集熱器それ自体Ｆ２４Ｊ２／００）｝
F24D3/02	強制循環によるもの，例．ポンプによるもの（ポンプの構造Ｆ０４）．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．　−ここに分類されている文献は，加熱液体を循環させる特殊手段を有する中央暖房方式に関連するＩＤＴ−グループに分類されていた:．　−ここに分類された文献は，管理上上記ＩＤＴグループからこのグループに再分類された。｝
F24D3/04	高圧を受ける水によるもの
F24D3/06	高圧を持続するための配列または装置
F24D3/08	家庭用温水供給のための方式と結合するもの
F24D3/082	｛そのために特に適合させた貯湯槽｝
F24D3/085	｛二重壁の槽｝
F24D3/087	｛そのために特に適合させた水道水螺旋体｝
F24D3/10	供給配管装置，例．熱貯蔵槽，膨張水槽を備えたもの
F24D3/1008	｛膨張水槽｝
F24D3/1016	槽がゴム製の内袋もつもの
F24D3/1025	圧力頭を制御する圧縮機
F24D3/1033	圧縮ガスボンベをもつもの
F24D3/1041	通過して流れるもの
F24D3/105	｛多用途弁に結合されたポンプ｝
F24D3/1058	｛パイプおよびパイプ接続具の配列｝
F24D3/1066	｛加熱液体用分配器｝
F24D3/1075	モジュールから構築されたもの
F24D3/1083	
F24D3/1091	
F24D3/12	天井，壁，または床下暖房用の管およびパネル装置（電気的な床下暖房Ｆ２４Ｄ１３／０２；ダクトを組み込むための床への特別な適用，例．暖房または換気のためのものＥ０４Ｂ５／４８；特殊な適用，例．導管の設置に役立つこと，に特徴がある建築物の部分構造のためのブロックまたは他の形状の建築要素Ｅ０４Ｃ１／３９；補助的な目的のための特別な適用，例．導管の設置に役立つこと，を有する建築物の部分構造のための比較的薄い形状の建築要素Ｅ０４Ｃ２／５２）
F24D3/122	
F24D3/125	
F24D3/127	
F24D3/14	天井，壁または床に組み込まれたもの
F24D3/141	｛そのために特に適合させたチューブの取付具｝
F24D3/142	｛プレハブ建築要素を統合したもの｝
F24D3/143	有刺アンカーをもつチューブクリップ
F24D3/144	天井蛇腹
F24D3/145	｛壁または床に隠蔽された対流要素｝
F24D3/146	｛床下暖房用に特に適合させたチューブ｝
F24D3/147	｛建物の正面に配置されたもの｝
F24D3/148	伝熱板をもつもの
F24D3/149	管を敷設する装置
F24D3/16	天井，壁または床に直接または隣接して取り付けられたもの
F24D3/165	｛吊り下げ式放射暖房天井｝
F24D3/18	ヒートポンプを使用するもの
F24D5/00	温風気中央暖房方式（Ｆ２４Ｄ１０／００，Ｆ２４Ｄ１１／００が優先；空気調和Ｆ２４Ｆ）；排気ガス中央暖房方式<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類された文献は，温風を加湿するための手段および混合するための手段に関連するＩＤＴ−グループに分類されていた:　−ここに分類された文献は，管理上該ＩＤＴグループからこのグループに再分類された。｝
F24D5/005	｛太陽エネルギーと結合するもの（太陽熱集熱器それ自体Ｆ２４Ｊ２／００）｝
F24D5/02	暖房のため区域または地域に温風を放出して作用するもの
F24D5/04	気体加熱器に空気が戻るもの
F24D5/06	暖房のため区域または地域に温風を放出しないで作用するもの
F24D5/08	温風が放熱器を通って導かれるもの
F24D5/10	熱空気が壁，床または天井の熱交換ダクトを通じて導かれるもの
F24D5/12	ヒートポンプを使用するもの
F24D7/00	グループＦ２４Ｄ１／００からＦ２４Ｄ５／００に包含されない伝熱流体を使用する中央暖房方式，例．油，塩，ガス（Ｆ２４Ｄ１０／００，Ｆ２４Ｄ１１／００が優先）
F24D9/00	グループＦ２４Ｄ１／００からＦ２４Ｄ７／００の２つ以上に包含される伝熱流体との結合を使用する中央暖房方式（Ｆ２４Ｄ１０／００，Ｆ２４Ｄ１１／００が優先）
F24D9/02	温水と蒸気方式
F24D10/00	地域暖房方式
F24D10/003	｛熱交換器を有する家庭用送出装置｝
F24D10/006	｛家庭用直接送出装置｝
F24D11/00	蓄熱体に貯えられた熱を使用する中央暖房方式（自蔵型蓄熱暖房ユニットＦ２４Ｄ１５／０２；蓄熱塊体は関連するサブクラス参照）
F24D11/001	｛地域暖房方式｝
F24D11/002	｛温水方式｝
F24D11/003	｛太陽エネルギーと結合するもの｝
F24D11/004	｛伝統的な補助熱源をもつもの｝
F24D11/005	｛廃熱を回復して使用するもの｝
F24D11/006	｛空気加熱方式｝
F24D11/007	｛太陽エネルギーと結合するもの｝
F24D11/008	｛伝統的な補助熱源をもつもの｝
F24D11/009	｛廃熱を回復して使用するもの｝
F24D11/02	ヒートポンプを使用するもの　｛ヒートポンプを使用するもの（発熱用一般Ｆ２５Ｂ２９／００）｝
F24D11/0207	｛地域暖房方式｝
F24D11/0214	｛温水方式｝
F24D11/0221	｛太陽エネルギーと結合するもの｝
F24D11/0228	｛伝統的な加熱器と結合するもの｝
F24D11/0235	｛廃熱を回復して使用するもの｝
F24D11/0242	｛排気に含まれるもの｝
F24D11/025	｛廃水に含まれるもの｝
F24D11/0257	｛空気加熱方式｝
F24D11/0264	｛太陽エネルギーと結合するもの｝
F24D11/0271	｛伝統的なエネルギーと結合するもの｝
F24D11/0278	｛廃エネルギーを回復して使用するもの｝
F24D11/0285	｛排気に含まれるもの｝
F24D11/0292	｛廃水に含まれるもの｝
F24D12/00	他の中央暖房方式
F24D12/02	１つ以上の加熱源を有するもの（Ｆ２４Ｄ３／１８，Ｆ２４Ｄ５／１２，Ｆ２４Ｄ１１／０２が優先）
F24D13/00	電気暖房方式（電気による水または空気加熱器Ｆ２４Ｈ）
F24D13/02	単に抵抗加熱を使用するもの，例．床下暖房
F24D13/022	｛建築要素に組込まれた抵抗体｝
F24D13/024	｛壁，床，天井に組込まれたもの｝
F24D13/026	｛扉，窓に組込まれたもの｝
F24D13/028	
F24D13/04	その方式におけるセパレートユニット内の熱交換流体を電気加熱するもの
F24D15/00	他の家庭用または区域暖房方式
F24D15/02	加熱ユニットを自蔵するものから成る暖房方式，例．蓄熱暖房器
F24D15/04	ヒートポンプを使用するもの
F24D17/00	家庭用温水供給方式（家庭用または区域暖房方式との結合Ｆ２４Ｄ１／００からＦ２４Ｄ１５／００）
F24D17/0005	｛廃熱を回復して使用するもの（Ｆ２４Ｄ１７／００３６が優先）｝
F24D17/001	｛加熱水を蓄積するもの｝
F24D17/0015	｛太陽エネルギーを使用するもの（Ｆ２４Ｄ１７／００３６が優先）｝
F24D17/0021	｛加熱水を蓄積するもの｝
F24D17/0026	｛伝統的な加熱手段をもつもの（Ｆ２４Ｄ１７／００３６が優先）｝
F24D17/0031	｛加熱水を蓄積するもの｝
F24D17/0036	｛異なる種類の加熱手段と結合するもの｝
F24D17/0042	｛回復した廃熱および太陽エネルギー｝
F24D17/0047	｛加熱水を蓄積するもの｝
F24D17/0052	｛回復した廃熱および伝統的な加熱手段｝
F24D17/0057	｛加熱水を蓄積するもの｝
F24D17/0063	｛太陽エネルギーおよび伝統的な加熱器｝
F24D17/0068	｛加熱水を蓄積するもの｝
F24D17/0073	｛水中に微生物が発生または増殖するのを防止する装置｝
F24D17/0078	｛再循環方式｝
F24D17/0084	同軸で管を付けるもの
F24D17/0089	
F24D17/0094	
F24D17/02	ヒートポンプを使用するもの
F24D18/00	
F24D19/00	細部（水加熱器または空気加熱器に関するものＦ２４Ｈ９／００；一般的な熱交換または熱伝達装置に関するものＦ２８Ｆ）
F24D19/0002	
F24D19/0004	
F24D19/0007	
F24D19/0009	
F24D19/0012	
F24D19/0014	
F24D19/0017	
F24D19/0019	
F24D19/0021	
F24D19/0024	
F24D19/0026	
F24D19/0029	
F24D19/0031	
F24D19/0034	
F24D19/0036	
F24D19/0039	
F24D19/0041	
F24D19/0043	
F24D19/0046	
F24D19/0048	
F24D19/0051	
F24D19/0053	
F24D19/0056	
F24D19/0058	
F24D19/006	
F24D19/0063	
F24D19/0065	
F24D19/0068	
F24D19/007	
F24D19/0073	
F24D19/0075	
F24D19/0078	
F24D19/008	｛ラジエータ用加湿器｝
F24D19/0082	
F24D19/0085	
F24D19/0087	
F24D19/009	
F24D19/0092	｛腐食，ぬめりまたは湯あかを防止または除去する装置｝
F24D19/0095	｛凍結による破損を防止する装置｝
F24D19/0097	
F24D19/02	放熱器のための取付具または支持具の配置
F24D19/0203	床取り付けまたは独立したラジエータ
F24D19/0206	
F24D19/0209	
F24D19/0213	
F24D19/0216	
F24D19/022	枢軸で旋回する，または回転可能なラジエータ
F24D19/0223	
F24D19/0226	
F24D19/023	
F24D19/0233	
F24D19/0236	
F24D19/024	柱形ラジエータ用のためのもの
F24D19/0243	
F24D19/0246	
F24D19/025	
F24D19/0253	
F24D19/0256	
