F24T10/00	地熱集熱器<br><br><u>警告</u><br><br>グループＦ２４Ｔ１０／００はグループＦ２４Ｔ１０／１０，Ｆ２４Ｔ１０／３０，Ｆ２４Ｔ１０／４０，およびＦ２４Ｔ５０／００への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24T10/10	作動流体が地下経路を介して循環し，作動流体が地面と直接に接触しないもの<br><br><u>警告</u><br><br>グループＦ２４Ｔ１０／１０はグループＦ２４Ｔ１０／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｔ１０／１０はまたグループＦ２４Ｔ１０／３０およびＦ２４Ｔ１０／４０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24T10/13	地面のボアホールへの挿入に適した管組み立て体，例．地熱プローブ，を用いるもの
F24T10/15	曲げ管を用いるもの；コネクタまたはリターンヘッダを用いて組み立てられた管を用いるもの
F24T10/17	一端で閉じられた管，すなわちリターン型管，を用いるもの
F24T10/20	作動流体としての地下水を用いるもの；地下に直接注入される作動流体を用いるもの，例．注入井および回収井を用いるもの
F24T10/30	作動流体または中間流体を貯めるための地下貯槽を用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｔ１０／３０はグループＦ２４Ｔ１０／００およびＦ２４Ｔ１０／１０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｔ１０／３０はまたグループＦ２４Ｔ１０／４０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24T10/40	外部エネルギー源なしに作動するもの，例．熱サイフォン循環またはヒートパイプを用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｔ１０／４０はグループＦ２４Ｔ１０／００，Ｆ２４Ｔ１０／１０，およびＦ２４Ｔ１０／３０からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24T2010/50	｛構成部品，細部または付属品｝<br><br><u>警告</u><br><br>グループＦ２４Ｔ５０／００はグループＦ２４Ｔ１０／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｔ１０／００およびＦ２４Ｔ５０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24T2010/53	｛設置のための方法｝
F24T2010/56	｛制御装置｝
F24T50/00	地熱システム（地熱エネルギーからの機械的動力を生成するためのもの｛Ｆ０３Ｇ７／０４｝）<br><br><u>警告</u><br><br>グループＦ２４Ｔ５０／００はグループＦ２４Ｔ１０／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｔ１０／００およびＦ２４Ｔ５０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24T2201/00	予報；模擬実験
