F25D1/00	天然冷空気または冷水を用いる装置
F25D1/02	天然冷水，例．家庭用水道水，を用いるもの
F25D3/00	他の低温物質を用いる装置；蓄冷材を用いる装置
F25D3/005	｛熱交換器と組み合わされたもの｝
F25D3/02	氷を用いるもの，例．アイスボックス
F25D3/04	固定キャビネット
F25D3/045	｛細部｝
F25D3/06	可動コンテナ
F25D3/08	ポータブル，すなわち一人で持ち運びできるもの
F25D3/10	液化ガス,例.液体空気,を用いるもの（半導体装置を冷却するためのものＨ０１Ｌ２３／４４５）
F25D3/102	｛固定キャビネット｝
F25D3/105	｛可動コンテナ｝
F25D3/107	｛ポータブル,すなわち一人で持ち運びできるもの｝
F25D3/11	冷却される物品を冷却空間へ通すためのコンベヤを有するもの
F25D3/12	固体化したガス，例．ドライアイス，を用いるもの
F25D3/122	｛固定キャビネット｝
F25D3/125	｛可動コンテナ｝
F25D3/127	｛冷却される物品を冷却空間へ通すためのコンベヤを有する固定式の装置｝
F25D3/14	ポータブル，すなわち一人で持ち運びできるもの
F25D5/00	吸熱化学反応を用いる装置，例．寒冷を発生させる混合剤を用いるもの
F25D5/02	ポータブル，すなわち一人で持ち運びできるもの
F25D7/00	蒸気を回収しない蒸発効果を用いる装置（冷却装置を有するバターまたはチーズ皿Ａ４７Ｇ１９／２６）
F25D9/00	グループＦ２５Ｄ１／００からＦ２５Ｄ７／００に包含されない装置；グループＦ２５Ｄ１／００からＦ２５Ｄ７／００までの２個以上のグループに包含される装置の組み合わせ
F25D9/005	｛弗化ハロゲン炭化水素(fluorinated halogenous hydrocarbons)を使用するもの｝
F25D11/00	自己内蔵型の可動式装置，例．家庭用冷蔵庫
F25D11/003	｛輸送コンテナ｝
F25D11/006	｛蓄冷容器(cold storage accumulators)をもつもの｝
F25D11/02	異なる温度の冷却区画を有するもの
F25D11/022	｛2個以上の蒸発器をもつもの｝
F25D11/025	｛一次および二次冷却系を使用するもの｝
F25D11/027	｛収着サイクル型のもの｝
F25D11/04	特に冷凍物の貯蔵用に適したもの（Ｆ２５Ｄ１１／０２が優先）
F25D13/00	固定式の装置，例．冷却室
F25D13/02	多数の冷却区画を有するもの，例．冷凍ロッカー方式
F25D13/04	異なる温度の区画をもつもの
F25D13/06	冷却される物品を冷却空間へ通すためのコンベヤを有するもの
F25D13/062	｛冷却されるコンベヤをもつもの｝
F25D13/065	｛物品が液体冷媒中に浸されるもの｝
F25D13/067	｛ガス状冷却流体が循環するもの｝
F25D15/00	冷凍機械と関連した装置でグループＦ２５Ｄ１１／００またはＦ２５Ｄ１３／００に包含されない装置，例．冷凍機械を内蔵しない可動式の装置
F25D16/00	冷凍機械と関連する冷却方式と冷凍機械と関連しない冷却方式との組み合わせを用いる装置
F25D17/00	冷却流体の循環のための機構;冷却空間内での気体,例.空気,の循環のための機構
F25D17/005	｛冷蔵室におけるもの｝
F25D17/02	液体，例．ブライン，循環のためのもの
F25D17/04	気体循環のためのもの，例．対流によるもの
F25D17/042	｛冷却空間内の空気処理手段（空調一般Ｆ２４Ｆ）｝
F25D17/045	｛空気流制御機構｝
F25D17/047	｛均圧装置｝
F25D17/06	強制循環によるもの
F25D17/062	｛家庭用冷蔵庫におけるもの｝
F25D17/065	｛異なる温度の区画をもつもの｝
F25D17/067	｛蒸発器用ファンユニット｝
F25D17/08	ダクトを用いるもの
F25D19/00	装置または冷却される物体に関する冷凍ユニットの配置と取り付け,例.赤外線検出器
F25D19/003	｛可動コンテナに関するもの｝
F25D19/006	｛熱的結合の構造または接続｝
F25D19/02	さし込み（ｐｌｕｇ―ｉｎ）形
F25D19/04	２個以上の冷凍ユニットを有するもの
F25D21/00	除霜；着霜防止；凝縮水または除霜水の除去（熱交換器の氷または水の除去一般Ｆ２８Ｆ１７／００；透明または反射する部分に特に適合した加熱装置Ｈ０５Ｂ３／８４）
F25D21/002	｛除霜制御｝
F25D21/004	｛制御機構（Ｆ２５Ｄ２１／００６が優先）｝
F25D21/006	｛電子制御回路をもつもの｝
F25D21/008	｛タイマーによるもの｝
F25D21/02	凝縮水または霜の存在の検出
F25D21/025	｛空気圧の変化を検知する手段を使用するもの｝
F25D21/04	凝縮水または霜の形成防止
F25D21/06	除霜（除霜サイクルＦ２５Ｂ４７／０２）
F25D21/065	｛機械的手段によるもの｝
F25D21/08	電気加熱によるもの
F25D21/10	流体吹き付けによるもの
F25D21/12	冷凍システムとは別個の熱流体循環方式によるもの
F25D21/125	｛熱流体が周囲空気であるもの｝
F25D21/14	凝縮または除霜水の除去と収集；露受皿
F25D23/00	一般的な構造上の特徴（Ｆ２５Ｄ２１／００が優先）
F25D23/003	｛冷凍機械を冷却するためのもの｝
F25D23/006	｛冷凍機械の構成要素を取り付けるためのもの｝
F25D23/02	とびら；カバー（Ｆ２５Ｄ２３／０８が優先，ロック装置または締め具Ｅ０５Ｂ６５／００４２）
F25D23/021	｛スライド扉｝
F25D23/023	｛エアカーテンによるもの｝
F25D23/025	｛二次的な閉鎖手段(Secondary closures)｝
F25D23/026	｛頂部開口キャビネット用｝
F25D23/028	｛細部｝
F25D23/04	特別の区画，例．バターコンディショナ，を有するもの
F25D23/06	壁（Ｆ２５Ｄ２３／０８が優先；断熱効果をもつ容器Ｂ６５Ｄ８１／３８）
F25D23/061	｛管路手段をもつもの｝
F25D23/062	｛キャビネットを区画するもの｝
F25D23/063	｛パネルの組み立て体により形成されるもの｝
F25D23/064	｛モールド(moulding)により形成されるもの,例.その場(in situ)でのモールド｝
F25D23/065	｛細部｝
F25D23/066	｛ライナー｝
F25D23/067	｛支持要素｝
F25D23/068	｛流体を断熱材の中を通って循環させるための機構｝
F25D23/069	｛冷却空間を分ける仕切り｝
F25D23/08	全体的にまたは主としてプラスチック材料により形成される部材
F25D23/082	細片(Strips) <br><br><u>注</u><br><br> <br>文献が細片を破ることと密封することの両方の説明をしている場合,それはグループF25D23/082のみに分類される。
F25D23/085	｛細片を破るもの（Breaking strips）｝
F25D23/087	｛細片をシールするもの（Sealing strips）｝
F25D23/10	特別の場所にすえつけるための構成，例．ビルトインタイプ，コーナータイプ
F25D23/12	冷却室に付属する区画の配置；他の設備，例．ストーブ，と冷蔵庫との組合せ
F25D23/123	｛バター室｝
F25D23/126	｛冷水器｝
F25D25/00	冷却される物品の充てん，支持およびとりだし
F25D25/005	｛容器を使用するもの｝
F25D25/02	棚によるもの
F25D25/021	｛トレーと組み合わされたもの｝
F25D25/022	｛バスケット｝
F25D25/024	｛スライド可能な棚｝
F25D25/025	｛引き出し｝
F25D25/027	｛回転可能な棚｝
F25D25/028	｛冷却される支持手段｝
F25D25/04	コンベヤによるもの（一般Ｂ６５Ｇ）
F25D27/00	照明配置（一般Ｆ２１）
F25D27/005	｛制御手段と組合わされるもの｝
F25D29/00	制御および安全装置の配置と取り付け
F25D29/001	｛低温流体装置用のもの｝
F25D29/003	｛可動式装置用のもの｝
F25D29/005	｛制御装置の取り付け｝
F25D29/006	｛安全装置｝
F25D29/008	｛警報装置｝
F25D31/00	他の冷却または凍結器具
F25D31/001	｛プレートフリーザ｝
F25D31/002	｛液体の冷却器，例．飲料の冷却器（容器の冷却器Ｆ２５Ｄ３１／００６）｝
F25D31/003	｛冷却要素を浸すもの｝
F25D31/005	｛冷却装置および加熱装置が組み合わされたもの｝
F25D31/006	｛容器,例.タンクの冷却に特に適したもの｝
F25D31/007	｛ボトルまたは缶｝
F25D31/008	｛飲用コップ｝
F25D2201/00	絶縁
F25D2201/10	熱に関するもの
F25D2201/12	絶縁包装材料を用いるもの
F25D2201/122	ルースフィル(loose fill)型のもの
F25D2201/124	繊維状(fibrous)型のもの
F25D2201/126	気泡絶縁(cellular)型のもの
F25D2201/1262	開放セル(open cell)をもつもの
F25D2201/128	絶縁箔(foil)型のもの
F25D2201/1282	反射箔をもつもの
F25D2201/14	減圧(subatmospheric pressure)を用いるもの
F25D2201/30	音に関するもの
F25D2300/00	冷却装置のための特別な機構又は特徴;冷却室(cold room);アイスボックス;ほかのサブクラスで包含されない冷蔵又は冷凍装置
F25D2303/00	
F25D2303/08	蓄冷材,すなわち,氷または他の凍結可能な液体を用いる装置
F25D2303/081	角氷または砕いた氷を用いるもの
F25D2303/082	冷却される製品のための容器の一部を構成しない蓄冷材の内部に配置されるもの,例.アイスパックまたはジェルアキュムレータ(gel accumulator)
F25D2303/0821	容器自体を開く必要なく開くことができる区画室内に配置された要素
F25D2303/0822	要素の細部
F25D2303/08221	要素の固定具または固定手段
F25D2303/08222	要素の形状
F25D2303/08223	角氷の形状をもつもの
F25D2303/083	冷却される製品のための容器の一部を構成する閉じた壁の内部に配置された蓄冷物質を用いるもの
F25D2303/0831	液体が容器の壁同士の間の空間に配置されたもの
F25D2303/0832	容器の一部を構成する閉鎖可能な壁の内部に固定されたアキュムレータパック内に液体が配置されたもの
F25D2303/084	冷却される製品に関連する蓄冷物質の位置
F25D2303/0841	飲料容器,例.瓶,缶,飲料コップまたはピッチャーの外部
F25D2303/0842	瓶,飲料コップ,ピッチャーまたはディスペンサー内の飲料の内部
F25D2303/0843	製品の側方
F25D2303/0844	製品の上方
F25D2303/0845	製品の下方
F25D2303/0846	瓶の首部の周囲
F25D2303/085	蓄冷部室の組成
F25D2317/00	
F25D2317/04	冷却区画への空気流を処理するもの
F25D2317/041	浄化によるもの
F25D2317/0411	除湿
F25D2317/04111	そのための制御手段
F25D2317/0413	加湿
F25D2317/04131	そのための制御手段
F25D2317/0415	脱臭
F25D2317/0416	オゾン発生器を用いるもの
F25D2317/0417	UVランプを用いるもの
F25D2317/043	貯蔵区画に真空を発生することによるもの
F25D2317/06	空気の強制循環を伴うもの
F25D2317/061	特別の区画を通過するもの
F25D2317/062	とびらの内部を通過するもの
F25D2317/063	空気案内手段をもつもの
F25D2317/065	空気の戻りに特徴があるもの
F25D2317/0651	底部を通過
F25D2317/0652	角部(corner)を通過
F25D2317/0653	仕切り(mullion)を通過
F25D2317/0654	側部を通過 
F25D2317/0655	頂部を通過
F25D2317/066	空気の供給に特徴があるもの
F25D2317/0661	底部から
F25D2317/0662	角部(corner)から
F25D2317/0663	仕切り(mullion)から
F25D2317/0664	側部から
F25D2317/0665	頂部から
F25D2317/0666	冷凍室から
F25D2317/0667	冷蔵室から
F25D2317/067	エアーダクトに特徴があるもの
F25D2317/0671	吸気ダクト(Inlet ducts)
F25D2317/0672	吐出ダクト(Outlet ducts)
F25D2317/068	ファンに特徴があるもの
F25D2317/0681	ファンの細部
F25D2317/0682	複数のファン
F25D2317/0683	軸流型ではないファン
F25D2317/0684	逆方向の回転が可能なファン
F25D2321/00	
F25D2321/14	凝縮水または除霜水を集めるもの;凝縮水または除霜水を除くもの;蒸発による除去
F25D2321/141	蒸発による除去
F25D2321/1411	圧縮機の熱を用いるもの
F25D2321/1412	凝縮器の熱またはデスーパーヒーター(desuperheaters)を用いるもの
F25D2321/1413	電気要素からの熱を用いるもの,または除去を強化するための電界を用いるもの(using an electric field for enhancing removal)
F25D2321/142	水滴の案内に特徴があるもの
F25D2321/143	水管または蒸発皿を固定,クランプ,または接続する手段に特徴があるもの
F25D2321/144	落ちた水を集める皿(pans)の構造に特徴があるもの
F25D2321/1441	冷蔵庫の内部にあるもの
F25D2321/1442	冷蔵庫の外部にあるもの
F25D2321/145	複数の皿(pans)に特徴があるもの
F25D2321/146	管または管の接続に特徴があるもの
F25D2321/147	キャピラリー,ウィック,吸着剤,または蒸発要素に特徴があるもの
F25D2323/00	
F25D2323/0011	冷蔵庫のレベリング(leveling)のための手段
F25D2323/002	冷却冷凍機械(cooling refrigerating machinery)の細部
F25D2323/0021	空気の案内手段を用いるもの
F25D2323/0022	複数の空気流を用いるもの
F25D2323/0023	空気流冷凍冷却機械(air flow cooling refrigerating machinery)の制御
F25D2323/0024	空気流冷凍冷却機械(air flow cooling refrigerating machinery)のフィルター
F25D2323/0026	流入してくる空気流(incoming air flow)に特徴があるもの
F25D2323/00261	背底側(back bottom side)を通過して
F25D2323/00262	背頂側(back top side)を通過して
F25D2323/00263	背角側(back corner side)を通過して
F25D2323/00264	前底部(front bottom part)を通過して
F25D2323/00265	前頂部(front top part)を通過して
F25D2323/00266	底部(bottom)を通過して
F25D2323/00267	側面(side)を通過して
F25D2323/00268	頂部(top)を通過して
F25D2323/0027	出て行く空気流(out-flowing air)に特徴があるもの
F25D2323/00271	背底(back bottom)から
F25D2323/00272	背頂(back top)から
F25D2323/00273	背角(back corner)から
F25D2323/00274	前底(front bottom)から
F25D2323/00275	前頂(front top)から
F25D2323/00276	底部(bottom)から
F25D2323/00277	側面(side)から
F25D2323/00278	頂部(top)から
F25D2323/0028	ファンに特徴があるもの
F25D2323/00281	複数のファン
F25D2323/00282	軸流型ではないファン
F25D2323/00283	逆方向の回転が可能なファン
