F28G1/00	非回転，例．往復動，機器（Ｆ２８Ｇ３／００が優先）
F28G1/02	はけをもつもの（｛Ｆ２８Ｇ１／１２が優先｝；はけＡ４６Ｂ）
F28G1/04	関節のある道具をもつもの，例．鎖状に組み立てられたもの
F28G1/06	コイル状針金道具をもつもの，すなわちかご形
F28G1/08	スクレーパ，ハンマまたはカッタをもつもの，例．固定的に取り付けたもの
F28G1/10	弾性的に取り付けたもの
F28G1/12	流体推進スクレーパ，弾丸または固体様のもの
F28G1/125	｛流動逆転により強制的に前後動されるもの｝
F28G1/14	引き通し棒
F28G1/16	くずを除去するため流体噴射を用いるもの（Ｆ２８Ｇ１／１２が優先）
F28G1/163	｛熱交換管の内面からのもの｝
F28G1/166	｛熱交換管の外面からのもの｝
F28G3/00	回転機器
F28G3/02	研摩具をもつもの
F28G3/04	はけをもつもの（はけＡ４６Ｂ）
F28G3/06	関節のある道具をもつもの，例．鎖状に組み立てられたもの
F28G3/08	コイル状針金道具をもつもの，すなわちかご形
F28G3/10	スクレーパ，ハンマまたはカッタをもつもの，例．固定的に取り付けたもの
F28G3/12	弾性的に取り付けたもの
F28G3/14	遠心力により動作位置に投入されるもの
F28G3/16	くずを除去するための流体噴射を用いるもの
F28G3/163	｛熱交換管の内面からのもの｝
F28G3/166	｛熱交換管の外面からのもの｝
F28G5/00	ねじりによる清掃（振動によるものＦ２８Ｇ７／００）
F28G7/00	振動｛または圧力波｝による清掃
F28G7/005	｛爆発によるもの；燃焼プロセスにより生じる圧力波によるもの｝
F28G9/00	フラッシングまたは洗浄による清掃，例．化学的溶剤による（くずを除去するため流体噴射を用いる機器Ｆ２８Ｇ１／１６，Ｆ２８Ｇ３／１６）
F28G9/005	｛再生熱交換器のもの｝
F28G11/00	燃焼法による清掃，例．爆竹（squibs）を用いるもの，移動バーナを用いるもの｛（Ｆ２８Ｇ７／００５が優先）｝
F28G13/00	グループＦ２８Ｇ１／００〜Ｆ２８Ｇ１１／００に包含されない機器または方法；グループＦ２８Ｇ１／００〜Ｆ２８Ｇ１１／００に包含される機器または方法の組み合わせ
F28G13/005	｛熱交換面の温度の上昇による清掃（Ｆ２８Ｇ７／００５，Ｆ２８Ｇ１１／００が優先）｝
F28G15/00	細部（沈積物の厚さの測定Ｇ０１Ｂ）
F28G15/003	｛制御装置｝
F28G2015/006	｛使用後の清掃流体を処理するための装置，例．ろ過および再利用｝
F28G15/02	清掃具の支持装置，例．フレーム
F28G15/04	供給および駆動装置，例．動力駆動
F28G15/06	自動的逆動装置
F28G15/08	導管内の清掃具の配置場所
F28G15/10	被清掃面の境界を定めるための覆い
