G01C1/00	角度の測定
G01C1/02	経緯儀
G01C1/04	カメラと組み合わされたもの
G01C1/06	スケール読取装置
G01C1/08	六分儀
G01C1/10	人工水平を含むもの（Ｇ０１Ｃ１／１４が優先）
G01C1/12	安定ミラーをもつもの
G01C1/14	潜望鏡型六分儀
G01C3/00	視準線上の距離測定；光学的距離計（測長用テープ，くさりまたはホイールＧ０１Ｂ３／００；アクティブ三角測量方式，即ち，電波以外の電磁波の送信および反射を使用する方式Ｇ０１Ｓ１７／４８）
G01C3/02	細部
G01C3/04	望遠鏡または双眼鏡と組み合わせるための距離計の適用
G01C3/06	最終指示値を得るための電気的手段の使用
G01C3/08	電気的輻射検出器の使用
G01C3/085	｛電子的な視差の測定をともなうもの｝
G01C3/10	可変角度と観測地点内，例．機器内，における固定長の基線とからなる視差三角形を使用するもの
G01C3/12	単一地点で単眼鏡観測するもの，例．合致式（Ｇ０１Ｃ３／２０が優先）
G01C3/14	単一地点で双眼鏡観測するもの，例．ステレオ式（Ｇ０１Ｃ３／２０が優先）
G01C3/16	測定用マーク
G01C3/18	基線の両端で一観測点を観測するもの（Ｇ０１Ｃ３／２０が優先）
G01C3/20	目標物の高さの測定に適用するもの
G01C3/22	可変角と，目標またはその付近あるいは目標自身により形成された固定長の基線とからなる視差三角形を使用するもの
G01C3/24	固定角と，観測地点内，例．機器内，における可変長の基線とからなる視差三角形を使用するもの
G01C3/26	固定角と，目標またはその付近，または目標自身により形成される可変長基線からなる視差三角形を使用するもの
G01C3/28	水平面への距離の縮小のための設備を有するもの
G01C3/30	目標の高さの測定に適用するもの，例．視距儀
G01C3/32	目標物を焦点合せすることによるもの，例．すりガラススクリーン上に
G01C5/00	高さの測定；視準線に直交する距離の測定；離れた地点間の水準測量；測量用水準儀（Ｇ０１Ｃ３／２０，Ｇ０１Ｃ３／３０が優先）
G01C5/005	｛飛行機の高度計（Ｇ０１Ｃ５／０２，Ｇ０１Ｃ５／０６が優先）｝
G01C5/02	視準線の自動安定装置を含むもの
G01C5/04	静水力学的水準測量，すなわち．離れた点にある液体容器を可撓的に結合したもの
G01C5/06	気圧計の使用によるもの
G01C7/00	プロフィルの追跡（写真計量または映像計量によるものＧ０１Ｃ１１／００）
G01C7/02	地表面の
G01C7/04	追跡されるプロフィルに沿って移動する乗物を含むもの
G01C7/06	空洞，例．トンネル，の
G01C9/00	傾斜の測定，例．クリノメーターによるもの，水準器によるもの
G01C9/005	｛飛行機での使用に特に適合したもの｝
G01C9/02	細部
G01C9/04	感知素子と拡大した読取りを得るための最終指示部との間の伝達手段
G01C9/06	電気的もしくは光電的指示または読取手段
G01C2009/062	｛容量型のもの｝
G01C2009/064	｛誘導型のもの｝
G01C2009/066	｛光学的なもの｝
G01C2009/068	｛抵抗型のもの｝
G01C9/08	機器の移動による加速力の補正手段
G01C9/10	ころがる物体，｛例．球，円筒，水銀滴｝，の使用によるもの
G01C2009/102	｛円筒｝
G01C2009/105	｛水銀滴｝
G01C2009/107	｛球｝
G01C9/12	単一振子の使用によるもの（下げ振糸Ｇ０１Ｃ１５／１０）
G01C9/14	二方向以上に可動なもの
G01C9/16	複数の振子の使用によるもの
G01C9/18	液体の使用によるもの
G01C2009/182	｛導電性のもの｝
G01C2009/185	｛誘電性のもの｝
G01C2009/187	｛磁気的，例．強磁性，のもの｝
G01C9/20	容器に対する液面の傾斜にもとづく指示
G01C9/22	相互に固定的に連結された容器をもつもの
G01C9/24	気泡を残すように密閉容器中に部分的に液体を満したもの
G01C9/26	細部
G01C9/28	支持台
G01C9/30	気泡の大きさを調整する手段
G01C9/32	気泡の位置の観測を容易ならしめる手段，例．照明手段
G01C9/34	気泡管式の，すなわち一方向のみのレベルを示すためのもの
G01C9/36	球面式の，すなわちすべての方向のレベルを示すためのもの
G01C11/00	写真計測または映像計量，例．ステレオ計量；写真測量
G01C11/02	写真計測または写真測量に特に適合する写真撮影装置，例．写真の重なりを制御するもの
G01C11/025	｛対象物の走査によるもの｝
G01C11/04	写真の判読
G01C11/06	同一地域の２枚以上の写真の比較によるもの
G01C11/08	撮影されたときと同じ相対位置に写真を支持しないもの
G01C11/10	写真の位置の制御に計算器を使用するもの
G01C11/12	撮影されたときと同じ相対位置に写真を支持するもの
