G01P1/00	計器の細部
G01P1/003	｛制動に使用されるもの｝
G01P1/006	｛熱補償に使用されるもの｝
G01P1/02	ハウジング
G01P1/023	｛加速度測定装置に関するもの｝
G01P1/026	｛速度測定装置，例．パルス発生器に関するもの｝
G01P1/04	駆動手段の特殊な適合
G01P1/06	｛ＩＰＣ２｝　指示または記録装置，例．遠隔指示に関するもの　｛（指示または記録一般；　乗物の稼動を登録または指示するものＧ０７Ｃ５／００）｝．[Ｎ:<br><br><u>注</u><br><br>．．２００５年４月１日以降，このグループは新しい文献の分類に使用されていない．このグループに属する未処理文献は継続的にＧ０１Ｐ１／０７，およびＧ０１Ｐ１／１２とそのサブグループに再分類されている]
G01P1/07	指示装置，例．遠隔指示用（乗物の稼動状態を指示するものＧ０７Ｃ５／００）
G01P1/08	目盛，指針，ランプまたは音響式指示器の配置，例．自動車用速度計における配置
G01P1/10	設定速度指示用
G01P1/103	｛被測定信号値と１または数個の基準値との比較によるもの（一般Ｇ０１Ｒ１７／００）｝
G01P1/106	｛２のインパルス間の持続時間と基準時間との比較によるもの｝
G01P1/11	指示指針の位置の検出によるもの
G01P1/12	記録装置（乗物の稼動状態の指示Ｇ０７Ｃ５／００）
G01P1/122	｛速度記録装置｝
G01P1/125	｛記録ディスクをもつもの｝
G01P1/127	｛加速度の値用｝
G01P1/14	永久的記録用｛（Ｇ０１Ｐ１／１２５が優先）｝　
G01P1/16	消去可能記録，例．磁気記録，用
G01P3/00	直線速度または角速度の測定；直線速度の差または角速度の差の測定（Ｇ０１Ｐ５／００からＧ０１Ｐ１１／００が優先；｛方向と速度の指示Ｇ０１Ｐ１３／０４５｝；計数機構Ｇ０６Ｍ）<br><br><u>注</u><br><br>このグループのサブグループはもっとも重要な測定方法によって区別されている．したがって最終指示を与える他の方法の単なる応用はこの分類付与に影響しない．
G01P3/02	機械的手段の使用によって特徴づけられた装置
G01P3/04	２つの速度の比較によるもの
G01P3/06	摩擦歯車を用いるもの
G01P3/08	差動歯車を用いるもの
G01P3/10	一定時間内の指示素子，例．指針，の作用によるもの
G01P3/12	衝激による励振作用を利用したもの
G01P3/14	１または複数の機械的共振系の励振によるもの
G01P3/16	重錘の遠心力を利用するもの　｛（ガバナＧ０５Ｄ１３／１０）｝
G01P3/18	機械的手段による指示計への伝達
G01P3/20	流体手段による指示計への伝達
G01P3/22	電気的または磁気的手段による指示計への伝達
G01P3/24	摩擦効果を利用するもの（Ｇ０１Ｐ３／０６が優先）
G01P3/26	流体の使用によって特徴づけられた装置
G01P3/263	｛流体式インパルス発生器を利用するもの｝
G01P3/266	｛うず室を利用するもの｝
G01P3/28	ポンプを用いるもの
G01P3/30	流体の遠心力を用いるもの
G01P3/32	固定容器に連通する回転容器におけるもの
G01P3/34	摩擦効果を用いるもの
G01P3/36	光学的手段の使用によって特徴づけられた装置，例．赤外線，可視光線または紫外線の使用（Ｇ０１Ｐ３／６８が優先；サニャック効果，すなわち，互いに反対方向へ回転する電磁ビーム間の回転誘導偏移，を用いたジャイロメータＧ０１Ｃ１９／６４）
G01P3/363	｛リングレーザーの利用によるもの（リングレーザー一般Ｈ０１Ｓ３／０８３）｝．．<br><br><u>｛注</u><br><br>．．．．２００５年４月１日以降，このグループは新しい文献の分類に使用されていない．このグループに属する未処理文献は継続的にＧ０１Ｃ１９／６４とそのサブグループに再分類されている｝
G01P3/366	｛光の回折の利用によるもの（流体速度を測定するものＧ０１Ｐ５／２６）｝
G01P3/38	写真式手段を用いるもの
G01P3/40	ストロボ式手段を用いるもの
G01P3/42	電気的または磁気的手段の使用によって特徴づけられた装置（Ｇ０１Ｐ３／６６が優先；電気的または磁気的値の測定一般Ｇ０１Ｒ）
G01P3/44	角速度の測定用（Ｇ０１Ｐ３／５６が優先）
G01P3/443	｛軸受に装着されるもの（軸受Ｆ１６Ｃ）｝
G01P3/446	｛軸方向に間隔をおいて配置される２列の転動体の間に装着されるもの｝
G01P3/46	発生電流または電圧の振幅測定によるもの　｛（一般Ｇ０１Ｒ１９／００）｝
G01P3/465	｛ダイナモ回転速度計または発電器を利用するもの｝
G01P3/48	発生電流または電圧の周波数測定によるもの　｛（一般Ｇ０１Ｒ２３／００）｝
G01P3/4802	｛電子回路を利用するもの一般｝
G01P3/4805	｛被発生パルスの電気的積分を行う回路を利用するもの（積分によるインパルス周波数の測定Ｇ０１Ｒ２３／０９）｝
G01P3/4807	｛内燃機関の点火装置からのパルスを検出する回路を利用するもの｝
G01P3/481	パルス信号であるもの
G01P3/4815	｛パルスワイヤセンサの利用，例．ウィーガンドワイヤ｝
G01P3/482	核放射線検出器からのもの
G01P3/483	可変容量型検出器からのもの
G01P3/484	接触スイッチからのもの
G01P3/486	光電型検出器からのもの
G01P3/487	回転磁石によるもの
G01P3/488	可変磁気抵抗型検出器からのもの
G01P3/489	そのためのデイジタル回路
G01P3/49	うず電流を利用するもの
G01P3/495	指示手段が，渦電流と発生した磁界とにより生じた力に応動するもの
G01P3/4953	｛しゃへい距離の計数器を有するもの（しゃへい距離の測定Ｇ０１Ｃ２２／００）｝
G01P3/4956	｛熱補償を行うもの｝
G01P3/50	直線速度の測定用（Ｇ０１Ｐ３／５６が優先）
G01P3/505	｛うず電流を利用するもの｝
G01P3/52	発生電流または電圧の振幅測定によるもの
G01P3/54	発生電流または電圧の周波数測定によるもの
G01P3/56	２速度の比較用
G01P3/565	｛発生電流または電圧の位相測定または比較によるもの（位相比較器それ自体Ｈ０３Ｄ１３／００；位相測定Ｇ０１Ｒ２５／００）｝
G01P3/58	発生電流または電圧の振幅の測定または比較によるもの　｛（振幅比較器Ｈ０３Ｋ５／２４）｝
G01P3/60	発生電流または電圧の周波数の測定または比較によるもの　｛（周波数比較器Ｈ０３Ｋ５／２６）｝
G01P3/62	高度による大気圧の変化を測定することによって特徴づけられた速度の垂直成分測定装置（圧力測定一般Ｇ０１Ｌ）
G01P3/64	一定距離の走行時間測定によることによって特徴づけられた装置
G01P3/66	電気的または磁気的手段を用いるもの（Ｇ０１Ｐ３／８０が優先；短い時間間隔の測定Ｇ０４Ｆ８／００，Ｇ０４Ｆ１０／００）
G01P3/665	｛入射粒子速度の測定に関するもの｝
G01P3/68	光学的手段を用いるもの，すなわち．赤外線，可視光線または紫外線を用いるもの（Ｇ０１Ｐ３／８０が優先；　｛波の反射によるものＧ０１Ｓ１７／５８）｝
G01P3/685	｛入射粒子速度の測定に関するもの｝
G01P3/80	自己相関検出手段または相互相関検出手段を用いるもの
G01P3/803	｛Ｇ０１Ｐ３／６６に分類されるべき種類の装置におけるもの｝
G01P3/806	｛Ｇ０１Ｐ３／６８に分類されるべき種類の装置におけるもの｝
G01P5/00	流体，例．空気流，の速度の測定；流体に対する物体，例．船舶の，航空機の，相対速度の測定（流体の量を測るために速度測定装置を用いるものＧ０１Ｆ）
G01P5/001	｛全視野流れ測定，例．全領域における流れの速度と方向の同時決定，流れの視覚化｝
G01P5/003	｛障害物正面の流体レベルの測定によるもの｝
G01P5/005	｛流体内に向けられるジェット噴流の利用によるもの｝
G01P5/006	｛使用されるジェット噴流はイオン化または放射性粒子である｝
G01P5/008	｛流体に加えた電解質の利用によるもの｝
G01P5/01	スワール渦型流速計
G01P5/02	流体によって固体に働く力の測定によるもの，例．風速計
G01P5/04	バッフル板の偏りを用いるもの
G01P5/06	翼の回転を用いるもの（回転軸の速度測定Ｇ０１Ｐ３／００）
G01P5/065	｛指示装置への機械的結合をもつもの｝
G01P5/07	指示装置へ電気的結合をするもの
G01P5/08	流れに直接影響される電気的変量の変化測定によるもの，例．発電作用の利用によるもの
G01P5/083	｛動電効果を測定する電子回路の利用によるもの｝
G01P5/086	｛動電効果を測定する特殊配置および構造の利用によるもの｝
G01P5/10	温度変量の測定によるもの
G01P5/12	加熱導体の抵抗変化を利用するもの
G01P5/14	流体における差圧測定によるもの
G01P5/16	ピトー管を利用するもの　｛例．マッハ計｝
G01P5/165	ピトー管の配置または構造
G01P5/17	指示装置への結合装置
G01P5/175	マッハ数を決定するもの（そのためのアナログ計算機Ｇ０６Ｇ７／５７）
G01P5/18	流体が一定距離を走行する時間の測定によるもの
G01P5/20	流体の流れによって運ばれる粒子を利用するもの（Ｇ０１Ｐ５／２２が優先）
G01P5/22	自己相関検出手段または相互相関検出手段を用いるもの
G01P5/24	流れている流体が検出音波の特性に及ぼす直接の影響を測定することによる
G01P5/241	｛音響波の反射を用いることによるもの，すなわちドップラー効果｝
G01P5/242	｛連続的，例．変調されたもしくは未変調の，波を包含するもの（Ｇ０１Ｐ５／２４４が優先）｝
G01P5/244	｛パルス化された波を包含するもの｝
G01P5/245	｛音響波の伝播時間を測定することによるもの（音響波の伝播速度の測定それ自体Ｇ０１Ｈ５／００）｝
G01P5/247	｛シングアラウンド系｝　Ｎ０５０４｝
