G02C1/00	ブリッジまたはブローバーをもつレンズの組立体
G02C1/02	縁を使わないレンズで保持するブリッジまたはブローバー
G02C1/023	｛レンズ内にねじ穴を有しない締付け，　ルーティング，はんだ付けにより縁に保持されるレンズをもつもの（Ｇ０２Ｃ１／０４〜Ｇ０２Ｃ１／０８が優先）｝
G02C1/026	｛補助バーをもつもの　（Ｇ０２Ｃ１／０４〜Ｇ０２Ｃ１／０８が優先）｝
G02C1/04	部分的縁を保持し，またはそれと一体をなすブリッジまたはブローバー，例．レンズを保持する部分的に可撓性の縁をもつもの
G02C1/06	レンズを抱く閉じた固い縁を保持し，またはそれと一体をなすブリッジまたはブローバー
G02C1/08	横に分割できる縁と保持手段をもつ縁
G02C1/10	
G02C3/00	レンズ組立部材または片眼鏡のための特殊保持具（そのためのレンズＧ０２Ｃ７／００）
G02C3/003	｛頭への装着および固定具｝
G02C3/006	
G02C3/02	頭当てによる保持具
G02C3/04	手による保持具，例．柄付眼鏡，器物による保持具（ステッキによるものＡ４５Ｂ３／００）
G02C5/00	非光学部品の構造
G02C5/001	｛他に分類されないあるいは技術的特性からは完全には分類可能でない，特殊目的に特に適合するもの，　例．治療用眼鏡｝　
G02C5/003	｛発射または照準用眼鏡｝　
G02C5/005	｛片目に接近可能な眼鏡，例．メーキャップ応用のためのもの｝　
G02C5/006	｛折りたたみ式枠｝
G02C5/008	
G02C5/02	ブリッジ；ブローバー；中間バー（鼻当て面Ｇ０２Ｃ５／１２）
G02C5/04	調整手段をもつもの
G02C5/045	｛レンズの水平距離を変えるためのもの｝
G02C5/06	弾力性の手段をもつもの
G02C5/08	折りたためるもの
G02C5/10	中間バーまたはブリッジと側部部材間のバー
G02C5/12	鼻当て；ブリッジまたは縁の鼻掛け面
G02C5/122	｛調整手段をもつもの｝
G02C5/124	｛レンズの位置を垂直に変えるためのもの｝
G02C5/126	
G02C5/128	
G02C5/14	側部部材
G02C5/143	
G02C5/146	
G02C5/16	弾性または弾力性の部分をもつもの
G02C5/18	補強したもの
G02C5/20	調整できるもの，望遠鏡的伸縮機構のもの
G02C5/22	蝶番（枢軸結合一般Ｆ１６Ｃ１１／００）
G02C5/2209	｛枢軸軸受けおよび蝶番ボルト｝
G02C5/2218	｛弾力性の蝶番｝
G02C5/2227	
G02C5/2236	
G02C5/2245	
G02C5/2254	
G02C5/2263	｛複合蝶番，例．レンズの傾斜を変えるためのもの｝
G02C5/2272	
G02C5/2281	
G02C5/229	
G02C7/00	光学部材（材料によって特徴があるものＧ０２Ｂ１／００）
G02C7/02	レンズ；レンズ系
G02C7/021	｛識別のためのパターンをもつものまたは化粧または治療効果をもつもの（方法および処理が優先，　例．　印刷，　マーク付けまたは複写処理Ｂ４１Ｍ；　識別一般Ｇ０９Ｆ３／００；　装飾的効果を生じるもの一般Ｂ４４Ｃ；　ガラスの表面処理Ｃ０３Ｃ１５／００〜Ｃ０３Ｃ２３／００；　レンズの位置決めまたはマーク付けＢ２４Ｂ１３／００５５）｝
G02C7/022	
G02C7/024	
G02C7/025	
G02C7/027	
G02C7/028	
G02C7/04	コンタクトレンズ（コンタクトレンズの消毒または殺菌Ａ６１Ｌ１２／００）
G02C7/041	｛二重焦点；多重焦点｝　
G02C7/042	
G02C7/043	
G02C7/044	
G02C7/045	
G02C7/046	｛着色されたもの｝　
G02C7/047	
G02C7/048	
G02C7/049	
G02C7/06	二重焦点；多重焦点　｛（Ｇ０２Ｃ７／０４１が優先）｝　
G02C7/061	
G02C7/063	
G02C7/065	
G02C7/066	
G02C7/068	
G02C7/08	補助レンズ；焦点距離を変えるためのもの
G02C7/081	
G02C7/083	
G02C7/085	
G02C7/086	
G02C7/088	
G02C7/10	フイルター，例．眼の暗所順応を容易にするためのもの；サングラス
G02C7/101	｛電気光学的光バルブをもつもの（電気光学素子それ自体Ｇ０２Ｆ）｝
G02C7/102	
G02C7/104	
G02C7/105	
G02C7/107	
G02C7/108	
G02C7/12	偏光板
G02C7/14	反射鏡；プリズム
G02C7/16	日除け；遮蔽具；オブチュレーター，例．ピンホールをもつもの，スロットをもつもの　｛（Ｇ０２Ｃ５／００３が優先）｝　
G02C7/165	｛ステノパエ開口を有するもの｝
G02C9/00	補助光学部品の取り付け（補助光学部品それ自体Ｇ０２Ｃ７／０８〜Ｇ０２Ｃ７／１６）
G02C9/02	蝶番によるもの
G02C9/04	はめ込みまたは締付けによるもの
G02C11/00	非光学付属品；そのアタッチメント（Ｇ０２Ｃ７／１６が優先；ケースＡ４５Ｃ１１／０４）
G02C11/02	装飾物，例．交換できるもの
G02C11/04	照明手段
G02C11/06	補聴器（補聴器の構造Ｈ０４Ｒ２５／００）
G02C11/08	防曇手段，例．換気，加熱（Ｈ０５Ｂ３／８４が優先）；ワイパー
G02C11/10	
G02C11/12	
G02C13/00	組立て（プラスチックを用いる眼鏡枠の製造Ｂ２９Ｄ１２／０２）；修繕；清掃（コンタクトレンズの消毒または殺菌Ａ６１Ｌ１２／００）　
G02C13/001	｛修繕｝
G02C13/003	｛眼鏡の組立て中の測定｝
G02C13/005	｛眼鏡枠内の眼科用レンズの位置確認に必要な幾何学的パラメータの測定　（眼を検査するための試験装置または計器それ自体Ａ６１Ｂ３／００；　眼鏡を指形として使用してレンズの端を研削するための機械または装置および付属品Ｂ２４Ｂ９／１４４）｝
G02C13/006	
G02C13/008	
G02C2200/00	
G02C2200/02	
G02C2200/04	
G02C2200/06	
G02C2200/08	
G02C2200/10	
G02C2200/12	
G02C2200/14	
G02C2200/16	
G02C2200/18	
G02C2200/20	
G02C2200/22	
G02C2200/24	
G02C2200/26	
G02C2200/28	
G02C2200/30	
G02C2200/32	
G02C2202/00	
G02C2202/02	
G02C2202/04	
G02C2202/06	
G02C2202/08	
G02C2202/10	
G02C2202/12	
G02C2202/14	
G02C2202/16	
G02C2202/18	
G02C2202/20	
G02C2202/22	
G02C2202/24	
