G06E1/00	専らデジタルデータを処理するための装置
G06E1/02	取り扱うデータの順序または内容を操作するもの
G06E1/04	専ら位取り記数法を用いて計算を行なうためのもの，例．二進法，三進法，十進法を用いるもの
G06E1/045	｛マトリックスまたはベクトル計算｝
G06E1/06	デジタルな非位取り記数法，すなわち，基数を用いない数表現を用いて計算を行なうためのもの；位取り記数法と非位取り記数法の組合せを用いるもの
G06E1/065	｛剰余計算を用いるもの｝
G06E3/00	グループＧ０６Ｅ１／００に分類されない装置，例．アナログまたはハイブリッドデータを処理するためのもの｛ハイブリッド装置用暫定的にＧ０６Ｊも参照｝
G06E3/001	｛数学的演算が光学的または電気光学的素子の補助で実行されるアナログ装置（光学素子それ自体Ｇ０２Ｂ；共通基板の中または上に形成された光感受性半導体構成品を含む複数の固体素子構成品から成る装置Ｈ０１Ｌ２７／１４；電気，磁気または音響光学，非線形光学Ｇ０２Ｆ１／００；グラフ読み取りＧ０６Ｋ１１／００）｝
G06E3/003	｛積の積分の実施，例．フーリエ積分，ラプラス積分，相関積分；直交関数を用いる関数の解析または合成のためのもの｝
G06E3/005	｛電気光学的またはオプトエレクトニクス手段を用いるもの｝
G06E3/006	｛相互接続ネットワーク，例．シャッフル用｝
G06E3/008	｛マトリックスまたはベクトル計算（暫定的にＧ０６Ｅ３／００１参照）｝
