G16Y10/00	業種
G16Y10/05	農業
G16Y10/10	林業
G16Y10/15	漁業
G16Y10/20	鉱業
G16Y10/25	製造業
G16Y10/30	建設業
G16Y10/35	公益事業，例．電気，ガスまたは水
G16Y10/40	交通
G16Y10/45	商業
G16Y10/50	金融；保険
G16Y10/55	教育
G16Y10/60	健康；福祉
G16Y10/65	エンターテインメントまたは娯楽；スポーツ
G16Y10/70	放送
G16Y10/75	情報技術；通信
G16Y10/80	住宅；建物
G16Y10/90	化学
G16Y20/00	モノにより探知または収集された情報
G16Y20/10	環境に関するもの，例．温度；場所に関連するもの
G16Y20/20	モノそれ自体に関するもの
G16Y20/30	資源に関するもの，例．消費電力
G16Y20/40	個人情報に関するもの，例．生体情報，記録または嗜好
G16Y30/00	ＩｏＴインフラストラクチャ
G16Y30/10	その安全性
G16Y40/00	情報処理の目的に特徴があるＩｏＴ
G16Y40/10	検知；監視
G16Y40/20	分析；診断
G16Y40/30	制御
G16Y40/35	モノの管理，すなわちポリシーに従ったまたは特定の目的を達成するための制御
G16Y40/40	モノの保守
G16Y40/50	安全；モノ，使用者，データまたはシステムの安全性
G16Y40/60	位置決め；ナビゲーション
