H04H20/00	放送または放送と協働する配信のための配置
H04H20/02	放送における中継
H04H20/04	フィールドピックアップユニットからの中継
H04H20/06	放送局間中継
H04H20/08	端末機器間中継
H04H20/10	配信時に情報を差し替えまたは切り替えるためのもの
H04H20/103	｛送信側のスイッチング｝
H04H20/106	｛受信側のスイッチング｝
H04H20/12	監視，試験または故障対策
H04H20/14	プログラムの監視
H04H20/16	同一の情報を繰り返し配信するもの
H04H20/18	複数のシステムにおける配信の同期をとるもの
H04H20/20	同一の情報を複数のシステムそれぞれで配信するもの
H04H20/22	複数の放送システムによる同一の情報の配信
H04H20/24	放送システムと非放送システムによる同一の情報の配信
H04H20/26	配信システムの切り替え
H04H20/28	複数の情報を一のシステムで同時に放送するもの
H04H20/30	単一チャネルによるもの
H04H20/31	帯域内信号，例．可聴下周波，キュー信号，を用いるもの
H04H20/33	複数チャネルによるもの
H04H20/34	帯域外副搬送波信号を用いるもの
H04H20/36	ＡＭ放送のためのもの
H04H20/38	下流局，例．受信機，の影響を受ける放送のための配置
H04H20/40	蓄積型の受信機に特に適合した放送のための配置
H04H20/42	資源管理のための配置
H04H20/423	｛送信側｝
H04H20/426	｛受信側｝
H04H20/44	放送に特に適合する回路または要素技術によって特徴づけられるもの
H04H20/46	グループＨ０４Ｈ２０／５３−Ｈ０４Ｈ２０／８６に分類される放送方式に特に適合する回路または要素技術によって特徴づけられるもの
H04H20/47	ステレオ放送方式に特に適合するもの
H04H20/48	ＦＭステレオ放送方式に特に適合するもの
H04H20/49	ＡＭステレオ放送方式に特に適合するもの
H04H20/51	衛星放送方式に特に適合するもの
H04H20/53	特定用途放送方式，例．交通情報または移動する受信局のためのもの
H04H20/55	交通情報放送
H04H20/57	移動する受信局に対するもの
H04H20/59	緊急または非常放送
H04H20/61	局所的放送，例．店内放送
H04H20/62	交通機関用，例．車両内
H04H20/63	限定された敷地内の複数地点への放送，例．ＭＡＴＶ
H04H20/65	放送用の伝送システムによって特徴づけられるもの
H04H20/67	同一周波方式，すなわち実質的に同一の周波数で動作する別々の送信機を用いるもの
H04H20/69	光方式
H04H20/71	無線方式
H04H20/72	地上網
H04H20/74	衛星網
H04H20/76	有線方式
H04H20/77	搬送波を使用するもの
H04H20/78	ＣＡＴＶ方式
H04H20/79	ＣＡＴＶのダウンリンクを使用するもの，例．ＣＡＴＶ網を介したオーディオ放送
H04H20/80	２以上の周波数帯，例．中波および短波帯，における周波数を有するもの
H04H20/81	電話網に結合し，その電話網上で放送が絶えず可能となるもの
H04H20/82	搬送波に乗せられていない信号を用いるもの
H04H20/83	回線網を他のサービスと共用しないもの
H04H20/84	配電網と結合したもの
H04H20/86	放送情報の特別な技術的特徴，例．信号形式または情報フォーマット，によって特徴づけられるもの
H04H20/88	ステレオ放送方式
H04H20/89	３以上のオーディオチャンネルを用いるもの，例．三元または四元ステレオ
H04H20/91	コンピュータプログラムを放送するもの
H04H20/93	放送情報が他の情報の在処を示すもの，例．ＵＲＬ
H04H20/95	特定のフォーマット，例．ＭＰ３，によって特徴づけられるもの
H04H40/00	放送情報の受信に特に適合する配置
H04H40/09	タイムテーブルに合わせて必要な情報を自動的に受信するもの
H04H40/18	受信に特に適合する回路または要素技術によって特徴づけられるもの
H04H40/27	グループＨ０４Ｈ２０／５３−Ｈ０４Ｈ２０／８６に分類される放送方式に特に適合する回路または要素技術によって特徴づけられるもの
H04H40/36	ステレオ放送受信に特に適合するもの
H04H40/45	ＦＭステレオ放送の受信に特に適合するもの
H04H40/54	副搬送波の発生
H04H40/63	分離度の改善または調整
H04H40/72	雑音の抑圧
H04H40/81	ステレオ・モノラル切替
H04H40/90	衛星放送受信に特に適合するもの
H04H60/00	放送の応用のための配置であってその応用が放送情報または放送時空に直接結合するもの；放送関連システム
H04H60/02	放送情報の作成のための配置；放送情報または放送時空に直接結合する放送関連情報の作成のための配置；放送情報と放送関連情報の同時作成のための配置
H04H60/04	スタジオ設備；複数のスタジオ間の相互連結
H04H60/05	移動スタジオ
H04H60/06	放送サービスまたは放送関連サービスのスケジューリングのための配置
H04H60/07	作成の過程または方法によって特徴付けられるもの
H04H60/09	機器の制御のための配置であってその制御が放送情報または放送時空に直接結合するもの；放送関連サービスを制御するための配置
H04H60/11	放送情報の一部分が利用できないときの対策のための配置
H04H60/12	その放送情報の一部分を他の情報で代替するもの
H04H60/13	機器の制御が放送情報によって影響を受けるもの
H04H60/14	放送情報または放送関連サービスの制限利用のための配置
H04H60/15	受信を制限するもの
H04H60/16	再生を制限するもの
H04H60/17	記録を制限するもの
H04H60/18	複製を制限するもの
H04H60/19	送信を制限するもの
H04H60/20	二次加工を制限するもの
H04H60/21	放送情報または放送関連情報の使用に対して課金するもの
H04H60/22	使用ごとに課金するもの
H04H60/23	暗号技術，例．暗号化，認証または鍵配送，を用いるもの
H04H60/25	放送情報または放送関連情報をアップデートするための配置
H04H60/27	放送情報または放送関連情報の記録または蓄積のための配置
H04H60/29	放送サービスまたは放送関連サービスの監視のための配置
H04H60/31	放送サービスの利用状態の監視のためのもの
H04H60/32	受信局の状態，例．受信局の不調又は故障，の監視のためのもの
H04H60/33	利用者の挙動または意識を観測するためのもの
H04H60/35	放送情報または放送時空に直接結合する物事を識別または認識するための配置，例．放送局又は利用者の識別のためのもの
H04H60/37	放送情報の部分を識別するためのもの，例．シーンまたはプログラムＩＤの抽出
H04H60/372	｛プログラム｝
H04H60/375	｛コマーシャル｝
H04H60/377	｛シーン｝
H04H60/38	放送時間または放送空間の識別のためのもの
H04H60/39	放送時空の識別のためのもの（ＥＰＧの利用Ｈ０４Ｈ６０／７２）
H04H60/40	放送時間の識別のためのもの
H04H60/41	放送空間，すなわち，放送チャネル，放送局または放送地域，の識別のためのもの
H04H60/42	放送地域の識別のためのもの
H04H60/43	放送チャネルの識別のためのもの
H04H60/44	放送局の識別のためのもの
H04H60/45	利用者を識別するためのもの
H04H60/46	利用者の嗜好を認識するためのもの
H04H60/47	ジャンルを認識するためのもの
H04H60/48	放送情報に表現された事物を認識するためのもの
H04H60/49	位置を認識するためのもの
H04H60/50	放送局または中継局の位置
H04H60/51	受信局の位置
H04H60/52	利用者の位置
H04H60/53	目的地の位置
H04H60/54	放送情報が作成された位置
H04H60/56	グループＨ０４Ｈ６０／２９またはＨ０４Ｈ６０／３５に分類される監視，識別または認識に特に適合する要素技術によって特徴づけられるもの
H04H60/58	音声の監視，識別または認識に特に適合する要素技術によるもの
H04H60/59	画像の監視，識別または認識に特に適合する要素技術によるもの
H04H60/61	グループＨ０４Ｈ６０／２９またはＨ０４Ｈ６０／３５に分類される監視，識別または認識の結果を利用するサービスのための配置
H04H60/63	販売サービスのためのもの
H04H60/64	詳細情報を提供するためのもの
H04H60/65	利用者側で利用するためのもの
H04H60/66	配信者側で利用するためのもの
H04H60/68	特定の情報，例．地理情報または気象情報，の利用に特に適合するシステム
H04H60/70	地理情報，例．地図，海図または地図帳，を利用するもの
H04H60/71	気象情報を利用するもの
H04H60/72	ＥＰＧを利用するもの（放送時間または放送空間の識別を主眼とするものＨ０４Ｈ６０／３９）
H04H60/73	メタ情報を利用するもの
H04H60/74	番組関連情報，例．タイトル，作曲者または翻訳者，を利用するもの
H04H60/76	放送用でない伝送システム，例．インターネット，によって特徴づけられるもの
H04H60/78	始点または終点によって特徴づけられるもの
H04H60/79	放送局間伝送
H04H60/80	端末機器間伝送
H04H60/81	伝送システムそれ自身によって特徴づけられるもの
H04H60/82	インターネット
H04H60/83	電話網を介してアクセスされるインターネット
H04H60/84	固定電話網を介してアクセスされるもの
H04H60/85	移動体通信網を介してアクセスされるもの
H04H60/86	ＣＡＴＶ網を介してアクセスされるインターネット
H04H60/87	計算機網を介してアクセスされるインターネット
H04H60/88	無線計算機網
H04H60/89	有線計算機網
H04H60/90	無線伝送方式
H04H60/91	移動体通信網（インターネットへのアクセスに用いられるものＨ０４Ｈ６０／８５）
H04H60/92	局所無線伝送方式
H04H60/93	有線伝送方式
H04H60/94	電話網（インターネットへのアクセスに用いられるものＨ０４Ｈ６０／８４）
H04H60/95	局所有線伝送方式
H04H60/96	ＣＡＴＶ方式（インターネットへのアクセスに用いられるものＨ０４Ｈ６０／８６）
H04H60/97	ＣＡＴＶのアップリンクを使用するもの
H04H60/98	記録媒体の物流による伝送システム，例．葉書，ＣＤまたはＤＶＤ
H04H2201/00	放送通信の観点
H04H2201/10	放送システムの種類に特徴があるもの
H04H2201/11	デジタルマルチメディア放送［ＤＭＢ］
H04H2201/12	デジタルラジオモンディエール［ＤＲＭ］
H04H2201/13	ラジオデータシステム／ラジオ放送データシステム［ＲＤＳ／ＲＢＤＳ］
H04H2201/14	ダイレクト放送サテライト［ＤＢＳ］
