H05K1/00	印刷回路
H05K1/02	細部
H05K1/0201	｛熱に関する構成，例．冷却，加熱または過熱防止のためのもの｝
H05K1/0203	｛装着された構成部品の冷却（Ｈ０５Ｋ１／０２７２が優先）｝
H05K1/0204	｛基体の厚み方向に熱導体接続するための手段を用いるもの（Ｈ０５Ｋ１／０２０７が優先）｝
H05K1/0206	｛印刷された熱ビアによるもの｝
H05K1/0207	｛熱伝導のために表面に平行な内部導体層を用いるもの，例．電源層｝
H05K1/0209	｛熱の放散に用いられる印刷回路基板の外部構成，例．導体やコーティングの配置｝
H05K1/021	｛挿入装着によって金属基体またはヒートシンクに熱的に接続される構成部品｝
H05K1/0212	｛熱集積手段を備える印刷回路または装着構成部品｝
H05K1/0213	｛他に分類されない電気に関する構成｝
H05K1/0215	｛外部接地手段への接続による印刷回路の接地｝
H05K1/0216	｛漏話，ノイズまたは電磁干渉の低減（接地Ｈ０５Ｋ１／０２１５）｝
H05K1/0218	｛印刷遮へい導体，接地層または電源層によるもの（Ｈ０５Ｋ１／０２３６が優先）｝
H05K1/0219	｛信号導体周囲または信号導体間を遮へいするための印刷遮へい導体，例．同一平面または同軸の印刷遮へい導体｝
H05K1/0221	｛信号線を部分的または全体的に取り囲む連続的な遮へい層を備える同軸遮へい信号線｝
H05K1/0222	｛単独のビアの周りまたは一群のビアの周りの遮へいのためのもの，例．同軸ビアまたは接地されたビア柵に取り囲まれたビア｝
H05K1/0224	｛パターン化された遮へい層，接地層または電源層（Ｈ０５Ｋ１／０２５３が優先）｝
H05K1/0225	｛遮へい，接地または電源層における単一または多数の開口（Ｈ０５Ｋ１／０２２７が優先）｝
H05K1/0227	｛分離されたまたはほぼ分離された遮へい層または接地層｝
H05K1/0228	｛印刷回路の互いに相関する配置間隔による漏話の補償，例．装着されたコネクタによる漏話を補償するためのもの（平衡信号対Ｈ０５Ｋ１／０２４５）｝
H05K1/023	｛補助的に取り付けられた受動構成部品または補助的な物質（受動印刷構成部品Ｈ０５Ｋ１／１６）｝
H05K1/0231	｛コンデンサまたは誘電物質｝
H05K1/0233	｛フィルタ，インダクンスまたは磁気物質｝
H05K1/0234	｛電源層の中または近くにおける抵抗器または抵抗性または損失性物質の配置（Ｈ０５Ｋ１／０２４６が優先）｝
H05K1/0236	｛電磁気的なバンドギャップの構造｝
H05K1/0237	｛高周波の適用（Ｈ０５Ｋ１／０２１６が優先）｝
H05K1/0239	｛交流結合による信号の伝送｝
H05K1/024	｛誘電体の細部，例．伝送線の周囲における誘電材料の変化｝
H05K1/0242	｛独立した信号導体の構造的細部，例．表皮効果に関するもの｝
H05K1/0243	｛装着された高周波構成部品と共働する印刷回路｝
H05K1/0245	｛平衡信号対の配置，例．差動線または撚り線｝
H05K1/0246	｛伝送線の終端｝
H05K1/0248	｛スキューの低減または遅延線を用いるもの｝
H05K1/025	｛インピーダンスの配置，例．インピーダンスの調整，寄生インピーダンスの低減（Ｈ０５Ｋ１／０２４およびＨ０５Ｋ１／０２４３が優先，半導体装置のためのものＨ０１Ｌ２３／６６）｝
H05K1/0251	｛ビアまたはビアと伝送線との間の伝送に関するもの｝
H05K1/0253	｛電源層の特別な配置，例．開口を提供するもの，による伝送線のインピーダンス適合（Ｈ０５Ｋ１／０２５１が優先）｝
H05K1/0254	｛高圧への適合；電気絶縁の細部，過電圧や静電気放電からの保護（電気装置における静電気放電からの保護一般Ｈ０５Ｋ９／００６７，Ｈ０５Ｋ９／００７９）；電圧を調整するためのまたは複数の電圧を使用するための装置｝
H05K1/0256	｛電気絶縁の細部，例．高圧区域の周囲｝
H05K1/0257	｛過電圧からの保護｝
H05K1/0259	｛静電気放電［ＥＳＤ］からの保護｝
H05K1/026	｛スパークギャップ｝
H05K1/0262	｛電圧を調整するためのまたは複数の電圧を使用するための装置｝
H05K1/0263	｛高電流への適合，例．印刷された高電流導体または印刷によらない補助的な手段を用いるもの；一つの回路基板上の微粗回路パターン（Ｈ０５Ｋ１／０２９３が優先）｝
H05K1/0265	｛印刷導体の配置または細部に特徴のあるもの，例．強化導体，冗長な導体，異なる断面をもつ導体｝
H05K1/0266	｛記号，試験用模様または識別手段｝
H05K1/0268	｛電気的な検査または試験のためのもの｝
H05K1/0269	｛視覚的または光学的な検査のためのもの｝
H05K1/0271	｛剛性の印刷回路基板における圧力や歪み，例．負荷，振動または熱膨張差によって引き起こされるもの，を減少させるための装置｝
H05K1/0272	｛流体伝送への適合，例．溝，孔｝
H05K1/0274	｛光学的な細部，例．光学的な集積手段をもつ印刷回路（Ｈ０５Ｋ１／０２６９が優先；ライトガイドと光電素子との結合Ｇ０２Ｂ６／４２）｝
H05K1/0275	｛セキュリティに関する細部，例．改ざんの防止または検出｝
H05K1/0277	｛曲げ性または伸縮性に関する細部（Ｈ０５Ｋ１／０３８，Ｈ０５Ｋ３／４６９１が優先）｝
H05K1/0278	｛部分的に曲げられるように作られた剛性のある回路基板または回路基板における剛性の支持体，例．材料の除去または置き換えによるもの｝
H05K1/028	｛可撓性印刷回路における曲げられるまたは折りたたむことのできる部分（Ｈ０５Ｋ１／０２８３が優先）｝
H05K1/0281	｛その補強の細部｝
H05K1/0283	｛伸縮自在な印刷回路｝
H05K1/0284	｛剛性のある三次元の印刷回路基板における細部（Ｈ０５Ｋ１／１１９が優先；基体の形状Ｈ０５Ｋ３／００１４）｝
H05K1/0286	｛プログラム可能，改造可能または変更可能な回路（印刷でないプログラム可能なジャンパ接続Ｈ０５Ｋ３／２２２）｝
H05K1/0287	｛ユニバーサル配置をもつもの，例．パッドまたはランド格子パターンまたはメッシュパターン｝
H05K1/0289	｛マトリクス配置をもつもの，すなわち，異なる層にあるＸ導体とＹ導体との選択的な相互接続が可能な組をもつもの｝
H05K1/029	｛プログラム可能な配置をもつもの，すなわち，幾つかの可能性の中から選択するよう適合されたもの｝
H05K1/0292	｛変更可能な配置をもつもの，すなわち，設計の変更または修正に適合されたもの（Ｈ０５Ｋ１／０２９３が優先）｝
H05K1/0293	｛異変に適合された独立した印刷導体，例．溶断または破断する導体，印刷スイッチ｝
H05K1/0295	｛装着構成部品を異なる種類または異なる位置の間で選択できるよう適合されたもの｝
H05K1/0296	｛サブグループＨ０５Ｋ１／０２〜Ｈ０５Ｋ１／０２９５に分類されない導体パターン配置の細部（Ｈ０５Ｋ１／１１が優先；装着される部品の構成に適合した配置Ｈ０５Ｋ１／１８）｝
H05K1/0298	｛多層回路｝
H05K1/03	基体用材料の使用
H05K1/0306	｛無機絶縁基体，例．セラミック，ガラス｝
H05K1/0313	｛有機絶縁材料｝
H05K1/032	｛単一の材料からなるもの｝<br><br><u>注</u><br><br> <br>このグループにおいては，相反する指示がない限り，材料については最後の適当な箇所に分類される。
H05K1/0326	｛酸素を含むもの｝
H05K1/0333	｛硫黄を含むもの｝
H05K1/034	｛ハロゲンを含むもの｝
H05K1/0346	｛窒素を含むもの｝
H05K1/0353	｛２以上の材料からなるもの，例．２以上の高分子，高分子＋充填材，高分子＋補強材からなるもの｝
H05K1/036	｛異なる種類の層からなる多層体｝
H05K1/0366	｛補強されたもの，例．繊維，織物によるもの（Ｈ０５Ｋ１／０３６が優先）｝
H05K1/0373	｛添加剤，例．充填材，を含むもの（Ｈ０５Ｋ１／０３６が優先）｝
H05K1/038	｛織物（有機絶縁基体の補強材料として用いられるものＨ０５Ｋ１／０３６６）｝
H05K1/0386	｛紙シート（有機絶縁基体の補強材料として用いられたものＨ０５Ｋ１／０３６６）｝
H05K1/0393	｛可撓性材料（Ｈ０５Ｋ１／０３８が優先；特定の有機組成物はＨ０５Ｋ１／０３１３とそのサブグループに分類される）｝
H05K1/05	絶縁｛された導電基体，例．絶縁された｝金属基体
H05K1/053	｛金属基体が無機絶縁層に覆われるもの｝
H05K1/056	｛金属基体が有機絶縁層に覆われるもの｝
H05K1/09	｛導体，例．｝金属パターンのための材料の使用
H05K1/092	｛分散された材料，例．導電ペーストまたはインク｝
H05K1/095	｛高分子厚膜のためのもの，すなわち，永久的有機高分子結合剤を有するもの｝
H05K1/097	｛ナノ粒子を含みかつ低温での焼結に特に適合したインク（H05K 1/095が優先）｝
H05K1/11	印刷回路への，または印刷回路間の電気的接続のための印刷要素
H05K1/111	｛表面への装着，例．配列，のためのパッド｝
H05K1/112	｛ビア接続と直接組み合わされるもの｝
H05K1/113	｛パッド中で供給されるビア；ビアで満杯にされたパッド｝
H05K1/114	｛ビアに接近しているが，しかしビアを取り囲んでいないパッド｝
H05K1/115	｛ビア接続；孔またはビア接続の周りのランド（Ｈ０５Ｋ１／１１２が優先）｝
H05K1/116	｛ビアの周囲に関するランド，逃がし孔または他の配列の細部｝
H05K1/117	｛剛性のある回路基板の端縁に沿ったパッド，例．プラグ接続可能なコネクタのためのもの｝
H05K1/118	｛特に可撓性の印刷回路用のもの，例．折畳み部を用いるもの｝
H05K1/119	｛剛性のある絶縁基体そのものの細部，例．三次元における細部（Ｈ０５Ｋ１／１１７が優先）｝
H05K1/14	２つ以上の印刷回路の構造的結合（印刷回路に対するまたは印刷回路間の電気的接続をするためのものＨ０５Ｋ１／１１，Ｈ０１Ｒ１２／００）
H05K1/141	｛主印刷回路上に装着される１またはそれ以上の単独補助印刷回路，例．モジュール，アダプタ（Ｈ０５Ｋ１／１４２およびＨ０５Ｋ１／１４７が優先）｝
H05K1/142	｛同一平面内の平面印刷回路基板の配置，例．主印刷回路に挿入して取り付けられる補助印刷回路｝
H05K1/144	｛平面印刷回路基板の積層配置｝
H05K1/145	｛電気部品が２平面印刷回路板間に配置されまたそれに対し同時に接続される構成装置，例．薪の束状のモジュール｝
H05K1/147	｛印刷回路の少なくとも１つが曲げられまたは折りたたまれているもの，例．可撓性の印刷回路を用いることによるもの（Ｈ０５Ｋ１／１４８が優先）｝
H05K1/148	｛枢動可能に接続された２またはそれ以上の合成の印刷回路基板，すなわち可撓性手段によって接続されたもの｝
H05K1/16	印刷電気部品，例．印刷抵抗器，印刷コンデンサまたは印刷インダクタンス，を備えるもの
H05K1/162	｛印刷コンデンサを備えるもの｝
H05K1/165	｛印刷インダクタンスを備えるもの｝
H05K1/167	｛印刷抵抗器を備えるもの｝
H05K1/18	印刷によらない電気部品と構造的に結合した印刷回路（｛Ｈ０５Ｋ１／０２０１，Ｈ０５Ｋ１／０２３，Ｈ０５Ｋ１／０２４３，および｝Ｈ０５Ｋ１／１６が優先）
H05K1/181	｛表面実装部品と結合したもの｝
H05K1/182	｛印刷回路基板に取り付けられた部品と結合したもの，例．挿入装着部品［ＩＭＣ］｝
H05K1/183	｛印刷回路基板のくぼみ領域内に取り付けられ支承される部品｝
H05K1/184	｛印刷回路基板を貫く孔に挿入されその孔の壁面またはその端縁またはその孔から突出しまたはその孔内の印刷接点に接続された端子を含む部品｝
H05K1/185	｛印刷回路の絶縁基体内に封止されまたは多層回路内部の層内に備えられた部品（相互連結および支持構造により封止された半導体チップＨ０１Ｌ２３／５３８９，Ｈ０１Ｌ２４／００）｝
H05K1/186	｛埋め込む前または埋め込む間にパターン化された回路上に取り付けまたはそこに接続されることにより製造されたもの｝
